Indicator,Disaggregation combinations using this value
#1-1-1,144
#1-2-1,23
#1-4-2,45
#1-5-4,18
#1-a-2,5
#1-b-1,1
#10-4-1,1
#10-5-1,1
#10-a-1,1
#11-2-1-1,17
#11-3-2,1
#11-4-1,1
#11-6-1-1,18
#11-6-1-2,1
#11-6-1,18
#11-a-1,1
#11-b-2,18
#12-4-1,4
#12-5-1-1,1
#12-5-1,1
#13-3-1-1,19
#13-3-1,1
#14-5-1,1
#14-7-1,19
#15-1-2,1
#15-2-1,15
#15-4-1,9
#15-7-1,4
#15-c-1,4
#16-1-4,90
#16-2-1,26
#16-3-2,1
#16-3-3-2,45
#16-3-3,1
#16-5-1,1
#16-5-2-1,1
#16-6-1,16
#16-6-2-1,1
#16-9-1,26
#17-1-1,15
#17-1-2,3
#17-10-1,1
#17-11-1,1
#17-12-1,2
#17-19-2,3
#17-2-1,1
#17-3-1-1,1
#17-3-1-2,1
#17-3-1,1
#17-3-2,1
#17-4-1,1
#17-8-1,23
#2-1-1,3
#2-1-2-1,1
#2-1-2,2
#2-2-1,58
#2-2-2,87
#2-2-3,1
#2-4-1,1
#2-5-2,5
#2-a-1,1
#3-1-2,54
#3-4-1,3
#3-7-1,36
#3-8-2,1
#3-a-1,1
#3-b-1,4
#3-b-3,1
#4-1-1,100
#4-2-1,33
#4-2-2-1,31
#4-2-2,57
#4-3-1-1,1
#4-3-1-2,162
#4-3-1-3,162
#4-4-1-1,18
#4-4-1,324
#4-5-1-1,19
#4-5-1-2,19
#4-5-1-3,19
#4-5-1-4,1
#4-5-1,57
#4-6-1,4
#4-7-1-1,1
#4-7-1-2,19
#4-7-1-3,1
#4-a-1-1,1
#4-a-1-2,1
#4-a-1-3,1
#4-a-1,123
#4-c-1-2,1
#4-c-1,21
#5-2-1-1,1
#5-2-1-2,1
#5-2-1,12
#5-2-2,4
#5-3-1-2,1
#5-3-1,2
#5-4-1,5
#5-5-1,2
#5-5-2,185
#5-6-2,1
#5-a-1,45
#5-b-1,144
#6-1-1,35
#6-2-1,33
#6-3-1,18
#6-3-2,16
#6-4-2,1
#6-5-1,1
#6-5-2,1
#6-b-1,1
#7-1-1,18
#7-1-2,1
#7-2-1,17
#7-b-1-1,1
#8-10-2,1
#8-3-1-1,234
#8-3-1,236
#8-5-1,255
#8-5-2,209
#8-6-1,92
#8-7-1,92
#8-8-2,1
#8-9-1,1
#8-b-1,1
#9-3-2,1
#9-5-1-1,1
#9-5-1,19
#9-b-1,1
#9-c-1,2
