Year,UNIT_MEASURE,Area,Sex,Regions,Value
2010,Percent,,,,6.5
2010,Percent,Population of urban areas,,,3.7
2010,Percent,Population of rural areas,,,10.1
2010,Percent,,Male,,6.8
2010,Percent,,Female,,6.3
2010,Percent,,,Akmola,4.4
2010,Percent,,,Aktobe,6.0
2010,Percent,,,Almaty,6.6
2010,Percent,,,Atyrau,5.9
2010,Percent,,,Batys Kazakhstan,6.7
2010,Percent,,,Zhambyl,5.3
2010,Percent,,,Karagandy,3.8
2010,Percent,,,Kostanay,6.4
2010,Percent,,,Kyzylorda,6.7
2010,Percent,,,Mangistau,11.6
2010,Percent,,,Ontustik Kazakhstan,11.5
2010,Percent,,,Pavlodar,4.0
2010,Percent,,,Soltustik Kazakhstan,5.4
2010,Percent,,,Shygys Kazakhstan,8.4
2010,Percent,,,Nur-Sultan city,3.4
2010,Percent,,,Almaty city,2.6
2011,Percent,,,,5.5
2011,Percent,Population of urban areas,,,2.5
2011,Percent,Population of rural areas,,,9.1
2011,Percent,,Male,,5.7
2011,Percent,,Female,,5.3
2011,Percent,,,Akmola,6.2
2011,Percent,,,Aktobe,2.4
2011,Percent,,,Almaty,3.4
2011,Percent,,,Atyrau,5.2
2011,Percent,,,Batys Kazakhstan,4.8
2011,Percent,,,Zhambyl,5.1
2011,Percent,,,Karagandy,3.5
2011,Percent,,,Kostanay,4.6
2011,Percent,,,Kyzylorda,6.2
2011,Percent,,,Mangistau,10.4
2011,Percent,,,Ontustik Kazakhstan,10.4
2011,Percent,,,Pavlodar,4.5
2011,Percent,,,Soltustik Kazakhstan,9.6
2011,Percent,,,Shygys Kazakhstan,6.1
2011,Percent,,,Nur-Sultan city,1.7
2011,Percent,,,Almaty city,2.0
2012,Percent,,,,3.8
2012,Percent,Population of urban areas,,,1.9
2012,Percent,Population of rural areas,,,6.1
2012,Percent,,Male,,4.0
2012,Percent,,Female,,3.7
2012,Percent,,,Akmola,3.9
2012,Percent,,,Aktobe,2.4
2012,Percent,,,Almaty,3.2
2012,Percent,,,Atyrau,3.3
2012,Percent,,,Batys Kazakhstan,4.1
2012,Percent,,,Zhambyl,4.9
2012,Percent,,,Karagandy,2.8
2012,Percent,,,Kostanay,3.3
2012,Percent,,,Kyzylorda,3.8
2012,Percent,,,Mangistau,3.3
2012,Percent,,,Ontustik Kazakhstan,7.9
2012,Percent,,,Pavlodar,2.9
2012,Percent,,,Soltustik Kazakhstan,5.7
