Year,UNIT_MEASURE,Regions,Value
2016,Percent,Akmola,100.0
2016,Percent,Aktobe,100.0
2016,Percent,Almaty,100.0
2016,Percent,Atyrau,100.0
2016,Percent,Batys Kazakhstan,100.0
2016,Percent,Zhambyl,100.0
2016,Percent,Karagandy,100.0
2016,Percent,Kostanay,100.0
2016,Percent,Kyzylorda,100.0
2016,Percent,Mangistau,100.0
2016,Percent,Ontustik Kazakhstan,100.0
2016,Percent,Pavlodar,100.0
2016,Percent,Soltustik Kazakhstan,100.0
2016,Percent,Shygys Kazakhstan,100.0
2016,Percent,Nur-Sultan city,100.0
2016,Percent,Almaty city,100.0
2017,Percent,Akmola,100.0
2017,Percent,Aktobe,100.0
2017,Percent,Almaty,100.0
2017,Percent,Atyrau,100.0
2017,Percent,Batys Kazakhstan,100.0
2017,Percent,Zhambyl,100.0
2017,Percent,Karagandy,100.0
2017,Percent,Kostanay,100.0
2017,Percent,Kyzylorda,100.0
2017,Percent,Mangistau,100.0
2017,Percent,Ontustik Kazakhstan,100.0
2017,Percent,Pavlodar,100.0
2017,Percent,Soltustik Kazakhstan,100.0
2017,Percent,Shygys Kazakhstan,100.0
2017,Percent,Nur-Sultan city,100.0
2017,Percent,Almaty city,100.0
2018,Percent,Akmola,100.0
2018,Percent,Aktobe,100.0
2018,Percent,Almaty,100.0
2018,Percent,Atyrau,100.0
2018,Percent,Batys Kazakhstan,100.0
2018,Percent,Zhambyl,100.0
2018,Percent,Karagandy,100.0
2018,Percent,Kostanay,100.0
2018,Percent,Kyzylorda,100.0
2018,Percent,Mangistau,100.0
2018,Percent,Pavlodar,100.0
2018,Percent,Soltustik Kazakhstan,100.0
2018,Percent,Turkistan,100.0
2018,Percent,Shygys Kazakhstan,100.0
2018,Percent,Nur-Sultan city,100.0
2018,Percent,Almaty city,100.0
2018,Percent,Shymkent city,100.0
2019,Percent,Akmola,100.0
2019,Percent,Aktobe,100.0
2019,Percent,Almaty,100.0
2019,Percent,Atyrau,100.0
2019,Percent,Batys Kazakhstan,100.0
2019,Percent,Zhambyl,100.0
2019,Percent,Karagandy,100.0
2019,Percent,Kostanay,100.0
2019,Percent,Kyzylorda,100.0
2019,Percent,Mangistau,100.0
2019,Percent,Pavlodar,100.0
2019,Percent,Soltustik Kazakhstan,100.0
2019,Percent,Turkistan,100.0
2019,Percent,Shygys Kazakhstan,100.0
2019,Percent,Nur-Sultan city,100.0
2019,Percent,Almaty city,100.0
2019,Percent,Shymkent city,100.0
