Year,Regions,Value
2010,,4.7
2010,Akmola,2.6
2010,Aktobe,0.2
2010,Almaty,8.5
2010,Atyrau,0.1
2010,Batys Kazakhstan,0.7
2010,Zhambyl,15.7
2010,Karagandy,0.4
2010,Kostanay,1.2
2010,Kyzylorda,15.2
2010,Mangistau,0.7
2010,Pavlodar,2.0
2010,Soltustik Kazakhstan,5.6
2010,Turkistan,13.9
2010,Shygys Kazakhstan,6.6
2011,,4.7
2011,Akmola,2.6
2011,Aktobe,0.2
2011,Almaty,8.8
2011,Atyrau,0.1
2011,Batys Kazakhstan,0.7
2011,Zhambyl,15.8
2011,Karagandy,0.4
2011,Kostanay,1.2
2011,Kyzylorda,15.3
2011,Mangistau,0.7
2011,Pavlodar,2.1
2011,Soltustik Kazakhstan,5.6
2011,Turkistan,13.9
2011,Shygys Kazakhstan,6.8
2012,,4.7
2012,Akmola,2.6
2012,Aktobe,0.2
2012,Almaty,8.8
2012,Atyrau,0.1
2012,Batys Kazakhstan,0.7
2012,Zhambyl,15.8
2012,Karagandy,0.4
2012,Kostanay,1.2
2012,Kyzylorda,15.1
2012,Mangistau,0.7
2012,Pavlodar,2.0
2012,Soltustik Kazakhstan,5.6
2012,Turkistan,14.0
2012,Shygys Kazakhstan,7.2
2013,,4.8
2013,Akmola,2.7
2013,Aktobe,0.2
2013,Almaty,8.8
2013,Atyrau,0.1
2013,Batys Kazakhstan,0.7
2013,Zhambyl,15.9
2013,Karagandy,0.4
2013,Kostanay,1.2
2013,Kyzylorda,15.1
2013,Mangistau,0.7
2013,Pavlodar,2.1
2013,Soltustik Kazakhstan,5.6
2013,Turkistan,14.0
2013,Shygys Kazakhstan,7.3
2014,,4.8
2014,Akmola,2.7
2014,Aktobe,0.2
2014,Almaty,8.8
2014,Atyrau,0.1
2014,Batys Kazakhstan,0.7
2014,Zhambyl,15.9
2014,Karagandy,0.4
2014,Kostanay,1.2
2014,Kyzylorda,15.1
2014,Mangistau,0.7
2014,Pavlodar,2.1
2014,Soltustik Kazakhstan,5.6
2014,Turkistan,14.0
2014,Shygys Kazakhstan,7.3
2015,,4.8
2015,Akmola,2.7
2015,Aktobe,0.2
2015,Almaty,8.9
2015,Atyrau,0.1
2015,Batys Kazakhstan,0.7
2015,Zhambyl,15.9
2015,Karagandy,0.4
2015,Kostanay,1.2
2015,Kyzylorda,15.1
2015,Mangistau,0.7
2015,Pavlodar,2.1
2015,Soltustik Kazakhstan,5.7
2015,Turkistan,14.0
2015,Shygys Kazakhstan,7.3
2016,,4.8
2016,Akmola,2.7
2016,Aktobe,0.2
2016,Almaty,8.9
2016,Atyrau,0.1
2016,Batys Kazakhstan,0.7
2016,Zhambyl,15.9
2016,Karagandy,0.4
2016,Kostanay,1.2
2016,Kyzylorda,15.2
2016,Mangistau,0.7
2016,Pavlodar,2.1
2016,Soltustik Kazakhstan,5.7
2016,Turkistan,14.1
2016,Shygys Kazakhstan,7.3
2017,,4.9
2017,Akmola,2.7
2017,Aktobe,0.2
2017,Almaty,9.2
2017,Atyrau,0.1
2017,Batys Kazakhstan,0.6
2017,Zhambyl,16.8
2017,Karagandy,0.4
2017,Kostanay,1.3
2017,Kyzylorda,15.3
2017,Mangistau,0.8
2017,Pavlodar,2.1
2017,Soltustik Kazakhstan,5.7
2017,Turkistan,14.2
2017,Shygys Kazakhstan,7.3
2018,,4.9
2018,Akmola,2.7
2018,Aktobe,0.2
2018,Almaty,9.3
2018,Atyrau,0.2
2018,Batys Kazakhstan,0.6
2018,Zhambyl,16.5
2018,Karagandy,0.4
2018,Kostanay,1.3
2018,Kyzylorda,15.4
2018,Mangistau,0.8
2018,Pavlodar,2.1
2018,Soltustik Kazakhstan,5.7
2018,Turkistan,14.3
2018,Shygys Kazakhstan,7.4
2019,,5.0
2019,Akmola,2.7
2019,Aktobe,0.2
2019,Almaty,10.0
2019,Atyrau,0.1
2019,Batys Kazakhstan,0.6
2019,Zhambyl,16.5
2019,Karagandy,0.4
2019,Kostanay,1.3
2019,Kyzylorda,15.6
2019,Mangistau,0.8
2019,Pavlodar,2.2
2019,Soltustik Kazakhstan,5.7
2019,Turkistan,14.4
2019,Shygys Kazakhstan,7.4
