Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),418
2010,Percent,Goitered gazelle (latin: Gazella subgutturosa),16154
2010,Percent,Onager (latin Equus hemionus),2477
2010,Percent,Argali (latin: Ovis ammon),13246
2011,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),421
2011,Percent,Goitered gazelle (latin: Gazella subgutturosa),1210
2011,Percent,Onager (latin Equus hemionus),2500
2011,Percent,Argali (latin: Ovis ammon),13597
2012,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),451
2012,Percent,Goitered gazelle (latin: Gazella subgutturosa),1263
2012,Percent,Onager (latin Equus hemionus),2920
2012,Percent,Argali (latin: Ovis ammon),13872
2013,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),465
2013,Percent,Goitered gazelle (latin: Gazella subgutturosa),12888
2013,Percent,Onager (latin Equus hemionus),3222
2013,Percent,Argali (latin: Ovis ammon),14525
2014,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),481
2014,Percent,Goitered gazelle (latin: Gazella subgutturosa),12994
2014,Percent,Onager (latin Equus hemionus),3420
2014,Percent,Argali (latin: Ovis ammon),14737
2015,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),503
2015,Percent,Goitered gazelle (latin: Gazella subgutturosa),13197
2015,Percent,Onager (latin Equus hemionus),3595
2015,Percent,Argali (latin: Ovis ammon),15710
2016,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),716
2016,Percent,Goitered gazelle (latin: Gazella subgutturosa),13218
2016,Percent,Onager (latin Equus hemionus),3807
2016,Percent,Argali (latin: Ovis ammon),15979
2017,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),825
2017,Percent,Goitered gazelle (latin: Gazella subgutturosa),13727
2017,Percent,Onager (latin Equus hemionus),3984
2017,Percent,Argali (latin: Ovis ammon),16802
2018,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),856
2018,Percent,Goitered gazelle (latin: Gazella subgutturosa),14055
2018,Percent,Onager (latin Equus hemionus),4103
2018,Percent,Argali (latin: Ovis ammon),16980
2019,Percent,The Bactrian deer (latin: Cervus elaphus bactrianus),878
2019,Percent,Goitered gazelle (latin: Gazella subgutturosa),14391
2019,Percent,Onager (latin Equus hemionus),4197
2019,Percent,Argali (latin: Ovis ammon),17954
