Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,Percent,,102000
2011,Percent,Species from Ural region,17900
2011,Percent,Species from Usturts region,6100
2011,Percent,Species from Betpakdalinsk region,78000
2012,Percent,,137500
2012,Percent,Species from Ural region,20900
2012,Percent,Species from Usturts region,6500
2012,Percent,Species from Betpakdalinsk region,110100
2013,Percent,,187000
2013,Percent,Species from Ural region,26400
2013,Percent,Species from Usturts region,5400
2013,Percent,Species from Betpakdalinsk region,155200
2014,Percent,,256700
2014,Percent,Species from Ural region,39000
2014,Percent,Species from Usturts region,1700
2014,Percent,Species from Betpakdalinsk region,216000
2015,Percent,,295470
2015,Percent,Species from Ural region,51700
2015,Percent,Species from Usturts region,1270
2015,Percent,Species from Betpakdalinsk region,242000
2016,Percent,,108300
2016,Percent,Species from Ural region,70200
2016,Percent,Species from Usturts region,1900
2016,Percent,Species from Betpakdalinsk region,26200
2017,Percent,,152600
2017,Percent,Species from Ural region,98200
2017,Percent,Species from Usturts region,2700
2017,Percent,Species from Betpakdalinsk region,51700
2018,Percent,,215100
2018,Percent,Species from Ural region,135000
2018,Percent,Species from Usturts region,3700
2018,Percent,Species from Betpakdalinsk region,76400
2019,Percent,,334400
2019,Percent,Species from Ural region,217000
2019,Percent,Species from Usturts region,5900
2019,Percent,Species from Betpakdalinsk region,111500
