Year,UNIT_MEASURE,Sex,Age,Value
2015,per 100000 population,,,4.9
2015,per 100000 population,Male,,7.2
2015,per 100000 population,Female,,2.9
2015,per 100000 population,,under 18 years old,0.9
2015,per 100000 population,,18 to 24 years old,5.8
2015,per 100000 population,,Y25T54,8.6
2015,per 100000 population,,55-59,9.2
2015,per 100000 population,,60+,4.9
2016,per 100000 population,,,4.8
2016,per 100000 population,Male,,7.2
2016,per 100000 population,Female,,2.6
2016,per 100000 population,,under 18 years old,0.5
2016,per 100000 population,,18 to 24 years old,6.5
2016,per 100000 population,,Y25T54,9.8
2016,per 100000 population,,55-59,8.4
2016,per 100000 population,,60+,5.0
2017,per 100000 population,,,5.1
2017,per 100000 population,Male,,8.0
2017,per 100000 population,Female,,2.4
2017,per 100000 population,,under 18 years old,0.7
2017,per 100000 population,,18 to 24 years old,5.9
2017,per 100000 population,,Y25T54,8.6
2017,per 100000 population,,55-59,7.0
2017,per 100000 population,,60+,5.3
2018,per 100000 population,,,4.4
2018,per 100000 population,Male,,6.5
2018,per 100000 population,Female,,2.5
2018,per 100000 population,,under 18 years old,0.6
2018,per 100000 population,,18 to 24 years old,5.1
2018,per 100000 population,,Y25T54,9.2
2018,per 100000 population,,55-59,6.3
2018,per 100000 population,,60+,4.9
2019,per 100000 population,,,3.9
2019,per 100000 population,Male,,6.0
2019,per 100000 population,Female,,1.8
2019,per 100000 population,,under 18 years old,0.3
2019,per 100000 population,,18 to 24 years old,3.9
2019,per 100000 population,,Y25T54,8.3
2019,per 100000 population,,55-59,5.6
2019,per 100000 population,,60+,3.2
