Year,UNIT_MEASURE,SERIES,Area,Sex,Age,Value
2016,Percent,,,,,100.0
2016,Percent,Total security,,,,42.4
2016,Percent,Relatively safe,,,,48.7
2016,Percent,Not safe,,,,8.9
2016,Percent,,Population of urban areas,,,100.0
2016,Percent,Total security,Population of urban areas,,,38.0
2016,Percent,Relatively safe,Population of urban areas,,,52.8
2016,Percent,Not safe,Population of urban areas,,,9.2
2016,Percent,,Population of rural areas,,,100.0
2016,Percent,Total security,Population of rural areas,,,48.5
2016,Percent,Relatively safe,Population of rural areas,,,42.9
2016,Percent,Not safe,Population of rural areas,,,8.6
2016,Percent,,,Male,,100.0
2016,Percent,Total security,,Male,,48.2
2016,Percent,Relatively safe,,Male,,45.4
2016,Percent,Not safe,,Male,,6.4
2016,Percent,,,Female,,100.0
2016,Percent,Total security,,Female,,37.1
2016,Percent,Relatively safe,,Female,,51.7
2016,Percent,Not safe,,Female,,11.2
2016,Percent,,,,15-19,100.0
2016,Percent,Total security,,,15-19,41.6
2016,Percent,Relatively safe,,,15-19,45.0
2016,Percent,Not safe,,,15-19,13.4
2016,Percent,,,,20-24,100.0
2016,Percent,Total security,,,20-24,47.8
2016,Percent,Relatively safe,,,20-24,45.6
2016,Percent,Not safe,,,20-24,6.5
2016,Percent,,,,25-29,100.0
2016,Percent,Total security,,,25-29,44.5
2016,Percent,Relatively safe,,,25-29,48.7
2016,Percent,Not safe,,,25-29,6.8
2016,Percent,,,,30-34,100.0
2016,Percent,Total security,,,30-34,44.5
2016,Percent,Relatively safe,,,30-34,48.3
2016,Percent,Not safe,,,30-34,7.2
2016,Percent,,,,35-39,100.0
2016,Percent,Total security,,,35-39,41.9
2016,Percent,Relatively safe,,,35-39,50.9
2016,Percent,Not safe,,,35-39,7.1
2016,Percent,,,,40-44,100.0
2016,Percent,Total security,,,40-44,41.1
2016,Percent,Relatively safe,,,40-44,51.1
2016,Percent,Not safe,,,40-44,7.8
2016,Percent,,,,45-49,100.0
2016,Percent,Total security,,,45-49,45.0
2016,Percent,Relatively safe,,,45-49,46.5
2016,Percent,Not safe,,,45-49,8.5
2016,Percent,,,,50-54,100.0
2016,Percent,Total security,,,50-54,42.7
2016,Percent,Relatively safe,,,50-54,49.7
2016,Percent,Not safe,,,50-54,7.6
2016,Percent,,,,55-59,100.0
2016,Percent,Total security,,,55-59,41.5
2016,Percent,Relatively safe,,,55-59,49.3
2016,Percent,Not safe,,,55-59,9.2
2016,Percent,,,,60+,100.0
2016,Percent,Total security,,,60+,35.0
2016,Percent,Relatively safe,,,60+,51.1
2016,Percent,Not safe,,,60+,14.0
2019,Percent,,,,,100.0
2019,Percent,Total security,,,,49.6
2019,Percent,Relatively safe,,,,42.8
2019,Percent,Not safe,,,,5.4
2019,Percent,совсем не безопасно,,,,0.9
2019,Percent,затруднились ответить,,,,1.2
2019,Percent,,Population of urban areas,,,100.0
2019,Percent,Total security,Population of urban areas,,,40.5
2019,Percent,Relatively safe,Population of urban areas,,,50.4
2019,Percent,Not safe,Population of urban areas,,,6.5
2019,Percent,совсем не безопасно,Population of urban areas,,,1.0
2019,Percent,затруднились ответить,Population of urban areas,,,1.7
2019,Percent,,Population of rural areas,,,100.0
2019,Percent,Total security,Population of rural areas,,,62.9
2019,Percent,Relatively safe,Population of rural areas,,,31.9
2019,Percent,Not safe,Population of rural areas,,,3.8
2019,Percent,совсем не безопасно,Population of rural areas,,,0.9
2019,Percent,затруднились ответить,Population of rural areas,,,0.5
2019,Percent,,,Male,,100.0
2019,Percent,Total security,,Male,,55.3
2019,Percent,Relatively safe,,Male,,39.3
2019,Percent,Not safe,,Male,,3.6
2019,Percent,совсем не безопасно,,Male,,0.8
2019,Percent,затруднились ответить,,Male,,1.0
2019,Percent,,,Female,,100.0
2019,Percent,Total security,,Female,,44.6
2019,Percent,Relatively safe,,Female,,46.0
