Year,UNIT_MEASURE,SERIES,Regions,Value
2012,thousands,,,1571.7
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,,470.2
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Akmola,19.5
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Aktobe,14.8
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty,70.1
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Atyrau,9.3
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Batys Kazakhstan,11.6
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Zhambyl,14.0
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Karagandy,96.1
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kostanay,17.0
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kyzylorda,13.5
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Mangistau,17.9
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Ontustik Kazakhstan,31.8
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Pavlodar,26.8
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Soltustik Kazakhstan,26.6
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shygys Kazakhstan,16.9
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Nur-Sultan city,21.7
2012,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty city,62.7
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,,720.8
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Akmola,34.9
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Aktobe,38.5
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty,4.5
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Atyrau,40.3
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Batys Kazakhstan,26.4
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Zhambyl,24.3
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Karagandy,26.7
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kostanay,51.3
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kyzylorda,15.6
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,18.1
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Ontustik Kazakhstan,24.9
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,45.1
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,27.4
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,71.8
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,75.2
2012,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,195.9
2012,thousands,выше 10 Мбит/сек,Akmola,6.3
2012,thousands,выше 10 Мбит/сек,Aktobe,2.1
2012,thousands,выше 10 Мбит/сек,Almaty,5.6
2012,thousands,выше 10 Мбит/сек,Atyrau,6.9
2012,thousands,выше 10 Мбит/сек,Batys Kazakhstan,2.0
2012,thousands,выше 10 Мбит/сек,Zhambyl,1.4
2012,thousands,выше 10 Мбит/сек,Karagandy,16.4
2012,thousands,выше 10 Мбит/сек,Kostanay,10.9
2012,thousands,выше 10 Мбит/сек,Kyzylorda,2.4
