Year,UNIT_MEASURE,Area,Value
2011,Percent,,3.0
2011,Percent,Population of urban areas,3.0
2011,Percent,Population of rural areas,3.0
2012,Percent,,1.8
2012,Percent,Population of urban areas,2.8
2012,Percent,Population of rural areas,0.9
2013,Percent,,1.2
2013,Percent,Population of urban areas,1.8
2013,Percent,Population of rural areas,0.8
2014,Percent,,1.3
2014,Percent,Population of urban areas,1.8
2014,Percent,Population of rural areas,0.8
2015,Percent,,3.1
2015,Percent,Population of urban areas,3.2
2015,Percent,Population of rural areas,2.5
2016,Percent,,4.5
2016,Percent,Population of urban areas,4.6
2016,Percent,Population of rural areas,3.7
2017,Percent,,3.6
2017,Percent,Population of urban areas,3.5
2017,Percent,Population of rural areas,3.0
2018,Percent,,4.6
2018,Percent,Population of urban areas,4.5
2018,Percent,Population of rural areas,3.7
2019,Percent,,4.1
2019,Percent,Population of urban areas,4.1
2019,Percent,Population of rural areas,3.1
