Year,UNIT_MEASURE,SERIES,Value
2010,Percent,сайгак,4.7
2010,Percent,тугайный благородный олень,0.7
2010,Percent,кулан,0.9
2010,Percent,джейран,-25.1
2010,Percent,архар,2.6
2011,Percent,сайгак,19.3
2011,Percent,тугайный благородный олень,7.1
2011,Percent,кулан,16.8
2011,Percent,джейран,4.3
2011,Percent,архар,2.0
2012,Percent,сайгак,34.8
2012,Percent,тугайный благородный олень,3.1
2012,Percent,кулан,10.3
2012,Percent,джейран,2.0
2012,Percent,архар,4.7
2013,Percent,сайгак,36.0
2013,Percent,тугайный благородный олень,3.4
2013,Percent,кулан,6.1
2013,Percent,джейран,0.8
2013,Percent,архар,1.4
2014,Percent,сайгак,37.3
2014,Percent,тугайный благородный олень,4.5
2014,Percent,кулан,5.1
2014,Percent,джейран,1.5
2014,Percent,архар,6.6
2015,Percent,сайгак,15.1
2015,Percent,тугайный благородный олень,4.5
2015,Percent,кулан,5.1
2015,Percent,джейран,1.5
2015,Percent,архар,6.6
2016,Percent,сайгак,-63.3
2016,Percent,тугайный благородный олень,42.3
2016,Percent,кулан,5.89
2016,Percent,джейран,0.16
2016,Percent,архар,1.7
2017,Percent,сайгак,40.9
2017,Percent,тугайный благородный олень,15.2
2017,Percent,кулан,4.6
2017,Percent,джейран,3.8
2017,Percent,архар,5.1
2018,Percent,сайгак,41.0
2018,Percent,тугайный благородный олень,3.7
2018,Percent,кулан,2.9
2018,Percent,джейран,2.3
2018,Percent,архар,1.5
2019,Percent,сайгак,55.5
2019,Percent,тугайный благородный олень,2.5
2019,Percent,кулан,2.3
2019,Percent,джейран,2.3
2019,Percent,архар,5.2
