Year,UNIT_MEASURE,Sex,Value
2010,Percent,,30.48
2010,Percent,Male,41.19
2010,Percent,Female,21.3
2011,Percent,,28.59
2011,Percent,Male,38.91
2011,Percent,Female,19.8
2012,Percent,,27.1
2012,Percent,Male,37.13
2012,Percent,Female,18.61
2013,Percent,,23.7
2013,Percent,Male,32.83
2013,Percent,Female,16.1
2014,Percent,,20.53
2014,Percent,Male,28.67
2014,Percent,Female,13.88
2015,Percent,,21.12
2015,Percent,Male,29.4
2015,Percent,Female,14.38
2016,Percent,,20.84
2016,Percent,Male,29.25
2016,Percent,Female,13.98
2017,Percent,,19.73
2017,Percent,Male,27.66
2017,Percent,Female,13.29
2018,Percent,,19.28
2018,Percent,Male,27.09
2018,Percent,Female,12.92
2019,Percent,,17.41
2019,Percent,Male,24.18
2019,Percent,Female,11.61
