Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,per 100000 population,,,,20.71
2010,per 100000 population,Akmola,,,19.75
2010,per 100000 population,Aktobe,,,14.66
2010,per 100000 population,Almaty,,,24.64
2010,per 100000 population,Atyrau,,,3.8
2010,per 100000 population,Batys Kazakhstan,,,14.35
2010,per 100000 population,Zhambyl,,,31.43
2010,per 100000 population,Karagandy,,,20.3
2010,per 100000 population,Kostanay,,,11.67
2010,per 100000 population,Kyzylorda,,,20.72655200853243
2010,per 100000 population,Mangistau,,,21.8
2010,per 100000 population,Ontustik Kazakhstan,,,32.41
2010,per 100000 population,Pavlodar,,,16.23
2010,per 100000 population,Soltustik Kazakhstan,,,17.59
2010,per 100000 population,Shygys Kazakhstan,,,17.95
2010,per 100000 population,Nur-Sultan city,,,14.41
2010,per 100000 population,Almaty city,,,14.48
2010,per 100000 population,,Population of urban areas,,18.58
2010,per 100000 population,Akmola,Population of urban areas,,20.74
2010,per 100000 population,Aktobe,Population of urban areas,,13.57
2010,per 100000 population,Almaty,Population of urban areas,,26.43
2010,per 100000 population,Atyrau,Population of urban areas,,4.79
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,,12.9
2010,per 100000 population,Zhambyl,Population of urban areas,,30.6
2010,per 100000 population,Karagandy,Population of urban areas,,19.58
2010,per 100000 population,Kostanay,Population of urban areas,,10.17
2010,per 100000 population,Kyzylorda,Population of urban areas,,17.4
2010,per 100000 population,Mangistau,Population of urban areas,,23.11
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,32.86
2010,per 100000 population,Pavlodar,Population of urban areas,,13.32
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,15.52
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,,15.75
2010,per 100000 population,Nur-Sultan city,Population of urban areas,,14.41
2010,per 100000 population,Almaty city,Population of urban areas,,14.48
2010,per 100000 population,,Population of rural areas,,23.27
2010,per 100000 population,Akmola,Population of rural areas,,18.89
2010,per 100000 population,Aktobe,Population of rural areas,,16.4
2010,per 100000 population,Almaty,Population of rural areas,,24.09
2010,per 100000 population,Atyrau,Population of rural areas,,2.9
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,,15.66
2010,per 100000 population,Zhambyl,Population of rural areas,,31.99
2010,per 100000 population,Karagandy,Population of rural areas,,22.85
2010,per 100000 population,Kostanay,Population of rural areas,,13.17
2010,per 100000 population,Kyzylorda,Population of rural areas,,23.15
2010,per 100000 population,Mangistau,Population of rural areas,,20.33
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,32.12
2010,per 100000 population,Pavlodar,Population of rural areas,,22.56
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,,19.0
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,,20.96
2010,per 100000 population,,,Male,31.46
2010,per 100000 population,Akmola,,Male,27.98
2010,per 100000 population,Aktobe,,Male,22.39
2010,per 100000 population,Almaty,,Male,37.81
2010,per 100000 population,Atyrau,,Male,1.94
2010,per 100000 population,Batys Kazakhstan,,Male,19.84
2010,per 100000 population,Zhambyl,,Male,46.75
2010,per 100000 population,Karagandy,,Male,31.07
2010,per 100000 population,Kostanay,,Male,19.7
2010,per 100000 population,Kyzylorda,,Male,29.76
2010,per 100000 population,Mangistau,,Male,36.55
2010,per 100000 population,Ontustik Kazakhstan,,Male,50.05
2010,per 100000 population,Pavlodar,,Male,22.25
2010,per 100000 population,Soltustik Kazakhstan,,Male,26.65
2010,per 100000 population,Shygys Kazakhstan,,Male,29.37
2010,per 100000 population,Nur-Sultan city,,Male,20.13
2010,per 100000 population,Almaty city,,Male,20.39
2010,per 100000 population,,Population of urban areas,Male,27.39
2010,per 100000 population,Akmola,Population of urban areas,Male,26.91
2010,per 100000 population,Aktobe,Population of urban areas,Male,19.84
2010,per 100000 population,Almaty,Population of urban areas,Male,38.76
2010,per 100000 population,Atyrau,Population of urban areas,Male,2.51
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,Male,18.8
2010,per 100000 population,Zhambyl,Population of urban areas,Male,42.89
2010,per 100000 population,Karagandy,Population of urban areas,Male,30.31
2010,per 100000 population,Kostanay,Population of urban areas,Male,16.35
2010,per 100000 population,Kyzylorda,Population of urban areas,Male,27.38
2010,per 100000 population,Mangistau,Population of urban areas,Male,36.27
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Male,50.06
2010,per 100000 population,Pavlodar,Population of urban areas,Male,17.9
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Male,19.47
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,Male,25.12
2010,per 100000 population,Nur-Sultan city,Population of urban areas,Male,20.13
2010,per 100000 population,Almaty city,Population of urban areas,Male,20.39
2010,per 100000 population,,Population of rural areas,Male,36.05
2010,per 100000 population,Akmola,Population of rural areas,Male,28.86
2010,per 100000 population,Aktobe,Population of rural areas,Male,26.17
2010,per 100000 population,Almaty,Population of rural areas,Male,37.53
2010,per 100000 population,Atyrau,Population of rural areas,Male,1.45
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,Male,20.71
2010,per 100000 population,Zhambyl,Population of rural areas,Male,49.22
2010,per 100000 population,Karagandy,Population of rural areas,Male,33.55
2010,per 100000 population,Kostanay,Population of rural areas,Male,22.85
2010,per 100000 population,Kyzylorda,Population of rural areas,Male,31.42
2010,per 100000 population,Mangistau,Population of rural areas,Male,36.86
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Male,50.04
2010,per 100000 population,Pavlodar,Population of rural areas,Male,31.04
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Male,31.12
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,Male,34.73
2010,per 100000 population,,,Female,10.72
2010,per 100000 population,Akmola,,Female,12.09
2010,per 100000 population,Aktobe,,Female,7.5
2010,per 100000 population,Almaty,,Female,11.96
2010,per 100000 population,Atyrau,,Female,5.58
2010,per 100000 population,Batys Kazakhstan,,Female,9.24
2010,per 100000 population,Zhambyl,,Female,16.87
2010,per 100000 population,Karagandy,,Female,10.67
2010,per 100000 population,Kostanay,,Female,4.5
2010,per 100000 population,Kyzylorda,,Female,11.76
2010,per 100000 population,Mangistau,,Female,7.33
2010,per 100000 population,Ontustik Kazakhstan,,Female,15.18
2010,per 100000 population,Pavlodar,,Female,10.89
2010,per 100000 population,Soltustik Kazakhstan,,Female,9.36
2010,per 100000 population,Shygys Kazakhstan,,Female,7.63
2010,per 100000 population,Nur-Sultan city,,Female,8.98
2010,per 100000 population,Almaty city,,Female,9.48
2010,per 100000 population,,Population of urban areas,Female,10.82
2010,per 100000 population,Akmola,Population of urban areas,Female,15.33
2010,per 100000 population,Aktobe,Population of urban areas,Female,8.0
2010,per 100000 population,Almaty,Population of urban areas,Female,15.31
2010,per 100000 population,Atyrau,Population of urban areas,Female,6.86
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,Female,7.8
2010,per 100000 population,Zhambyl,Population of urban areas,Female,19.7
2010,per 100000 population,Karagandy,Population of urban areas,Female,10.29
2010,per 100000 population,Kostanay,Population of urban areas,Female,4.99
2010,per 100000 population,Kyzylorda,Population of urban areas,Female,7.96
2010,per 100000 population,Mangistau,Population of urban areas,Female,10.69
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Female,16.96
2010,per 100000 population,Pavlodar,Population of urban areas,Female,9.43
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Female,12.25
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,Female,7.79
