Year,Age,Area,Regions,Value
2010,age: 10-14 years old,,,0.0443645094571824
2010,age: 10-14 years old,,Akmola,0.1219586560156107
2010,age: 10-14 years old,,Aktobe,0.0
2010,age: 10-14 years old,,Almaty,0.04647056089967
2010,age: 10-14 years old,,Atyrau,0.0
2010,age: 10-14 years old,,Batys Kazakhstan,0.0
2010,age: 10-14 years old,,Zhambyl,0.0241837968561064
2010,age: 10-14 years old,,Karagandy,0.0715751300281528
2010,age: 10-14 years old,,Kostanay,0.1171623284060065
2010,age: 10-14 years old,,Kyzylorda,0.0325839035516454
2010,age: 10-14 years old,,Mangistau,0.0
2010,age: 10-14 years old,,Ontustik Kazakhstan,0.0084840669223198
2010,age: 10-14 years old,,Pavlodar,0.09388349058818
2010,age: 10-14 years old,,Soltustik Kazakhstan,0.0575208513085993
2010,age: 10-14 years old,,Shygys Kazakhstan,0.0749185261028631
2010,age: 10-14 years old,,Nur-Sultan city,0.1196530062817828
2010,age: 10-14 years old,,Almaty city,0.0591794765575298
2010,age: 10-14 years old,Population of urban areas,,0.0607826526309391
2010,age: 10-14 years old,Population of urban areas,Akmola,0.2980477869951815
2010,age: 10-14 years old,Population of urban areas,Aktobe,0.0
2010,age: 10-14 years old,Population of urban areas,Almaty,0.2098489087856743
2010,age: 10-14 years old,Population of urban areas,Atyrau,0.0
2010,age: 10-14 years old,Population of urban areas,Batys Kazakhstan,0.0
2010,age: 10-14 years old,Population of urban areas,Zhambyl,0.0643045463314256
2010,age: 10-14 years old,Population of urban areas,Karagandy,0.0990769332386598
2010,age: 10-14 years old,Population of urban areas,Kostanay,0.2787974536499233
2010,age: 10-14 years old,Population of urban areas,Kyzylorda,0.0859217253082441
2010,age: 10-14 years old,Population of urban areas,Mangistau,0.0
2010,age: 10-14 years old,Population of urban areas,Ontustik Kazakhstan,0.0
2010,age: 10-14 years old,Population of urban areas,Pavlodar,0.0
2010,age: 10-14 years old,Population of urban areas,Soltustik Kazakhstan,0.0
2010,age: 10-14 years old,Population of urban areas,Shygys Kazakhstan,0.1009107192411513
2010,age: 10-14 years old,Population of urban areas,Nur-Sultan city,0.0
2010,age: 10-14 years old,Population of urban areas,Almaty city,0.0
2010,age: 10-14 years old,Population of rural areas,,0.0299719762022508
2010,age: 10-14 years old,Population of rural areas,Akmola,0.0
2010,age: 10-14 years old,Population of rural areas,Aktobe,0.0
2010,age: 10-14 years old,Population of rural areas,Almaty,0.0
2010,age: 10-14 years old,Population of rural areas,Atyrau,0.0
2010,age: 10-14 years old,Population of rural areas,Batys Kazakhstan,0.0
2010,age: 10-14 years old,Population of rural areas,Zhambyl,0.0
2010,age: 10-14 years old,Population of rural areas,Karagandy,0.0
2010,age: 10-14 years old,Population of rural areas,Kostanay,0.0
2010,age: 10-14 years old,Population of rural areas,Kyzylorda,0.0
2010,age: 10-14 years old,Population of rural areas,Mangistau,0.0
2010,age: 10-14 years old,Population of rural areas,Ontustik Kazakhstan,0.0130032247997503
2010,age: 10-14 years old,Population of rural areas,Pavlodar,0.2499843759765014
2010,age: 10-14 years old,Population of rural areas,Soltustik Kazakhstan,0.082314689056262
2010,age: 10-14 years old,Population of rural areas,Shygys Kazakhstan,0.0494462025316455
2010,15-19,,,28.26355987484842
2010,,,Akmola,33.42636895268474
2010,,,Aktobe,21.83937167468964
2010,,,Almaty,30.749137046366265
2010,,,Atyrau,42.38024950967507
2010,,,Batys Kazakhstan,26.085191949379237
2010,,,Zhambyl,36.693411909928926
2010,,,Karagandy,29.27261975162626
2010,,,Kostanay,25.815217391304348
2010,,,Kyzylorda,23.19021361645428
2010,,,Mangistau,39.68056934789805
2010,,,Ontustik Kazakhstan,30.066937342258317
2010,,,Pavlodar,27.55850506461753
2010,,,Soltustik Kazakhstan,31.21505777115169
2010,,,Shygys Kazakhstan,24.93887089352257
2010,,,Nur-Sultan city,22.6027397260274
2010,,,Almaty city,13.9711779772839
2010,,Population of urban areas,,25.759867297653315
2010,,Population of urban areas,Akmola,31.138429828112923
2010,,Population of urban areas,Aktobe,20.66295368434129
2010,,Population of urban areas,Almaty,32.142952966113064
2010,,Population of urban areas,Atyrau,49.518066785436936
2010,,Population of urban areas,Batys Kazakhstan,30.549045865416804
2010,,Population of urban areas,Zhambyl,27.976146653905616
2010,,Population of urban areas,Karagandy,29.81473502800517
2010,,Population of urban areas,Kostanay,21.052010850336124
2010,,Population of urban areas,Kyzylorda,29.322548028311427
2010,,Population of urban areas,Mangistau,35.9752670039348
2010,,Population of urban areas,Ontustik Kazakhstan,29.42766664092068
2010,,Population of urban areas,Pavlodar,25.58139534883721
2010,,Population of urban areas,Soltustik Kazakhstan,25.082672989330504
2010,,Population of urban areas,Shygys Kazakhstan,22.30483271375465
2010,,Population of urban areas,Nur-Sultan city,22.6027397260274
2010,,Population of urban areas,Almaty city,13.9711779772839
2010,,Population of rural areas,,31.026544706337727
2010,,Population of rural areas,Akmola,35.308724222511586
2010,,Population of rural areas,Aktobe,23.69374367677295
2010,,Population of rural areas,Almaty,30.32854575189857
2010,,Population of rural areas,Atyrau,36.71189146049481
2010,,Population of rural areas,Batys Kazakhstan,22.56606512487216
2010,,Population of rural areas,Zhambyl,42.64299472405996
2010,,Population of rural areas,Karagandy,27.6408907332617
2010,,Population of rural areas,Kostanay,30.21230266739249
2010,,Population of rural areas,Kyzylorda,18.739144262054456
2010,,Population of rural areas,Mangistau,43.61929150661545
2010,,Population of rural areas,Ontustik Kazakhstan,30.478964038804985
2010,,Population of rural areas,Pavlodar,31.16370808678501
2010,,Population of rural areas,Soltustik Kazakhstan,34.86859224564143
2010,,Population of rural areas,Shygys Kazakhstan,28.57756768371293
2011,age: 10-14 years old,,,0.0211100546310622
2011,age: 10-14 years old,,Akmola,0.0
2011,age: 10-14 years old,,Aktobe,0.0781188969611749
2011,age: 10-14 years old,,Almaty,0.0
2011,age: 10-14 years old,,Atyrau,0.0482648776485351
2011,age: 10-14 years old,,Batys Kazakhstan,0.0517170045510963
2011,age: 10-14 years old,,Zhambyl,0.0479639311237949
2011,age: 10-14 years old,,Karagandy,0.0242789161891813
2011,age: 10-14 years old,,Kostanay,0.0
2011,age: 10-14 years old,,Kyzylorda,0.0
2011,age: 10-14 years old,,Mangistau,0.0
2011,age: 10-14 years old,,Ontustik Kazakhstan,0.0
2011,age: 10-14 years old,,Pavlodar,0.0
2011,age: 10-14 years old,,Soltustik Kazakhstan,0.1171680482732358
2011,age: 10-14 years old,,Shygys Kazakhstan,0.0254023090698944
2011,age: 10-14 years old,,Nur-Sultan city,0.0538227616459
2011,age: 10-14 years old,,Almaty city,0.0283177821513019
2011,age: 10-14 years old,Population of urban areas,,0.0224340998317442
2011,age: 10-14 years old,Population of urban areas,Akmola,0.0
2011,age: 10-14 years old,Population of urban areas,Aktobe,0.0717900857891525
2011,age: 10-14 years old,Population of urban areas,Almaty,0.0
2011,age: 10-14 years old,Population of urban areas,Atyrau,0.1077934677158564
2011,age: 10-14 years old,Population of urban areas,Batys Kazakhstan,0.0
2011,age: 10-14 years old,Population of urban areas,Zhambyl,0.1302592158395206
2011,age: 10-14 years old,Population of urban areas,Karagandy,0.0
2011,age: 10-14 years old,Population of urban areas,Kostanay,0.0
2011,age: 10-14 years old,Population of urban areas,Kyzylorda,0.0
2011,age: 10-14 years old,Population of urban areas,Mangistau,0.0
2011,age: 10-14 years old,Population of urban areas,Ontustik Kazakhstan,0.0
2011,age: 10-14 years old,Population of urban areas,Pavlodar,0.0
2011,age: 10-14 years old,Population of urban areas,Soltustik Kazakhstan,0.0
2011,age: 10-14 years old,Population of urban areas,Shygys Kazakhstan,0.0
2011,age: 10-14 years old,Population of urban areas,Nur-Sultan city,0.0538227616459
2011,age: 10-14 years old,Population of urban areas,Almaty city,0.0283177821513019
2011,age: 10-14 years old,Population of rural areas,,0.019933587929548
2011,age: 10-14 years old,Population of rural areas,Akmola,0.0
2011,age: 10-14 years old,Population of rural areas,Aktobe,0.085671449989291
2011,age: 10-14 years old,Population of rural areas,Almaty,0.0
2011,age: 10-14 years old,Population of rural areas,Atyrau,0.0
