Year,UNIT_MEASURE,SERIES,Value
2010,Percent,,98.1
2010,Percent,DTP Coverage (3 doses),98.9
2010,Percent,Measles vaccine coverage (2 doses),99.6
2011,Percent,,97.1
2011,Percent,DTP Coverage (3 doses),98.6
2011,Percent,Measles vaccine coverage (2 doses),100.0
2012,Percent,,97.2
2012,Percent,DTP Coverage (3 doses),98.1
2012,Percent,Measles vaccine coverage (2 doses),97.0
2012,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),38.5
2013,Percent,,97.9
2013,Percent,DTP Coverage (3 doses),98.1
2013,Percent,Measles vaccine coverage (2 doses),99.3
2013,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),51.8
2014,Percent,,98.4
2014,Percent,DTP Coverage (3 doses),98.5
2014,Percent,Measles vaccine coverage (2 doses),99.2
2014,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),58.5
2015,Percent,,98.2
2015,Percent,DTP Coverage (3 doses),97.9
2015,Percent,Measles vaccine coverage (2 doses),98.4
2015,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),73.7
2016,Percent,,95.0
2016,Percent,DTP Coverage (3 doses),82.5
2016,Percent,Measles vaccine coverage (2 doses),99.3
2016,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),97.3
2017,Percent,,96.9
2017,Percent,DTP Coverage (3 doses),100.0
2017,Percent,Measles vaccine coverage (2 doses),98.7
2017,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),98.3
2018,Percent,,97.8
2018,Percent,DTP Coverage (3 doses),98.3
2018,Percent,Measles vaccine coverage (2 doses),98.4
2018,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),95.5
2019,Percent,,96.7
2019,Percent,DTP Coverage (3 doses),97.4
2019,Percent,Measles vaccine coverage (2 doses),97.8
2019,Percent,Pneumococcal Conjugate Vaccine Coverage (3 doses),89.4
