Year,UNIT_MEASURE,SERIES,Sex,Regions,Value
2015,Percent,i) literacy (based on gender),,,58.7
2015,Percent,i) literacy (based on gender),Male,,54.7
2015,Percent,i) literacy (based on gender),Female,,63.0
2015,Percent,i) literacy (based on gender),Male,Akmola,57.0
2015,Percent,i) literacy (based on gender),Female,Akmola,60.0
2015,Percent,i) literacy (based on gender),Male,Aktobe,39.0
2015,Percent,i) literacy (based on gender),Female,Aktobe,62.0
2015,Percent,i) literacy (based on gender),Male,Almaty,51.0
2015,Percent,i) literacy (based on gender),Female,Almaty,58.0
2015,Percent,i) literacy (based on gender),Male,Atyrau,33.0
2015,Percent,i) literacy (based on gender),Female,Atyrau,51.0
2015,Percent,i) literacy (based on gender),Male,Batys Kazakhstan,59.0
2015,Percent,i) literacy (based on gender),Female,Batys Kazakhstan,66.0
2015,Percent,i) literacy (based on gender),Male,Zhambyl,58.0
2015,Percent,i) literacy (based on gender),Female,Zhambyl,63.0
2015,Percent,i) literacy (based on gender),Male,Karagandy,71.0
2015,Percent,i) literacy (based on gender),Female,Karagandy,74.0
2015,Percent,i) literacy (based on gender),Male,Kostanay,57.0
2015,Percent,i) literacy (based on gender),Female,Kostanay,63.0
2015,Percent,i) literacy (based on gender),Male,Kyzylorda,59.0
2015,Percent,i) literacy (based on gender),Female,Kyzylorda,65.0
2015,Percent,i) literacy (based on gender),Male,Mangistau,45.0
2015,Percent,i) literacy (based on gender),Female,Mangistau,45.0
2015,Percent,i) literacy (based on gender),Male,Ontustik Kazakhstan,42.0
2015,Percent,i) literacy (based on gender),Female,Ontustik Kazakhstan,48.0
2015,Percent,i) literacy (based on gender),Male,Pavlodar,70.0
2015,Percent,i) literacy (based on gender),Female,Pavlodar,79.0
2015,Percent,i) literacy (based on gender),Male,Soltustik Kazakhstan,57.0
2015,Percent,i) literacy (based on gender),Female,Soltustik Kazakhstan,78.0
2015,Percent,i) literacy (based on gender),Male,Shygys Kazakhstan,57.0
2015,Percent,i) literacy (based on gender),Female,Shygys Kazakhstan,63.0
2015,Percent,i) literacy (based on gender),Male,Nur-Sultan city,82.0
2015,Percent,i) literacy (based on gender),Female,Nur-Sultan city,85.0
2015,Percent,i) literacy (based on gender),Male,Almaty city,64.0
2015,Percent,i) literacy (based on gender),Female,Almaty city,78.0
2015,Percent,ii) basic math skills (based on gender and 3rd grade),,,99.977
