Year,UNIT_MEASURE,Sex,Regions,Value
2015,Percent,,,99.81213409838932
2015,Percent,Male,,100.0
2015,Percent,Female,,95.54547647768396
2015,Percent,,Akmola,100.0
2015,Percent,,Aktobe,100.0
2015,Percent,,Almaty,97.8
2015,Percent,,Atyrau,100.0
2015,Percent,,Batys Kazakhstan,100.0
2015,Percent,,Zhambyl,100.0
2015,Percent,,Karagandy,100.0
2015,Percent,,Kostanay,100.0
2015,Percent,,Kyzylorda,100.0
2015,Percent,,Mangistau,100.0
2015,Percent,,Ontustik Kazakhstan,99.5
2015,Percent,,Pavlodar,100.0
2015,Percent,,Soltustik Kazakhstan,100.0
2015,Percent,,Shygys Kazakhstan,100.0
2015,Percent,,Nur-Sultan city,99.7
2015,Percent,,Almaty city,99.8
2015,Percent,Male,Akmola,100.0
2015,Percent,Female,Akmola,100.0
2015,Percent,Male,Aktobe,100.0
2015,Percent,Female,Aktobe,100.0
2015,Percent,Male,Almaty,97.94669047315394
2015,Percent,Female,Almaty,97.69844146429864
2015,Percent,Male,Atyrau,100.0
2015,Percent,Female,Atyrau,100.0
2015,Percent,Male,Batys Kazakhstan,100.0
2015,Percent,Female,Batys Kazakhstan,100.0
2015,Percent,Male,Zhambyl,100.0
2015,Percent,Female,Zhambyl,100.0
2015,Percent,Male,Karagandy,100.0
2015,Percent,Female,Karagandy,100.0
2015,Percent,Male,Kostanay,100.0
2015,Percent,Female,Kostanay,100.0
2015,Percent,Male,Kyzylorda,100.0
2015,Percent,Female,Kyzylorda,100.0
2015,Percent,Male,Mangistau,100.0
2015,Percent,Female,Mangistau,100.0
2015,Percent,Male,Ontustik Kazakhstan,99.03708400854882
2015,Percent,Female,Ontustik Kazakhstan,100.0
2015,Percent,Male,Pavlodar,100.0
2015,Percent,Female,Pavlodar,100.0
2015,Percent,Male,Soltustik Kazakhstan,100.0
2015,Percent,Female,Soltustik Kazakhstan,100.0
2015,Percent,Male,Shygys Kazakhstan,100.0
2015,Percent,Female,Shygys Kazakhstan,100.0
2015,Percent,Male,Nur-Sultan city,100.0
2015,Percent,Female,Nur-Sultan city,82.83477036776351
2015,Percent,Male,Almaty city,100.0
2015,Percent,Female,Almaty city,93.84175167952226
2016,Percent,,,95.85777639042873
2016,Percent,Male,,98.77800407331976
2016,Percent,Female,,92.88182559087204
2016,Percent,,Akmola,100.0
2016,Percent,,Aktobe,100.0
2016,Percent,,Almaty,100.0
2016,Percent,,Atyrau,100.0
2016,Percent,,Batys Kazakhstan,100.0
2016,Percent,,Zhambyl,100.0
2016,Percent,,Karagandy,96.8
2016,Percent,,Kostanay,100.0
2016,Percent,,Kyzylorda,100.0
2016,Percent,,Mangistau,100.0
2016,Percent,,Ontustik Kazakhstan,88.1
2016,Percent,,Pavlodar,100.0
2016,Percent,,Soltustik Kazakhstan,100.0
2016,Percent,,Shygys Kazakhstan,100.0
2016,Percent,,Nur-Sultan city,84.9
2016,Percent,,Almaty city,89.5
2016,Percent,Male,Akmola,100.0
2016,Percent,Female,Akmola,100.0
2016,Percent,Male,Aktobe,100.0
2016,Percent,Female,Aktobe,100.0
2016,Percent,Male,Almaty,100.0
2016,Percent,Female,Almaty,100.0
2016,Percent,Male,Atyrau,100.0
2016,Percent,Female,Atyrau,100.0
2016,Percent,Male,Batys Kazakhstan,100.0
2016,Percent,Female,Batys Kazakhstan,100.0
2016,Percent,Male,Zhambyl,100.0
