Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Age,Regions,Value
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,,13.22816217108324
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,,19.461043106059417
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,,45.17932106932099
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,,37.20976806718313
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,,13.228123878752696
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,,14.749631340587689
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,,19.964893591357267
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,,19.546090372197625
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,,3.4932178538757004
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Akmola,21.673480244505537
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Akmola,20.51214460553568
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Akmola,46.05064959517981
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Akmola,50.31444172472227
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Akmola,30.390698550178875
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Akmola,21.9742044812653
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Akmola,32.21238938053098
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Akmola,34.94916211636227
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Akmola,3.7318772359254377
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Aktobe,14.568321881318427
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Aktobe,16.91179805003401
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Aktobe,50.20784521200211
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Aktobe,36.38349331116318
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Aktobe,13.967954047313128
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Aktobe,16.35250547955559
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Aktobe,18.750661325674557
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Aktobe,20.984808404504573
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Aktobe,1.4670092963494823
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Almaty,10.10353472487036
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Almaty,20.424349216152883
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Almaty,40.324074915075656
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Almaty,31.40184199531327
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Almaty,7.604861123726135
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Almaty,10.665043870006722
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Almaty,9.463205507820309
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Almaty,21.127722574433687
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Almaty,1.9491725553597703
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Atyrau,10.957498199007588
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Atyrau,14.972867957392644
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Atyrau,56.23813670976531
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Atyrau,30.43031642884259
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Atyrau,4.575601259462719
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Atyrau,3.840914673633907
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Atyrau,16.189901967352224
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Atyrau,21.74471315959893
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Atyrau,3.9157231861727073
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Batys Kazakhstan,13.269356995784385
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Batys Kazakhstan,23.489568356816516
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Batys Kazakhstan,74.70952213595749
