Year,UNIT_MEASURE,Mother's education,Area,Regions,Value
2010,,Elementary education/ High education (incomplete),,,1.0
2010,,secondary (high school),,,1.0
2010,Percent,Elementary education/ High education (incomplete),,,1.0
2010,Percent,Elementary education/ High education (incomplete),Population of urban areas,,0.99
2010,Percent,Elementary education/ High education (incomplete),Population of rural areas,,1.0
2010,Percent,Elementary education/ High education (incomplete),,Akmola,0.99
2010,Percent,Elementary education/ High education (incomplete),,Aktobe,1.01
2010,Percent,Elementary education/ High education (incomplete),,Almaty,1.01
2010,Percent,Elementary education/ High education (incomplete),,Atyrau,1.0
2010,Percent,Elementary education/ High education (incomplete),,Batys Kazakhstan,0.99
2010,Percent,Elementary education/ High education (incomplete),,Zhambyl,0.99
2010,Percent,Elementary education/ High education (incomplete),,Karagandy,1.0
2010,Percent,Elementary education/ High education (incomplete),,Kostanay,0.99
2010,Percent,Elementary education/ High education (incomplete),,Kyzylorda,1.01
2010,Percent,Elementary education/ High education (incomplete),,Mangistau,1.0
2010,Percent,Elementary education/ High education (incomplete),,Ontustik Kazakhstan,1.0
2010,Percent,Elementary education/ High education (incomplete),,Pavlodar,1.0
2010,Percent,Elementary education/ High education (incomplete),,Soltustik Kazakhstan,1.01
2010,Percent,Elementary education/ High education (incomplete),,Shygys Kazakhstan,1.0
2010,Percent,Elementary education/ High education (incomplete),,Nur-Sultan city,1.0
2010,Percent,Elementary education/ High education (incomplete),,Almaty city,1.0
2010,Percent,secondary (high school),,,1.0
2010,Percent,secondary (high school),Population of urban areas,,0.99
2010,Percent,secondary (high school),Population of rural areas,,1.01
2010,Percent,secondary (high school),,Akmola,1.02
2010,Percent,secondary (high school),,Aktobe,1.0
2010,Percent,secondary (high school),,Almaty,1.03
2010,Percent,secondary (high school),,Atyrau,1.01
2010,Percent,secondary (high school),,Batys Kazakhstan,1.01
2010,Percent,secondary (high school),,Zhambyl,1.0
2010,Percent,secondary (high school),,Karagandy,1.0
2010,Percent,secondary (high school),,Kostanay,1.0
2010,Percent,secondary (high school),,Kyzylorda,1.01
2010,Percent,secondary (high school),,Mangistau,0.99
2010,Percent,secondary (high school),,Ontustik Kazakhstan,0.99
2010,Percent,secondary (high school),,Pavlodar,1.0
2010,Percent,secondary (high school),,Soltustik Kazakhstan,0.98
2010,Percent,secondary (high school),,Shygys Kazakhstan,0.97
2010,Percent,secondary (high school),,Nur-Sultan city,1.01
2010,Percent,secondary (high school),,Almaty city,0.99
2015,,Elementary education/ High education (incomplete),,,1.0
2015,,secondary (high school),,,1.0
2015,,High Education (Incomplete),,,1.0
2015,,High Education (General),,,1.01
2015,Percent,Elementary education/ High education (incomplete),,,1.0
2015,Percent,Elementary education/ High education (incomplete),Population of urban areas,,0.99
