Year,UNIT_MEASURE,SERIES,Area,Regions,Value
2015,Percent,sources of drinking water,,,100.0
2016,Percent,sources of drinking water,,,100.0
2017,Percent,sources of drinking water,,,100.0
2018,Percent,sources of drinking water,,,100.0
2019,Percent,access to the internet for education purposes,,,94.06596377399296
2019,Percent,access to the internet for education purposes,,Akmola,100.0
2019,Percent,access to the internet for education purposes,,Aktobe,97.1291866028708
2019,Percent,access to the internet for education purposes,,Almaty,91.78255372945638
2019,Percent,access to the internet for education purposes,,Atyrau,93.71980676328504
2019,Percent,access to the internet for education purposes,,Batys Kazakhstan,86.92307692307692
2019,Percent,access to the internet for education purposes,,Zhambyl,99.78308026030368
2019,Percent,access to the internet for education purposes,,Karagandy,97.39292364990688
2019,Percent,access to the internet for education purposes,,Kostanay,91.47286821705426
2019,Percent,access to the internet for education purposes,,Kyzylorda,98.08917197452227
2019,Percent,access to the internet for education purposes,,Mangistau,100.0
2019,Percent,access to the internet for education purposes,,Pavlodar,99.45652173913044
2019,Percent,access to the internet for education purposes,,Soltustik Kazakhstan,90.74074074074076
2019,Percent,access to the internet for education purposes,,Turkistan,83.04347826086956
2019,Percent,access to the internet for education purposes,,Shygys Kazakhstan,99.11634756995582
2019,Percent,access to the internet for education purposes,,Nur-Sultan city,94.91525423728814
2019,Percent,access to the internet for education purposes,,Almaty city,98.6206896551724
2019,Percent,access to the internet for education purposes,,Shymkent city,91.90751445086704
2019,Percent,access to the internet for education purposes,Population of urban areas,,96.68717463322292
2019,Percent,access to the internet for education purposes,Population of urban areas,Akmola,100.0
2019,Percent,access to the internet for education purposes,Population of urban areas,Aktobe,97.77777777777776
2019,Percent,access to the internet for education purposes,Population of urban areas,Almaty,96.3963963963964
2019,Percent,access to the internet for education purposes,Population of urban areas,Atyrau,96.05263157894736
2019,Percent,access to the internet for education purposes,Population of urban areas,Batys Kazakhstan,93.24324324324324
2019,Percent,access to the internet for education purposes,Population of urban areas,Zhambyl,99.05660377358492
2019,Percent,access to the internet for education purposes,Population of urban areas,Karagandy,97.8813559322034
2019,Percent,access to the internet for education purposes,Population of urban areas,Kostanay,97.97979797979798
2019,Percent,access to the internet for education purposes,Population of urban areas,Kyzylorda,93.67088607594935
2019,Percent,access to the internet for education purposes,Population of urban areas,Mangistau,100.0
2019,Percent,access to the internet for education purposes,Population of urban areas,Pavlodar,97.87234042553192
2019,Percent,access to the internet for education purposes,Population of urban areas,Soltustik Kazakhstan,98.4375
2019,Percent,access to the internet for education purposes,Population of urban areas,Turkistan,90.2439024390244
2019,Percent,access to the internet for education purposes,Population of urban areas,Shygys Kazakhstan,98.34254143646407
2019,Percent,access to the internet for education purposes,Population of urban areas,Nur-Sultan city,94.91525423728814
2019,Percent,access to the internet for education purposes,Population of urban areas,Almaty city,98.6206896551724
2019,Percent,access to the internet for education purposes,Population of urban areas,Shymkent city,91.90751445086704
2019,Percent,access to the internet for education purposes,Population of rural areas,,93.01797540208136
2019,Percent,access to the internet for education purposes,Population of rural areas,Akmola,100.0
2019,Percent,access to the internet for education purposes,Population of rural areas,Aktobe,96.81978798586572
2019,Percent,access to the internet for education purposes,Population of rural areas,Almaty,91.02941176470588
2019,Percent,access to the internet for education purposes,Population of rural areas,Atyrau,92.36641221374046
2019,Percent,access to the internet for education purposes,Population of rural areas,Batys Kazakhstan,85.44303797468355
2019,Percent,access to the internet for education purposes,Population of rural areas,Zhambyl,100.0
2019,Percent,access to the internet for education purposes,Population of rural areas,Karagandy,97.00996677740864
2019,Percent,access to the internet for education purposes,Population of rural areas,Kostanay,89.92805755395683
2019,Percent,access to the internet for education purposes,Population of rural areas,Kyzylorda,99.5744680851064
2019,Percent,access to the internet for education purposes,Population of rural areas,Mangistau,100.0
