Year,UNIT_MEASURE,Mother's education,Regions,Value
2012,Percent,Early childhood education,,95.9
2012,Percent,Early childhood education,Akmola,96.47513278609368
2012,Percent,Early childhood education,Aktobe,95.22347321733196
2012,Percent,Early childhood education,Almaty,90.35001635590449
2012,Percent,Early childhood education,Atyrau,94.23604757548031
2012,Percent,Early childhood education,Batys Kazakhstan,94.43736730360936
2012,Percent,Early childhood education,Zhambyl,95.58349451966474
2012,Percent,Early childhood education,Karagandy,97.95511221945137
2012,Percent,Early childhood education,Kostanay,96.99453551912568
2012,Percent,Early childhood education,Kyzylorda,91.32290184921764
2012,Percent,Early childhood education,Mangistau,92.20956719817768
2012,Percent,Early childhood education,Ontustik Kazakhstan,96.68207778079956
2012,Percent,Early childhood education,Pavlodar,99.2030602486452
2012,Percent,Early childhood education,Soltustik Kazakhstan,99.5744680851064
2012,Percent,Early childhood education,Shygys Kazakhstan,96.9377675337504
2012,Percent,Early childhood education,Nur-Sultan city,95.9767545820295
2012,Percent,Early childhood education,Almaty city,98.99168137131332
2013,Percent,Early childhood education,,99.4
2013,Percent,Early childhood education,Akmola,97.44739565367368
2013,Percent,Early childhood education,Aktobe,98.86104783599087
2013,Percent,Early childhood education,Almaty,98.10355849137012
2013,Percent,Early childhood education,Atyrau,100.0
2013,Percent,Early childhood education,Batys Kazakhstan,100.0
2013,Percent,Early childhood education,Zhambyl,99.9133636560537
2013,Percent,Early childhood education,Karagandy,99.67139042924626
2013,Percent,Early childhood education,Kostanay,97.84366576819409
2013,Percent,Early childhood education,Kyzylorda,100.0
2013,Percent,Early childhood education,Mangistau,98.34765366820886
2013,Percent,Early childhood education,Ontustik Kazakhstan,99.5372249736137
2013,Percent,Early childhood education,Pavlodar,100.0
2013,Percent,Early childhood education,Soltustik Kazakhstan,99.76896418944936
2013,Percent,Early childhood education,Shygys Kazakhstan,99.64774140074596
2013,Percent,Early childhood education,Nur-Sultan city,100.0
2013,Percent,Early childhood education,Almaty city,100.0
2014,Percent,Early childhood education,,98.7
2014,Percent,Early childhood education,Akmola,96.29283489096572
2014,Percent,Early childhood education,Aktobe,99.54264191552326
2014,Percent,Early childhood education,Almaty,98.20426487093154
2014,Percent,Early childhood education,Atyrau,99.68793342579752
2014,Percent,Early childhood education,Batys Kazakhstan,100.0
2014,Percent,Early childhood education,Zhambyl,99.8057498057498
2014,Percent,Early childhood education,Karagandy,98.843590748726
2014,Percent,Early childhood education,Kostanay,96.10726643598616
2014,Percent,Early childhood education,Kyzylorda,100.0
2014,Percent,Early childhood education,Mangistau,92.8436911487759
2014,Percent,Early childhood education,Ontustik Kazakhstan,99.51633207447162
2014,Percent,Early childhood education,Pavlodar,99.80793854033293
2014,Percent,Early childhood education,Soltustik Kazakhstan,99.87442444537464
2014,Percent,Early childhood education,Shygys Kazakhstan,99.56248811108998
2014,Percent,Early childhood education,Nur-Sultan city,100.0
2014,Percent,Early childhood education,Almaty city,96.20395327942498
2015,Percent,Early childhood education,,99.3
2015,Percent,Early childhood education,Akmola,98.89534883720933
2015,Percent,Early childhood education,Aktobe,99.87565282268092
2015,Percent,Early childhood education,Almaty,98.27365728900256
2015,Percent,Early childhood education,Atyrau,99.93508601103538
2015,Percent,Early childhood education,Batys Kazakhstan,100.0
2015,Percent,Early childhood education,Zhambyl,99.82366425674483
2015,Percent,Early childhood education,Karagandy,99.871912168344
2015,Percent,Early childhood education,Kostanay,98.63128491620112
2015,Percent,Early childhood education,Kyzylorda,100.0
2015,Percent,Early childhood education,Mangistau,96.22969837587009
2015,Percent,Early childhood education,Ontustik Kazakhstan,99.72443539208052
2015,Percent,Early childhood education,Pavlodar,100.0
2015,Percent,Early childhood education,Soltustik Kazakhstan,99.75688816855754
2015,Percent,Early childhood education,Shygys Kazakhstan,97.26755914175683
2015,Percent,Early childhood education,Nur-Sultan city,100.0
2015,Percent,Early childhood education,Almaty city,100.0
2016,Percent,Early childhood education,,97.0
2016,Percent,Early childhood education,Akmola,99.18292040063258
2016,Percent,Early childhood education,Aktobe,96.51019906610962
2016,Percent,Early childhood education,Almaty,94.75014037057832
2016,Percent,Early childhood education,Atyrau,95.1338199513382
2016,Percent,Early childhood education,Batys Kazakhstan,98.34446703456288
2016,Percent,Early childhood education,Zhambyl,95.93926553672316
2016,Percent,Early childhood education,Karagandy,98.94218493525442
2016,Percent,Early childhood education,Kostanay,97.4097547533756
