Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,SERIES,Age,Value
2015,Percent,Physical violence,During lifetime,,16.2
2015,Percent,Sexual harassment,During lifetime,,3.6
2015,Percent,Physical violence/sexual harassment,During lifetime,,16.5
2015,Percent,Physical violence,In the last 12 months,,4.5
2015,Percent,Sexual harassment,In the last 12 months,,1.0
2015,Percent,Physical violence/sexual harassment,In the last 12 months,,4.7
2015,Percent,Physical violence,During lifetime,18 to 49 years old,16.0
2015,Percent,Sexual harassment,During lifetime,18 to 49 years old,3.9
2015,Percent,Physical violence/sexual harassment,During lifetime,18 to 49 years old,16.4
2015,Percent,Physical violence,In the last 12 months,18 to 49 years old,5.3
2015,Percent,Sexual harassment,In the last 12 months,18 to 49 years old,1.2
2015,Percent,Physical violence/sexual harassment,In the last 12 months,18 to 49 years old,5.6
