Year,UNIT_MEASURE,Regions,Area,Age,Value
2010,Percent,,,,37.2
2010,Percent,Akmola,,,39.9
2010,Percent,Aktobe,,,41.7
2010,Percent,Almaty,,,31.5
2010,Percent,Atyrau,,,18.9
2010,Percent,Batys Kazakhstan,,,21.2
2010,Percent,Zhambyl,,,22.3
2010,Percent,Karagandy,,,41.0
2010,Percent,Kostanay,,,39.6
2010,Percent,Kyzylorda,,,38.1
2010,Percent,Mangistau,,,30.4
2010,Percent,Ontustik Kazakhstan,,,18.4
2010,Percent,Pavlodar,,,41.7
2010,Percent,Soltustik Kazakhstan,,,32.7
2010,Percent,Shygys Kazakhstan,,,35.7
2010,Percent,Nur-Sultan city,,,40.4
2010,Percent,Almaty city,,,39.2
2010,Percent,,Population of urban areas,,38.0
2010,Percent,Akmola,Population of urban areas,,40.5
2010,Percent,Aktobe,Population of urban areas,,36.1
2010,Percent,Almaty,Population of urban areas,,29.7
2010,Percent,Atyrau,Population of urban areas,,16.1
2010,Percent,Batys Kazakhstan,Population of urban areas,,23.4
2010,Percent,Zhambyl,Population of urban areas,,28.0
2010,Percent,Karagandy,Population of urban areas,,41.7
2010,Percent,Kostanay,Population of urban areas,,35.3
2010,Percent,Kyzylorda,Population of urban areas,,38.5
2010,Percent,Mangistau,Population of urban areas,,30.5
2010,Percent,Ontustik Kazakhstan,Population of urban areas,,24.8
2010,Percent,Pavlodar,Population of urban areas,,41.4
2010,Percent,Soltustik Kazakhstan,Population of urban areas,,36.6
2010,Percent,Shygys Kazakhstan,Population of urban areas,,39.5
2010,Percent,Nur-Sultan city,Population of urban areas,,40.4
2010,Percent,Almaty city,Population of urban areas,,39.2
2010,Percent,,Population of rural areas,,33.4
2010,Percent,Akmola,Population of rural areas,,37.5
2010,Percent,Aktobe,Population of rural areas,,55.8
2010,Percent,Almaty,Population of rural areas,,32.7
2010,Percent,Atyrau,Population of rural areas,,26.8
2010,Percent,Batys Kazakhstan,Population of rural areas,,8.6
2010,Percent,Zhambyl,Population of rural areas,,19.1
2010,Percent,Karagandy,Population of rural areas,,31.5
2010,Percent,Kostanay,Population of rural areas,,46.9
2010,Percent,Kyzylorda,Population of rural areas,,37.3
2010,Percent,Mangistau,Population of rural areas,,29.6
2010,Percent,Ontustik Kazakhstan,Population of rural areas,,4.2
2010,Percent,Pavlodar,Population of rural areas,,43.3
2010,Percent,Soltustik Kazakhstan,Population of rural areas,,27.3
2010,Percent,Shygys Kazakhstan,Population of rural areas,,28.8
2010,Percent,,,16-24,41.5
2010,Percent,,,25-28,43.5
2010,Percent,,,29-34,32.8
2010,Percent,,,35-44,40.6
2010,Percent,,,45-54,35.8
2010,Percent,,,55-64,30.9
2010,Percent,,,65 and older,51.0
2010,Percent,Akmola,,16-24,44.0
2010,Percent,Akmola,,25-28,22.2
2010,Percent,Akmola,,29-34,45.3
2010,Percent,Akmola,,35-44,46.2
2010,Percent,Akmola,,45-54,44.3
2010,Percent,Akmola,,55-64,24.6
2010,Percent,Aktobe,,16-24,100.0
2010,Percent,Aktobe,,25-28,56.3
2010,Percent,Aktobe,,29-34,25.8
2010,Percent,Aktobe,,35-44,47.6
2010,Percent,Aktobe,,45-54,24.1
2010,Percent,Aktobe,,55-64,51.9
2010,Percent,Almaty,,16-24,29.8
2010,Percent,Almaty,,25-28,25.2
2010,Percent,Almaty,,29-34,0.0
2010,Percent,Almaty,,35-44,40.4
2010,Percent,Almaty,,45-54,36.6
2010,Percent,Almaty,,55-64,46.9
2010,Percent,Atyrau,,29-34,33.4
2010,Percent,Atyrau,,35-44,0.0
2010,Percent,Atyrau,,45-54,32.6
2010,Percent,Atyrau,,55-64,15.6
2010,Percent,Batys Kazakhstan,,16-24,7.0
2010,Percent,Batys Kazakhstan,,25-28,13.2
2010,Percent,Batys Kazakhstan,,29-34,31.4
2010,Percent,Batys Kazakhstan,,35-44,14.9
2010,Percent,Batys Kazakhstan,,45-54,19.3
2010,Percent,Batys Kazakhstan,,55-64,32.5
2010,Percent,Zhambyl,,25-28,100.0
2010,Percent,Zhambyl,,29-34,0.0
2010,Percent,Zhambyl,,35-44,30.2
2010,Percent,Zhambyl,,45-54,39.8
2010,Percent,Zhambyl,,55-64,6.5
2010,Percent,Karagandy,,16-24,32.9
2010,Percent,Karagandy,,25-28,33.8
2010,Percent,Karagandy,,29-34,36.0
2010,Percent,Karagandy,,35-44,41.8
2010,Percent,Karagandy,,45-54,46.6
2010,Percent,Karagandy,,55-64,44.6
2010,Percent,Karagandy,,65 and older,0.0
