Year,UNIT_MEASURE,Area,Regions,Value
2012,Percent,,,3.5065578554111165
2012,Percent,,Akmola,4.946407458376136
2012,Percent,,Aktobe,1.8657933972667384
2012,Percent,,Almaty,6.187236471032998
2012,Percent,,Atyrau,1.539979523524076
2012,Percent,,Batys Kazakhstan,6.377347835797938
2012,Percent,,Zhambyl,1.925666819695505
2012,Percent,,Karagandy,4.316336769132537
2012,Percent,,Kostanay,12.094940365224588
2012,Percent,,Kyzylorda,0.2020558103942668
2012,Percent,,Mangistau,0.0327168925495456
2012,Percent,,Turkistan,0.8531819147217448
2012,Percent,,Pavlodar,5.652412751552785
2012,Percent,,Soltustik Kazakhstan,5.535838041035764
2012,Percent,,Shygys Kazakhstan,4.6222234756215785
2012,Percent,Population of urban areas,,4.140620987731073
2012,Percent,Population of urban areas,Akmola,8.473930069232386
2012,Percent,Population of urban areas,Aktobe,2.86737060829403
2012,Percent,Population of urban areas,Almaty,5.685611830881335
2012,Percent,Population of urban areas,Atyrau,1.720930476295283
2012,Percent,Population of urban areas,Batys Kazakhstan,9.820837685481235
2012,Percent,Population of urban areas,Zhambyl,2.0829414933804284
2012,Percent,Population of urban areas,Karagandy,4.629695249601499
2012,Percent,Population of urban areas,Kostanay,17.41053437575562
2012,Percent,Population of urban areas,Kyzylorda,0.2030960224645178
2012,Percent,Population of urban areas,Mangistau,0.003003258535511
2012,Percent,Population of urban areas,Turkistan,0.2645555268235434
2012,Percent,Population of urban areas,Pavlodar,7.407324034972403
2012,Percent,Population of urban areas,Soltustik Kazakhstan,11.502025364728423
2012,Percent,Population of urban areas,Shygys Kazakhstan,6.716925719119896
2012,Percent,Population of rural areas,,2.5920112532057056
2012,Percent,Population of rural areas,Akmola,1.4954300494293662
2012,Percent,Population of rural areas,Aktobe,0.0
2012,Percent,Population of rural areas,Almaty,6.35071226575891
2012,Percent,Population of rural areas,Atyrau,1.3545230435413098
2012,Percent,Population of rural areas,Batys Kazakhstan,2.5170724730952125
2012,Percent,Population of rural areas,Zhambyl,1.804540075520616
2012,Percent,Population of rural areas,Karagandy,2.972851748069624
2012,Percent,Population of rural areas,Kostanay,5.798623438539544
2012,Percent,Population of rural areas,Kyzylorda,0.2012017301783023
2012,Percent,Population of rural areas,Mangistau,0.0682634730538922
2012,Percent,Population of rural areas,Turkistan,1.289819406312084
2012,Percent,Population of rural areas,Pavlodar,1.1429827453566326
2012,Percent,Population of rural areas,Soltustik Kazakhstan,0.62340367685633
2012,Percent,Population of rural areas,Shygys Kazakhstan,1.1612333195425188
2013,Percent,,,3.685402162446737
2013,Percent,,Akmola,4.932856776352089
2013,Percent,,Aktobe,5.940240052837447
2013,Percent,,Almaty,6.181900564672289
2013,Percent,,Atyrau,1.6330128330503857
2013,Percent,,Batys Kazakhstan,6.180782882442212
2013,Percent,,Zhambyl,1.6275990645223826
2013,Percent,,Karagandy,4.306760447256608
2013,Percent,,Kostanay,12.088929175005257
2013,Percent,,Kyzylorda,0.198342782749242
2013,Percent,,Mangistau,0.0269422168689974
2013,Percent,,Turkistan,0.8652873366676641
2013,Percent,,Pavlodar,5.941565220769257
2013,Percent,,Soltustik Kazakhstan,5.606523955147808
2013,Percent,,Shygys Kazakhstan,4.753230599617664
2013,Percent,Population of urban areas,,4.445585222468425
2013,Percent,Population of urban areas,Akmola,8.446452291147242
2013,Percent,Population of urban areas,Aktobe,8.688692681604673
2013,Percent,Population of urban areas,Almaty,5.520671796822425
2013,Percent,Population of urban areas,Atyrau,1.7920040194482678
2013,Percent,Population of urban areas,Batys Kazakhstan,10.132132534728656
2013,Percent,Population of urban areas,Zhambyl,1.7937701396348014
2013,Percent,Population of urban areas,Karagandy,4.614037624843473
2013,Percent,Population of urban areas,Kostanay,17.305227318245546
2013,Percent,Population of urban areas,Kyzylorda,0.1995250741193497
2013,Percent,Population of urban areas,Mangistau,0.0
2013,Percent,Population of urban areas,Turkistan,0.2333424840189811
2013,Percent,Population of urban areas,Pavlodar,7.76534077318078
2013,Percent,Population of urban areas,Soltustik Kazakhstan,11.525011826470887
2013,Percent,Population of urban areas,Shygys Kazakhstan,6.943106473019434
2013,Percent,Population of rural areas,,2.589585617738482
2013,Percent,Population of rural areas,Akmola,1.4920701168614356
2013,Percent,Population of rural areas,Aktobe,0.8946928659275046
2013,Percent,Population of rural areas,Almaty,6.394720287491194
2013,Percent,Population of rural areas,Atyrau,1.4751133103247538
2013,Percent,Population of rural areas,Batys Kazakhstan,1.722596173096002
2013,Percent,Population of rural areas,Zhambyl,1.499553298652106
2013,Percent,Population of rural areas,Karagandy,2.9817267717296723
2013,Percent,Population of rural areas,Kostanay,5.833718605335367
2013,Percent,Population of rural areas,Kyzylorda,0.1973734736195376
2013,Percent,Population of rural areas,Mangistau,0.0578473963000351
2013,Percent,Population of rural areas,Turkistan,1.3302773094347866
2013,Percent,Population of rural areas,Pavlodar,1.1566253753753757
2013,Percent,Population of rural areas,Soltustik Kazakhstan,0.645351911174696
2013,Percent,Population of rural areas,Shygys Kazakhstan,1.0970818377771594
2014,Percent,,,3.433270472821785
2014,Percent,,Akmola,4.923791368458343
2014,Percent,,Aktobe,5.874888869605367
2014,Percent,,Almaty,6.3766849427446815
2014,Percent,,Atyrau,1.6079952956764905
2014,Percent,,Batys Kazakhstan,6.160982797714675
2014,Percent,,Zhambyl,1.4958423778292935
2014,Percent,,Karagandy,4.144392914881816
