Year,UNIT_MEASURE,Area,Sex,Regions,Value
2016,Percent,,,,85.3927648942144
2016,Percent,,Male,,86.01883910688599
2016,Percent,,Female,,84.81702054951408
2016,Percent,Population of urban areas,,,88.46515284697419
2016,Percent,Population of urban areas,Male,,88.9582758150109
2016,Percent,Population of urban areas,Female,,88.03823423621554
2016,Percent,Population of rural areas,,,81.2621850007659
2016,Percent,Population of rural areas,Male,,82.34612496929724
2016,Percent,Population of rural areas,Female,,80.18135904222228
2016,Percent,,,Akmola,85.94736921294555
2016,Percent,,Male,Akmola,87.64054450419283
2016,Percent,,Female,Akmola,84.3835560932408
2016,Percent,Population of urban areas,,Akmola,90.17833600226378
2016,Percent,Population of urban areas,Male,Akmola,91.56818686196183
2016,Percent,Population of urban areas,Female,Akmola,88.97682170821493
2016,Percent,Population of rural areas,,Akmola,82.22591080295439
2016,Percent,Population of rural areas,Male,Akmola,84.40236902883538
2016,Percent,Population of rural areas,Female,Akmola,80.09568039391226
2016,Percent,,,Aktobe,85.0465751621079
2016,Percent,,Male,Aktobe,85.27780963302753
2016,Percent,,Female,Aktobe,84.83451822560629
2016,Percent,Population of urban areas,,Aktobe,90.1578746909544
2016,Percent,Population of urban areas,Male,Aktobe,91.15139850078074
2016,Percent,Population of urban areas,Female,Aktobe,89.28848598933307
2016,Percent,Population of rural areas,,Aktobe,76.60144840555355
2016,Percent,Population of rural areas,Male,Aktobe,76.17725090079884
2016,Percent,Population of rural areas,Female,Aktobe,77.02172338884866
2016,Percent,,,Almaty,87.91319666880206
2016,Percent,,Male,Almaty,87.63731735458661
2016,Percent,,Female,Almaty,88.177638060187
2016,Percent,Population of urban areas,,Almaty,88.35053545327088
2016,Percent,Population of urban areas,Male,Almaty,89.00408701384312
2016,Percent,Population of urban areas,Female,Almaty,87.76775091581982
2016,Percent,Population of rural areas,,Almaty,87.7760586598359
2016,Percent,Population of rural areas,Male,Almaty,87.22947231266258
2016,Percent,Population of rural areas,Female,Almaty,88.31196683396772
2016,Percent,,,Atyrau,85.1310652097063
2016,Percent,,Male,Atyrau,86.1014931175663
2016,Percent,,Female,Atyrau,84.2073410480383
2016,Percent,Population of urban areas,,Atyrau,90.16725058391724
2016,Percent,Population of urban areas,Male,Atyrau,92.89981556816475
2016,Percent,Population of urban areas,Female,Atyrau,87.7181882172431
2016,Percent,Population of rural areas,,Atyrau,80.60174574535525
2016,Percent,Population of rural areas,Male,Atyrau,80.334850163159
2016,Percent,Population of rural areas,Female,Atyrau,80.86991179058347
2016,Percent,,,Batys Kazakhstan,90.0934552967148
2016,Percent,,Male,Batys Kazakhstan,90.83037562851229
2016,Percent,,Female,Batys Kazakhstan,89.41638444371223
2016,Percent,Population of urban areas,,Batys Kazakhstan,94.99571264396444
2016,Percent,Population of urban areas,Male,Batys Kazakhstan,95.66846007069348
2016,Percent,Population of urban areas,Female,Batys Kazakhstan,94.43410822349738
2016,Percent,Population of rural areas,,Batys Kazakhstan,85.23871604242275
2016,Percent,Population of rural areas,Male,Batys Kazakhstan,86.49196375978234
2016,Percent,Population of rural areas,Female,Batys Kazakhstan,83.97306063481722
2016,Percent,,,Zhambyl,75.8251437391554
2016,Percent,,Male,Zhambyl,77.0074229886656
2016,Percent,,Female,Zhambyl,74.70195148234625
2016,Percent,Population of urban areas,,Zhambyl,81.37588815996311
2016,Percent,Population of urban areas,Male,Zhambyl,80.66243209454346
2016,Percent,Population of urban areas,Female,Zhambyl,82.00181983621474
2016,Percent,Population of rural areas,,Zhambyl,72.06136026505361
2016,Percent,Population of rural areas,Male,Zhambyl,74.6940412108481
2016,Percent,Population of rural areas,Female,Zhambyl,69.42181396440947
2016,Percent,,,Karagandy,82.75635732624599
2016,Percent,,Male,Karagandy,84.53645986398767
2016,Percent,,Female,Karagandy,81.18292229049727
2016,Percent,Population of urban areas,,Karagandy,85.30012955818016
2016,Percent,Population of urban areas,Male,Karagandy,87.29712403563454
2016,Percent,Population of urban areas,Female,Karagandy,83.59875850327325
2016,Percent,Population of rural areas,,Karagandy,73.0157864814137
2016,Percent,Population of rural areas,Male,Karagandy,74.89284804114635
2016,Percent,Population of rural areas,Female,Karagandy,71.10664268377934
2016,Percent,,,Kostanay,89.74659053254584
2016,Percent,,Male,Kostanay,91.2306521589786
2016,Percent,,Female,Kostanay,88.43215033758088
2016,Percent,Population of urban areas,,Kostanay,92.28325736572528
2016,Percent,Population of urban areas,Male,Kostanay,94.05019371100497
2016,Percent,Population of urban areas,Female,Kostanay,90.81986366389326
2016,Percent,Population of rural areas,,Kostanay,86.90678177881946
2016,Percent,Population of rural areas,Male,Kostanay,88.30237055151277
2016,Percent,Population of rural areas,Female,Kostanay,85.5746588653868
2016,Percent,,,Kyzylorda,83.86916667689249
2016,Percent,,Male,Kyzylorda,84.09738761306564
2016,Percent,,Female,Kyzylorda,83.64348558249644
2016,Percent,Population of urban areas,,Kyzylorda,91.84761026804708
2016,Percent,Population of urban areas,Male,Kyzylorda,90.55970203967917
2016,Percent,Population of urban areas,Female,Kyzylorda,93.05370556005656
2016,Percent,Population of rural areas,,Kyzylorda,77.78585795233359
2016,Percent,Population of rural areas,Male,Kyzylorda,79.40283562533953
2016,Percent,Population of rural areas,Female,Kyzylorda,76.11913258303596
2016,Percent,,,Mangistau,87.02812089654898
2016,Percent,,Male,Mangistau,87.22315101690235
2016,Percent,,Female,Mangistau,86.83760043451389
2016,Percent,Population of urban areas,,Mangistau,94.00157109190889
2016,Percent,Population of urban areas,Male,Mangistau,95.47805922226186
2016,Percent,Population of urban areas,Female,Mangistau,92.6143462229942
2016,Percent,Population of rural areas,,Mangistau,80.52878015207372
2016,Percent,Population of rural areas,Male,Mangistau,79.81740142586933
2016,Percent,Population of rural areas,Female,Mangistau,81.24940123952629
2016,Percent,,,Pavlodar,89.62053227814047
2016,Percent,,Male,Pavlodar,91.29574461413029
2016,Percent,,Female,Pavlodar,88.14968185309901
2016,Percent,Population of urban areas,,Pavlodar,92.07976841694902
2016,Percent,Population of urban areas,Male,Pavlodar,92.94764936827626
2016,Percent,Population of urban areas,Female,Pavlodar,91.354382385187
2016,Percent,Population of rural areas,,Pavlodar,83.68603039416335
2016,Percent,Population of rural areas,Male,Pavlodar,87.64547175129867
2016,Percent,Population of rural areas,Female,Pavlodar,79.77295565571242
2016,Percent,,,Soltustik Kazakhstan,81.53401618418405
2016,Percent,,Male,Soltustik Kazakhstan,84.01467098518606
2016,Percent,,Female,Soltustik Kazakhstan,79.30282023871187
2016,Percent,Population of urban areas,,Soltustik Kazakhstan,83.05663868000939
