Year,UNIT_MEASURE,Regions,Value
2010,Percent,,66.4
2010,Percent,Akmola,76.95108475303883
2010,Percent,Aktobe,89.41342768990998
2010,Percent,Almaty,41.46364244140317
2010,Percent,Atyrau,1.5400674207293077
2010,Percent,Batys Kazakhstan,98.97709645040604
2010,Percent,Zhambyl,7.560847687346486
2010,Percent,Karagandy,63.5437673847411
2010,Percent,Kostanay,56.46831112711559
2010,Percent,Kyzylorda,67.11240970118486
2010,Percent,Mangistau,66.26993960591622
2010,Percent,Pavlodar,75.68281466586552
2010,Percent,Soltustik Kazakhstan,0.6445886438647743
2010,Percent,Shygys Kazakhstan,29.00283050303373
2010,Percent,Nur-Sultan city,100.0
2010,Percent,Almaty city,95.1658926094158
2011,Percent,,67.5
2011,Percent,Akmola,74.4668321204728
2011,Percent,Aktobe,89.7751941505064
2011,Percent,Almaty,41.00810878483792
2011,Percent,Atyrau,1.5724882402605234
2011,Percent,Batys Kazakhstan,98.58574763147054
2011,Percent,Zhambyl,6.4051762562266426
2011,Percent,Karagandy,64.50944892326962
2011,Percent,Kostanay,54.20190074499831
2011,Percent,Kyzylorda,77.29702166235435
2011,Percent,Mangistau,66.82012518384239
2011,Percent,Pavlodar,75.97444471874977
2011,Percent,Soltustik Kazakhstan,7.670794019264786
2011,Percent,Shygys Kazakhstan,31.779422237359505
2011,Percent,Nur-Sultan city,100.0
2011,Percent,Almaty city,96.89183459881583
2012,Percent,,67.0
2012,Percent,Akmola,71.34448497044397
2012,Percent,Aktobe,84.49811556969784
2012,Percent,Almaty,38.93287304508257
2012,Percent,Atyrau,1.470216820627425
2012,Percent,Batys Kazakhstan,98.77667976929575
2012,Percent,Zhambyl,7.382582628821087
2012,Percent,Karagandy,62.508585790458646
2012,Percent,Kostanay,48.85345007296227
2012,Percent,Kyzylorda,77.43779358222189
2012,Percent,Mangistau,60.297336319621245
2012,Percent,Pavlodar,74.75342337565114
2012,Percent,Soltustik Kazakhstan,0.5669366977867168
2012,Percent,Shygys Kazakhstan,34.5649697060045
2012,Percent,Nur-Sultan city,100.0
2012,Percent,Almaty city,97.6258117648301
2013,Percent,,69.6
2013,Percent,Akmola,72.45238215530743
2013,Percent,Aktobe,87.17119276448531
2013,Percent,Almaty,33.461769845589714
2013,Percent,Atyrau,1.7428058130955055
2013,Percent,Batys Kazakhstan,98.714244157859
2013,Percent,Zhambyl,15.600400744239302
2013,Percent,Karagandy,67.3651489182809
2013,Percent,Kostanay,51.224091676030206
2013,Percent,Kyzylorda,87.38772235376999
2013,Percent,Mangistau,74.7425908591977
2013,Percent,Pavlodar,81.39470477456518
2013,Percent,Soltustik Kazakhstan,0.5322399587384006
2013,Percent,Shygys Kazakhstan,34.61550479235722
2013,Percent,Nur-Sultan city,100.0
2013,Percent,Almaty city,97.4161555526556
2014,Percent,,69.8
2014,Percent,Akmola,77.13508054162315
2014,Percent,Aktobe,87.78474667164075
2014,Percent,Almaty,30.00681973175722
2014,Percent,Atyrau,1.9253680027505256
2014,Percent,Batys Kazakhstan,90.12783230340482
2014,Percent,Zhambyl,17.76162834679026
2014,Percent,Karagandy,68.5565740050066
2014,Percent,Kostanay,51.247972507573
2014,Percent,Kyzylorda,88.73776422187545
2014,Percent,Mangistau,73.46604199849386
2014,Percent,Pavlodar,86.88080166062797
2014,Percent,Soltustik Kazakhstan,0.4198546588234242
2014,Percent,Shygys Kazakhstan,32.70887378933523
2014,Percent,Nur-Sultan city,100.0
2014,Percent,Almaty city,96.61882912162916
2015,Percent,,72.6
2015,Percent,Akmola,79.22275065201417
2015,Percent,Aktobe,87.50524504372834
2015,Percent,Almaty,84.68837209302325
2015,Percent,Atyrau,1.798659006896993
2015,Percent,Batys Kazakhstan,90.17996985726528
2015,Percent,Zhambyl,16.6
2015,Percent,Karagandy,67.51933056575739
2015,Percent,Kostanay,51.6
2015,Percent,Kyzylorda,95.71916563703758
2015,Percent,Mangistau,74.28293307375354
2015,Percent,Pavlodar,87.77437991205231
2015,Percent,Soltustik Kazakhstan,0.0749498430166397
2015,Percent,Shygys Kazakhstan,32.11281437862848
2015,Percent,Nur-Sultan city,100.0
2015,Percent,Almaty city,98.17861139893128
2016,Percent,,74.1
2016,Percent,Akmola,79.09847190508886
2016,Percent,Aktobe,87.25420461033066
2016,Percent,Almaty,83.18447628931823
2016,Percent,Atyrau,35.40407379423247
2016,Percent,Batys Kazakhstan,90.83566293929712
2016,Percent,Zhambyl,17.74166178571624
2016,Percent,Karagandy,69.50807742942466
2016,Percent,Kostanay,50.54785709664284
2016,Percent,Kyzylorda,95.50799222930372
2016,Percent,Mangistau,73.26116020478038
2016,Percent,Pavlodar,88.37466930166255
2016,Percent,Soltustik Kazakhstan,0.1196028938165918
2016,Percent,Shygys Kazakhstan,32.8168512424312
2016,Percent,Nur-Sultan city,100.0
2016,Percent,Almaty city,97.29871609850872
2017,Percent,,72.6
2017,Percent,Akmola,79.53768097256877
2017,Percent,Aktobe,87.58302690767084
2017,Percent,Almaty,80.71514624355764
2017,Percent,Atyrau,32.279031977250305
2017,Percent,Batys Kazakhstan,91.14525275044832
2017,Percent,Zhambyl,18.836949757505
2017,Percent,Karagandy,59.51712897804353
2017,Percent,Kostanay,54.48756505609681
2017,Percent,Kyzylorda,95.88130261032224
2017,Percent,Mangistau,72.41647648132042
2017,Percent,Pavlodar,88.05454092644861
2017,Percent,Soltustik Kazakhstan,0.3828046982738123
2017,Percent,Shygys Kazakhstan,34.640379256127055
2017,Percent,Nur-Sultan city,100.0
2017,Percent,Almaty city,97.88913794963844
2018,Percent,,71.5
2018,Percent,Akmola,77.00848063600925
2018,Percent,Aktobe,90.89754971971676
2018,Percent,Almaty,62.5
2018,Percent,Atyrau,42.54737179668563
2018,Percent,Batys Kazakhstan,91.4
2018,Percent,Zhambyl,18.31369434494384
2018,Percent,Karagandy,58.4
2018,Percent,Kostanay,39.07859332612867
2018,Percent,Kyzylorda,95.43091273105397
2018,Percent,Mangistau,75.65925994242386
2018,Percent,Pavlodar,88.88195554862222
2018,Percent,Soltustik Kazakhstan,0.3474615611855894
2018,Percent,Turkistan,55.434224293731575
2018,Percent,Shygys Kazakhstan,34.9545329079355
2018,Percent,Nur-Sultan city,100.0
2018,Percent,Almaty city,98.1
2019,Percent,,85.5
2019,Percent,Akmola,93.2
2019,Percent,Aktobe,98.8
2019,Percent,Almaty,63.8
2019,Percent,Atyrau,100.0
2019,Percent,Batys Kazakhstan,99.9
2019,Percent,Zhambyl,13.9
2019,Percent,Karagandy,58.3
2019,Percent,Kostanay,72.6
2019,Percent,Kyzylorda,94.6
2019,Percent,Mangistau,95.6
2019,Percent,Pavlodar,97.0
2019,Percent,Soltustik Kazakhstan,99.7
2019,Percent,Turkistan,92.4
2019,Percent,Shygys Kazakhstan,97.5
2019,Percent,Nur-Sultan city,100.0
2019,Percent,Almaty city,99.6
2019,Percent,Shymkent city,89.6
