Year,UNIT_MEASURE,Value
2010,the number of branches of commercial banks per 100 000 adults,3.251092147469366
2010,number of ATMs per 100 000 adults,66.1084379184613
2011,the number of branches of commercial banks per 100 000 adults,3.129183139172521
2011,number of ATMs per 100 000 adults,69.52787742106614
2012,the number of branches of commercial banks per 100 000 adults,3.2006036778831173
2012,number of ATMs per 100 000 adults,73.2582619604358
2013,the number of branches of commercial banks per 100 000 adults,3.156029890198204
2013,number of ATMs per 100 000 adults,75.04988850298912
2014,the number of branches of commercial banks per 100 000 adults,3.348735721714094
2014,number of ATMs per 100 000 adults,76.30807191608898
2015,the number of branches of commercial banks per 100 000 adults,3.3705674161164425
2015,number of ATMs per 100 000 adults,75.18831606780726
2016,the number of branches of commercial banks per 100 000 adults,2.9465215721088307
2016,number of ATMs per 100 000 adults,78.03793005798485
2017,the number of branches of commercial banks per 100 000 adults,2.8297588303577013
2017,number of ATMs per 100 000 adults,78.63324107968191
2018,the number of branches of commercial banks per 100 000 adults,2.699051416365501
2018,number of ATMs per 100 000 adults,88.76253568387678
2019,the number of branches of commercial banks per 100 000 adults,2.3329917037729904
2019,number of ATMs per 100 000 adults,87.1
