Year,UNIT_MEASURE,Regions,Value
2010,PT_PREV_Y,,103.7
2011,PT_PREV_Y,,105.0
2011,PT_PREV_Y,Akmola,115.1
2011,PT_PREV_Y,Aktobe,101.8
2011,PT_PREV_Y,Almaty,102.3
2011,PT_PREV_Y,Atyrau,97.8
2011,PT_PREV_Y,Batys Kazakhstan,104.0
2011,PT_PREV_Y,Zhambyl,112.4
2011,PT_PREV_Y,Karagandy,106.5
2011,PT_PREV_Y,Kostanay,116.0
2011,PT_PREV_Y,Kyzylorda,99.0
2011,PT_PREV_Y,Mangistau,89.3
2011,PT_PREV_Y,Ontustik Kazakhstan,102.0
2011,PT_PREV_Y,Pavlodar,110.4
2011,PT_PREV_Y,Soltustik Kazakhstan,120.9
2011,PT_PREV_Y,Shygys Kazakhstan,108.8
2011,PT_PREV_Y,Nur-Sultan city,106.4
2011,PT_PREV_Y,Almaty city,106.0
2012,PT_PREV_Y,,102.5
2012,PT_PREV_Y,Akmola,94.6
2012,PT_PREV_Y,Aktobe,104.7
2012,PT_PREV_Y,Almaty,100.0
2012,PT_PREV_Y,Atyrau,94.7
2012,PT_PREV_Y,Batys Kazakhstan,105.1
2012,PT_PREV_Y,Zhambyl,110.0
2012,PT_PREV_Y,Karagandy,100.9
2012,PT_PREV_Y,Kostanay,93.5
2012,PT_PREV_Y,Kyzylorda,100.9
2012,PT_PREV_Y,Mangistau,90.0
2012,PT_PREV_Y,Ontustik Kazakhstan,100.5
2012,PT_PREV_Y,Pavlodar,108.9
2012,PT_PREV_Y,Soltustik Kazakhstan,98.5
2012,PT_PREV_Y,Shygys Kazakhstan,114.6
2012,PT_PREV_Y,Nur-Sultan city,111.0
2012,PT_PREV_Y,Almaty city,105.6
2013,PT_PREV_Y,,105.1
2013,PT_PREV_Y,Akmola,104.1
2013,PT_PREV_Y,Aktobe,103.7
2013,PT_PREV_Y,Almaty,108.1
2013,PT_PREV_Y,Atyrau,102.1
2013,PT_PREV_Y,Batys Kazakhstan,102.3
2013,PT_PREV_Y,Zhambyl,104.6
2013,PT_PREV_Y,Karagandy,106.7
2013,PT_PREV_Y,Kostanay,111.9
2013,PT_PREV_Y,Kyzylorda,101.9
2013,PT_PREV_Y,Mangistau,103.7
2013,PT_PREV_Y,Ontustik Kazakhstan,101.6
2013,PT_PREV_Y,Pavlodar,99.4
2013,PT_PREV_Y,Soltustik Kazakhstan,108.1
2013,PT_PREV_Y,Shygys Kazakhstan,107.5
2013,PT_PREV_Y,Nur-Sultan city,106.2
2013,PT_PREV_Y,Almaty city,113.3
2014,PT_PREV_Y,,104.6
2014,PT_PREV_Y,Akmola,103.7
2014,PT_PREV_Y,Aktobe,104.8
2014,PT_PREV_Y,Almaty,102.9
2014,PT_PREV_Y,Atyrau,99.3
2014,PT_PREV_Y,Batys Kazakhstan,104.8
2014,PT_PREV_Y,Zhambyl,104.0
2014,PT_PREV_Y,Karagandy,107.3
2014,PT_PREV_Y,Kostanay,103.9
2014,PT_PREV_Y,Kyzylorda,104.5
2014,PT_PREV_Y,Mangistau,107.8
2014,PT_PREV_Y,Ontustik Kazakhstan,104.0
2014,PT_PREV_Y,Pavlodar,99.9
2014,PT_PREV_Y,Soltustik Kazakhstan,110.9
2014,PT_PREV_Y,Shygys Kazakhstan,102.9
2014,PT_PREV_Y,Nur-Sultan city,104.1
2014,PT_PREV_Y,Almaty city,104.0
2015,PT_PREV_Y,,100.6
2015,PT_PREV_Y,Akmola,102.3
2015,PT_PREV_Y,Aktobe,95.0
2015,PT_PREV_Y,Almaty,108.0
2015,PT_PREV_Y,Atyrau,100.9
2015,PT_PREV_Y,Batys Kazakhstan,99.7
2015,PT_PREV_Y,Zhambyl,104.1
2015,PT_PREV_Y,Karagandy,101.2
2015,PT_PREV_Y,Kostanay,96.6
2015,PT_PREV_Y,Kyzylorda,97.1
2015,PT_PREV_Y,Mangistau,90.8
2015,PT_PREV_Y,Ontustik Kazakhstan,102.9
2015,PT_PREV_Y,Pavlodar,101.1
2015,PT_PREV_Y,Soltustik Kazakhstan,99.5
2015,PT_PREV_Y,Shygys Kazakhstan,101.7
2015,PT_PREV_Y,Nur-Sultan city,99.3
2015,PT_PREV_Y,Almaty city,95.6
2016,PT_PREV_Y,,100.2
2016,PT_PREV_Y,Akmola,101.7
2016,PT_PREV_Y,Aktobe,102.4
2016,PT_PREV_Y,Almaty,99.5
2016,PT_PREV_Y,Atyrau,104.0
2016,PT_PREV_Y,Batys Kazakhstan,101.9
2016,PT_PREV_Y,Zhambyl,103.1
2016,PT_PREV_Y,Karagandy,103.3
2016,PT_PREV_Y,Kostanay,97.2
2016,PT_PREV_Y,Kyzylorda,88.7
2016,PT_PREV_Y,Mangistau,99.6
2016,PT_PREV_Y,Ontustik Kazakhstan,101.0
2016,PT_PREV_Y,Pavlodar,100.7
2016,PT_PREV_Y,Soltustik Kazakhstan,102.8
2016,PT_PREV_Y,Shygys Kazakhstan,102.5
2016,PT_PREV_Y,Nur-Sultan city,102.5
2016,PT_PREV_Y,Almaty city,99.3
2017,PT_PREV_Y,,104.3
2017,PT_PREV_Y,Akmola,105.9
2017,PT_PREV_Y,Aktobe,106.3
2017,PT_PREV_Y,Almaty,103.7
2017,PT_PREV_Y,Atyrau,116.4
2017,PT_PREV_Y,Batys Kazakhstan,103.4
2017,PT_PREV_Y,Zhambyl,104.7
2017,PT_PREV_Y,Karagandy,107.9
2017,PT_PREV_Y,Kostanay,107.7
2017,PT_PREV_Y,Kyzylorda,96.7
2017,PT_PREV_Y,Mangistau,101.0
2017,PT_PREV_Y,Ontustik Kazakhstan,105.9
2017,PT_PREV_Y,Pavlodar,107.5
2017,PT_PREV_Y,Soltustik Kazakhstan,107.9
2017,PT_PREV_Y,Shygys Kazakhstan,101.9
2017,PT_PREV_Y,Nur-Sultan city,97.4
2017,PT_PREV_Y,Almaty city,102.1
2018,PT_PREV_Y,,103.1
2018,PT_PREV_Y,Akmola,103.0
2018,PT_PREV_Y,Aktobe,104.1
2018,PT_PREV_Y,Almaty,103.5
2018,PT_PREV_Y,Atyrau,108.6
2018,PT_PREV_Y,Batys Kazakhstan,97.9
2018,PT_PREV_Y,Zhambyl,102.5
2018,PT_PREV_Y,Karagandy,103.0
2018,PT_PREV_Y,Kostanay,109.8
2018,PT_PREV_Y,Kyzylorda,99.2
2018,PT_PREV_Y,Mangistau,92.3
2018,PT_PREV_Y,Pavlodar,105.6
2018,PT_PREV_Y,Soltustik Kazakhstan,102.2
2018,PT_PREV_Y,Turkistan,101.1
2018,PT_PREV_Y,Shygys Kazakhstan,110.3
2018,PT_PREV_Y,Nur-Sultan city,88.0
2018,PT_PREV_Y,Almaty city,102.0
2018,PT_PREV_Y,Shymkent city,110.8
2019,PT_PREV_Y,,103.7
2019,PT_PREV_Y,Akmola,103.3
2019,PT_PREV_Y,Aktobe,105.3
2019,PT_PREV_Y,Almaty,104.9
2019,PT_PREV_Y,Atyrau,103.4
2019,PT_PREV_Y,Batys Kazakhstan,98.2
2019,PT_PREV_Y,Zhambyl,105.0
2019,PT_PREV_Y,Karagandy,105.2
2019,PT_PREV_Y,Kostanay,105.9
2019,PT_PREV_Y,Kyzylorda,101.7
2019,PT_PREV_Y,Mangistau,100.9
2019,PT_PREV_Y,Pavlodar,106.3
2019,PT_PREV_Y,Soltustik Kazakhstan,102.8
2019,PT_PREV_Y,Turkistan,109.0
2019,PT_PREV_Y,Shygys Kazakhstan,105.1
2019,PT_PREV_Y,Nur-Sultan city,98.9
2019,PT_PREV_Y,Almaty city,101.8
2019,PT_PREV_Y,Shymkent city,97.6
