Year,UNIT_MEASURE,Regions,Sex,Area,Age,Value
2013,Percent,,,,,11.8
2013,Percent,Akmola,,,,9.7
2013,Percent,Aktobe,,,,13.9
2013,Percent,Almaty,,,,14.6
2013,Percent,Atyrau,,,,1.7
2013,Percent,Batys Kazakhstan,,,,10.8
2013,Percent,Zhambyl,,,,20.2
2013,Percent,Karagandy,,,,8.0
2013,Percent,Kostanay,,,,19.8
2013,Percent,Kyzylorda,,,,12.7
2013,Percent,Mangistau,,,,3.5
2013,Percent,Ontustik Kazakhstan,,,,14.2
2013,Percent,Pavlodar,,,,14.6
2013,Percent,Soltustik Kazakhstan,,,,24.8
2013,Percent,Shygys Kazakhstan,,,,12.5
2013,Percent,Nur-Sultan city,,,,0.2
2013,Percent,Almaty city,,,,1.2
2013,Percent,,Male,,,10.9
2013,Percent,Akmola,Male,,,9.1
2013,Percent,Aktobe,Male,,,15.2
2013,Percent,Almaty,Male,,,14.4
2013,Percent,Atyrau,Male,,,1.9
2013,Percent,Batys Kazakhstan,Male,,,13.1
2013,Percent,Zhambyl,Male,,,19.8
2013,Percent,Karagandy,Male,,,6.8
2013,Percent,Kostanay,Male,,,17.0
2013,Percent,Kyzylorda,Male,,,11.3
2013,Percent,Mangistau,Male,,,2.6
2013,Percent,Ontustik Kazakhstan,Male,,,12.2
2013,Percent,Pavlodar,Male,,,12.6
2013,Percent,Soltustik Kazakhstan,Male,,,20.2
2013,Percent,Shygys Kazakhstan,Male,,,11.7
2013,Percent,Nur-Sultan city,Male,,,0.0
2013,Percent,Almaty city,Male,,,1.5
2013,Percent,,Female,,,12.7
2013,Percent,Akmola,Female,,,10.2
2013,Percent,Aktobe,Female,,,12.6
2013,Percent,Almaty,Female,,,14.8
2013,Percent,Atyrau,Female,,,1.5
2013,Percent,Batys Kazakhstan,Female,,,8.4
2013,Percent,Zhambyl,Female,,,20.6
2013,Percent,Karagandy,Female,,,9.2
2013,Percent,Kostanay,Female,,,22.4
2013,Percent,Kyzylorda,Female,,,14.4
2013,Percent,Mangistau,Female,,,4.7
2013,Percent,Ontustik Kazakhstan,Female,,,16.7
2013,Percent,Pavlodar,Female,,,16.6
2013,Percent,Soltustik Kazakhstan,Female,,,29.4
2013,Percent,Shygys Kazakhstan,Female,,,13.4
2013,Percent,Nur-Sultan city,Female,,,0.3
2013,Percent,Almaty city,Female,,,0.9
2013,Percent,,,Population of urban areas,,5.1
2013,Percent,Akmola,,Population of urban areas,,2.4
2013,Percent,Aktobe,,Population of urban areas,,7.1
2013,Percent,Almaty,,Population of urban areas,,12.1
2013,Percent,Atyrau,,Population of urban areas,,0.2
2013,Percent,Batys Kazakhstan,,Population of urban areas,,2.1
2013,Percent,Zhambyl,,Population of urban areas,,25.5
2013,Percent,Karagandy,,Population of urban areas,,6.0
2013,Percent,Kostanay,,Population of urban areas,,6.4
2013,Percent,Kyzylorda,,Population of urban areas,,8.4
2013,Percent,Mangistau,,Population of urban areas,,4.0
2013,Percent,Ontustik Kazakhstan,,Population of urban areas,,7.1
2013,Percent,Pavlodar,,Population of urban areas,,3.1
2013,Percent,Soltustik Kazakhstan,,Population of urban areas,,7.7
2013,Percent,Shygys Kazakhstan,,Population of urban areas,,1.7
2013,Percent,Nur-Sultan city,,Population of urban areas,,0.2
2013,Percent,Almaty city,,Population of urban areas,,1.2
2013,Percent,,,Population of rural areas,,19.8
2013,Percent,Akmola,,Population of rural areas,,15.9
2013,Percent,Aktobe,,Population of rural areas,,25.4
