Year,UNIT_MEASURE,Type of economic activity,Regions,Sex,Age,Value
2014,Percent,,,,,837.0
2015,Percent,,,,,880.0
2016,Percent,,,,,950.0
2017,Percent,,,,,927.0
2018,Percent,,,,,959.0
2018,Percent,,Akmola,,,706.0
2018,Percent,,Aktobe,,,750.0
2018,Percent,,Almaty,,,713.0
2018,Percent,,Atyrau,,,1718.0
2018,Percent,,Batys Kazakhstan,,,1202.0
2018,Percent,,Zhambyl,,,613.0
2018,Percent,,Karagandy,,,808.0
2018,Percent,,Kostanay,,,685.0
2018,Percent,,Kyzylorda,,,720.0
2018,Percent,,Mangistau,,,1411.0
2018,Percent,,Ontustik Kazakhstan,,,630.0
2018,Percent,,Pavlodar,,,774.0
2018,Percent,,Soltustik Kazakhstan,,,636.0
2018,Percent,,Shygys Kazakhstan,,,741.0
2018,Percent,,Nur-Sultan city,,,1422.0
2018,Percent,,Almaty city,,,1335.0
2018,Percent,,,Male,,1122.0
2018,Percent,,Akmola,Male,,792.0
2018,Percent,,Aktobe,Male,,850.0
2018,Percent,,Almaty,Male,,813.0
2018,Percent,,Atyrau,Male,,2105.0
2018,Percent,,Batys Kazakhstan,Male,,1588.0
2018,Percent,,Zhambyl,Male,,690.0
2018,Percent,,Karagandy,Male,,913.0
2018,Percent,,Kostanay,Male,,752.0
2018,Percent,,Kyzylorda,Male,,811.0
2018,Percent,,Mangistau,Male,,1827.0
2018,Percent,,Ontustik Kazakhstan,Male,,686.0
2018,Percent,,Pavlodar,Male,,873.0
2018,Percent,,Soltustik Kazakhstan,Male,,682.0
2018,Percent,,Shygys Kazakhstan,Male,,828.0
2018,Percent,,Nur-Sultan city,Male,,1637.0
2018,Percent,,Almaty city,Male,,1438.0
2018,Percent,,,Female,,785.0
2018,Percent,,Akmola,Female,,602.0
2018,Percent,,Aktobe,Female,,639.0
2018,Percent,,Almaty,Female,,630.0
2018,Percent,,Atyrau,Female,,1146.0
2018,Percent,,Batys Kazakhstan,Female,,743.0
2018,Percent,,Zhambyl,Female,,543.0
2018,Percent,,Karagandy,Female,,682.0
2018,Percent,,Kostanay,Female,,604.0
2018,Percent,,Kyzylorda,Female,,609.0
2018,Percent,,Mangistau,Female,,899.0
2018,Percent,,Ontustik Kazakhstan,Female,,588.0
2018,Percent,,Pavlodar,Female,,667.0
2018,Percent,,Soltustik Kazakhstan,Female,,590.0
2018,Percent,,Shygys Kazakhstan,Female,,644.0
2018,Percent,,Nur-Sultan city,Female,,1179.0
2018,Percent,,Almaty city,Female,,1217.0
2018,Percent,,,,16-24,577.0
2018,Percent,,,,25-28,764.0
2018,Percent,,,,29-34,961.0
2018,Percent,,,,35-44,1102.0
2018,Percent,,,,45-54,977.0
2018,Percent,,,,55-64,951.0
2018,Percent,,,,65 and older,1159.0
2018,Percent,,Akmola,,16-24,485.0
2018,Percent,,Akmola,,25-28,598.0
2018,Percent,,Akmola,,29-34,739.0
2018,Percent,,Akmola,,35-44,792.0
2018,Percent,,Akmola,,45-54,716.0
2018,Percent,,Akmola,,55-64,670.0
2018,Percent,,Akmola,,65 and older,674.0
2018,Percent,,Aktobe,,16-24,478.0
2018,Percent,,Aktobe,,25-28,622.0
2018,Percent,,Aktobe,,29-34,747.0
2018,Percent,,Aktobe,,35-44,819.0
2018,Percent,,Aktobe,,45-54,773.0
2018,Percent,,Aktobe,,55-64,796.0
2018,Percent,,Aktobe,,65 and older,798.0
2018,Percent,,Almaty,,16-24,497.0
2018,Percent,,Almaty,,25-28,608.0
2018,Percent,,Almaty,,29-34,711.0
2018,Percent,,Almaty,,35-44,791.0
2018,Percent,,Almaty,,45-54,708.0
2018,Percent,,Almaty,,55-64,732.0
2018,Percent,,Almaty,,65 and older,810.0
2018,Percent,,Atyrau,,16-24,768.0
2018,Percent,,Atyrau,,25-28,1231.0
2018,Percent,,Atyrau,,29-34,1571.0
2018,Percent,,Atyrau,,35-44,1917.0
2018,Percent,,Atyrau,,45-54,1855.0
2018,Percent,,Atyrau,,55-64,2077.0
2018,Percent,,Atyrau,,65 and older,6563.0
2018,Percent,,Batys Kazakhstan,,16-24,490.0
2018,Percent,,Batys Kazakhstan,,25-28,621.0
2018,Percent,,Batys Kazakhstan,,29-34,894.0
2018,Percent,,Batys Kazakhstan,,35-44,1586.0
2018,Percent,,Batys Kazakhstan,,45-54,1341.0
2018,Percent,,Batys Kazakhstan,,55-64,1276.0
2018,Percent,,Batys Kazakhstan,,65 and older,1028.0
2018,Percent,,Zhambyl,,16-24,443.0
2018,Percent,,Zhambyl,,25-28,532.0
2018,Percent,,Zhambyl,,29-34,619.0
2018,Percent,,Zhambyl,,35-44,649.0
2018,Percent,,Zhambyl,,45-54,630.0
2018,Percent,,Zhambyl,,55-64,636.0
2018,Percent,,Zhambyl,,65 and older,661.0
2018,Percent,,Karagandy,,16-24,521.0
2018,Percent,,Karagandy,,25-28,708.0
2018,Percent,,Karagandy,,29-34,830.0
2018,Percent,,Karagandy,,35-44,890.0
2018,Percent,,Karagandy,,45-54,807.0
2018,Percent,,Karagandy,,55-64,817.0
2018,Percent,,Karagandy,,65 and older,837.0
2018,Percent,,Kostanay,,16-24,472.0
2018,Percent,,Kostanay,,25-28,622.0
2018,Percent,,Kostanay,,29-34,728.0
2018,Percent,,Kostanay,,35-44,761.0
2018,Percent,,Kostanay,,45-54,679.0
2018,Percent,,Kostanay,,55-64,653.0
2018,Percent,,Kostanay,,65 and older,789.0
2018,Percent,,Kyzylorda,,16-24,460.0
2018,Percent,,Kyzylorda,,25-28,594.0
2018,Percent,,Kyzylorda,,29-34,696.0
2018,Percent,,Kyzylorda,,35-44,784.0
2018,Percent,,Kyzylorda,,45-54,726.0
2018,Percent,,Kyzylorda,,55-64,810.0
2018,Percent,,Kyzylorda,,65 and older,941.0
2018,Percent,,Mangistau,,16-24,538.0
2018,Percent,,Mangistau,,25-28,867.0
2018,Percent,,Mangistau,,29-34,1351.0
2018,Percent,,Mangistau,,35-44,1585.0
2018,Percent,,Mangistau,,45-54,1641.0
2018,Percent,,Mangistau,,55-64,1662.0
2018,Percent,,Mangistau,,65 and older,1421.0
2018,Percent,,Ontustik Kazakhstan,,16-24,436.0
2018,Percent,,Ontustik Kazakhstan,,25-28,514.0
2018,Percent,,Ontustik Kazakhstan,,29-34,608.0
2018,Percent,,Ontustik Kazakhstan,,35-44,651.0
2018,Percent,,Ontustik Kazakhstan,,45-54,666.0
2018,Percent,,Ontustik Kazakhstan,,55-64,672.0
2018,Percent,,Ontustik Kazakhstan,,65 and older,864.0
2018,Percent,,Pavlodar,,16-24,515.0
2018,Percent,,Pavlodar,,25-28,638.0
2018,Percent,,Pavlodar,,29-34,765.0
2018,Percent,,Pavlodar,,35-44,828.0
2018,Percent,,Pavlodar,,45-54,787.0
2018,Percent,,Pavlodar,,55-64,815.0
2018,Percent,,Pavlodar,,65 and older,788.0
2018,Percent,,Soltustik Kazakhstan,,16-24,465.0
2018,Percent,,Soltustik Kazakhstan,,25-28,566.0
2018,Percent,,Soltustik Kazakhstan,,29-34,662.0
2018,Percent,,Soltustik Kazakhstan,,35-44,697.0
2018,Percent,,Soltustik Kazakhstan,,45-54,629.0
2018,Percent,,Soltustik Kazakhstan,,55-64,607.0
2018,Percent,,Soltustik Kazakhstan,,65 and older,639.0
2018,Percent,,Shygys Kazakhstan,,16-24,531.0
2018,Percent,,Shygys Kazakhstan,,25-28,628.0
2018,Percent,,Shygys Kazakhstan,,29-34,738.0
2018,Percent,,Shygys Kazakhstan,,35-44,827.0
2018,Percent,,Shygys Kazakhstan,,45-54,757.0
2018,Percent,,Shygys Kazakhstan,,55-64,714.0
2018,Percent,,Shygys Kazakhstan,,65 and older,890.0
2018,Percent,,Nur-Sultan city,,16-24,724.0
2018,Percent,,Nur-Sultan city,,25-28,1019.0
2018,Percent,,Nur-Sultan city,,29-34,1403.0
2018,Percent,,Nur-Sultan city,,35-44,1654.0
2018,Percent,,Nur-Sultan city,,45-54,1561.0
2018,Percent,,Nur-Sultan city,,55-64,1461.0
2018,Percent,,Nur-Sultan city,,65 and older,1444.0
2018,Percent,,Almaty city,,16-24,729.0
2018,Percent,,Almaty city,,25-28,1021.0
2018,Percent,,Almaty city,,29-34,1380.0
2018,Percent,,Almaty city,,35-44,1726.0
2018,Percent,,Almaty city,,45-54,1357.0
2018,Percent,,Almaty city,,55-64,1246.0
2018,Percent,,Almaty city,,65 and older,1359.0
2018,Percent,,,Male,16-24,612.0
2018,Percent,,,Male,25-28,827.0
2018,Percent,,,Male,29-34,1100.0
2018,Percent,,,Male,35-44,1347.0
2018,Percent,,,Male,45-54,1205.0
2018,Percent,,,Male,55-64,1107.0
2018,Percent,,,Male,65 and older,1276.0
2018,Percent,,,Female,16-24,532.0
2018,Percent,,,Female,25-28,680.0
2018,Percent,,,Female,29-34,788.0
2018,Percent,,,Female,35-44,868.0
2018,Percent,,,Female,45-54,793.0
2018,Percent,,,Female,55-64,758.0
2018,Percent,,,Female,65 and older,968.0
2018,Percent,No breakdown,,,,959.0
2018,Percent,"agriculture, forestry and fishery",,,,537.0
2018,Percent,Industry,,,,1382.0
2018,Percent,Construction,,,,1337.0
2018,Percent,wholesale and retail trade; car and motorcycle repair,,,,935.0
2018,Percent,transport and storage,,,,1178.0
2018,Percent,services (food and dwelling),,,,1295.0
2018,Percent,information and communication,,,,1371.0
2018,Percent,finance and insurance,,,,2270.0
2018,Percent,real estate transactions,,,,982.0
2018,Percent,"Professional, scientific and technical activities",,,,1548.0
2018,Percent,management and support activities,,,,886.0
2018,Percent,government administration and defence,,,,720.0
2018,Percent,education,,,,599.0
2018,Percent,health care and social care,,,,644.0
2018,Percent,"culture, entertainment and leisure",,,,610.0
