Year,UNIT_MEASURE,Regions,Area,Sex,Age,Value
2010,Percent,,,,,5.8
2010,Percent,Akmola,,,,5.8
2010,Percent,Aktobe,,,,5.3
2010,Percent,Almaty,,,,5.6
2010,Percent,Atyrau,,,,5.4
2010,Percent,Batys Kazakhstan,,,,5.6
2010,Percent,Zhambyl,,,,5.7
2010,Percent,Karagandy,,,,5.5
2010,Percent,Kostanay,,,,5.7
2010,Percent,Kyzylorda,,,,5.9
2010,Percent,Mangistau,,,,6.4
2010,Percent,Ontustik Kazakhstan,,,,5.9
2010,Percent,Pavlodar,,,,5.6
2010,Percent,Soltustik Kazakhstan,,,,5.8
2010,Percent,Shygys Kazakhstan,,,,5.7
2010,Percent,Nur-Sultan city,,,,6.2
2010,Percent,Almaty city,,,,6.3
2010,Percent,,,Male,,4.9
2010,Percent,Akmola,,Male,,6.1
2010,Percent,Aktobe,,Male,,2.9
2010,Percent,Almaty,,Male,,5.3
2010,Percent,Atyrau,,Male,,3.9
2010,Percent,Batys Kazakhstan,,Male,,4.7
2010,Percent,Zhambyl,,Male,,5.5
2010,Percent,Karagandy,,Male,,4.5
2010,Percent,Kostanay,,Male,,5.2
2010,Percent,Kyzylorda,,Male,,5.7
2010,Percent,Mangistau,,Male,,5.9
2010,Percent,Ontustik Kazakhstan,,Male,,4.8
2010,Percent,Pavlodar,,Male,,4.6
2010,Percent,Soltustik Kazakhstan,,Male,,6.1
2010,Percent,Shygys Kazakhstan,,Male,,4.9
2010,Percent,Nur-Sultan city,,Male,,2.9
2010,Percent,Almaty city,,Male,,5.5
2010,Percent,,,Female,,6.6
2010,Percent,Akmola,,Female,,5.5
2010,Percent,Aktobe,,Female,,7.7
2010,Percent,Almaty,,Female,,6.0
2010,Percent,Atyrau,,Female,,7.0
2010,Percent,Batys Kazakhstan,,Female,,6.6
2010,Percent,Zhambyl,,Female,,5.9
2010,Percent,Karagandy,,Female,,6.4
2010,Percent,Kostanay,,Female,,6.1
2010,Percent,Kyzylorda,,Female,,6.1
2010,Percent,Mangistau,,Female,,7.1
2010,Percent,Ontustik Kazakhstan,,Female,,7.2
2010,Percent,Pavlodar,,Female,,6.7
2010,Percent,Soltustik Kazakhstan,,Female,,5.5
2010,Percent,Shygys Kazakhstan,,Female,,6.5
2010,Percent,Nur-Sultan city,,Female,,9.7
2010,Percent,Almaty city,,Female,,7.0
2010,Percent,,Population of urban areas,,,6.2
2010,Percent,Akmola,Population of urban areas,,,5.7
2010,Percent,Aktobe,Population of urban areas,,,5.4
2010,Percent,Almaty,Population of urban areas,,,5.6
2010,Percent,Atyrau,Population of urban areas,,,6.1
2010,Percent,Batys Kazakhstan,Population of urban areas,,,4.8
2010,Percent,Zhambyl,Population of urban areas,,,7.0
2010,Percent,Karagandy,Population of urban areas,,,5.5
2010,Percent,Kostanay,Population of urban areas,,,7.6
2010,Percent,Kyzylorda,Population of urban areas,,,5.4
2010,Percent,Mangistau,Population of urban areas,,,5.8
2010,Percent,Ontustik Kazakhstan,Population of urban areas,,,7.2
2010,Percent,Pavlodar,Population of urban areas,,,6.3
2010,Percent,Soltustik Kazakhstan,Population of urban areas,,,6.5
2010,Percent,Shygys Kazakhstan,Population of urban areas,,,6.6
2010,Percent,Nur-Sultan city,Population of urban areas,,,6.2
2010,Percent,Almaty city,Population of urban areas,,,6.3
2010,Percent,,Population of rural areas,,,5.2
2010,Percent,Akmola,Population of rural areas,,,5.9
2010,Percent,Aktobe,Population of rural areas,,,5.3
2010,Percent,Almaty,Population of rural areas,,,5.6
2010,Percent,Atyrau,Population of rural areas,,,4.9
2010,Percent,Batys Kazakhstan,Population of rural areas,,,6.1
2010,Percent,Zhambyl,Population of rural areas,,,4.9
2010,Percent,Karagandy,Population of rural areas,,,5.3
2010,Percent,Kostanay,Population of rural areas,,,3.9
2010,Percent,Kyzylorda,Population of rural areas,,,6.2
2010,Percent,Mangistau,Population of rural areas,,,7.3
2010,Percent,Ontustik Kazakhstan,Population of rural areas,,,5.1
2010,Percent,Pavlodar,Population of rural areas,,,4.5
2010,Percent,Soltustik Kazakhstan,Population of rural areas,,,5.4
