Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,M_USD,Kazakhstan as beneficiary,58.1
2010,M_USD,Данные по Казахстану как обязательства,149.9
2011,M_USD,Kazakhstan as beneficiary,21.3
2011,M_USD,Данные по Казахстану как обязательства,189.5
2012,M_USD,Kazakhstan as beneficiary,34.4
2012,M_USD,Данные по Казахстану как обязательства,151.7
2013,M_USD,Kazakhstan as beneficiary,46.0
2013,M_USD,Kazakhstan as donor,0.07
2013,M_USD,Данные по Казахстану как обязательства,135.0
2014,M_USD,Kazakhstan as beneficiary,23.5
2014,M_USD,Kazakhstan as donor,0.17
2014,M_USD,Данные по Казахстану как обязательства,267.1
2015,M_USD,Kazakhstan as beneficiary,16.4
2015,M_USD,Kazakhstan as donor,0.71
2015,M_USD,Данные по Казахстану как обязательства,286.9
2016,M_USD,Kazakhstan as beneficiary,35.2
2016,M_USD,Kazakhstan as donor,1.92
2016,M_USD,Данные по Казахстану как обязательства,306.6
2017,M_USD,Kazakhstan as beneficiary,8.1
2017,M_USD,Kazakhstan as donor,0.13
2017,M_USD,Данные по Казахстану как обязательства,169.8
2018,M_USD,Kazakhstan as beneficiary,8.4
2018,M_USD,Kazakhstan as donor,4.48
