Year,UNIT_MEASURE,SERIES,Regions,GeoCode,Value
2010,mln.people,Passengers transported by all means of transport,,,13186.5
2011,mln.people,Passengers transported by all means of transport,,,16647.2
2012,mln.people,Passengers transported by all means of transport,,,18484.6
2013,mln.people,Passengers transported by all means of transport,,,20004.3
2014,mln.people,Passengers transported by all means of transport,,,21281.2
2015,mln.people,Passengers transported by all means of transport,,,21839.1
2016,mln.people,Passengers transported by all means of transport,,,22332.8
2017,mln.people,Passengers transported by all means of transport,,,22744.7
2018,mln.people,Passengers transported by all means of transport,,,23021.6
2010,mln.people,Railway transport,,,19.6
2011,mln.people,Railway transport,,,20.5
2012,mln.people,Railway transport,,,24.4
2013,mln.people,Railway transport,,,28.6
2014,mln.people,Railway transport,,,23.2
2015,mln.people,Railway transport,,,22.5
2016,mln.people,Railway transport,,,23.1
2017,mln.people,Railway transport,,,22.9
2018,mln.people,Railway transport,,,23.1
2010,mln.people,Automobile,,,13083.9
2011,mln.people,Automobile,,,16544.7
2012,mln.people,Automobile,,,18380.2
2013,mln.people,Automobile,,,19905.3
2014,mln.people,Automobile,,,21189.9
2015,mln.people,Automobile,,,21744.7
2016,mln.people,Automobile,,,22239.4
2017,mln.people,Automobile,,,22643.6
2018,mln.people,Automobile,,,22911.5
2010,mln.people,Inland water еransport,,,0.1
2011,mln.people,Inland water еransport,,,0.1
2012,mln.people,Inland water еransport,,,0.1
2013,mln.people,Inland water еransport,,,0.09
2014,mln.people,Inland water еransport,,,0.0672
2015,mln.people,Inland water еransport,,,0.04
2016,mln.people,Inland water еransport,,,0.0904
2017,mln.people,Inland water еransport,,,0.0587
2018,mln.people,Inland water еransport,,,0.0814
2018,mln.people,nautical,,,0.05752
2010,mln.people,Air,,,3.4
2011,mln.people,Air,,,4.1
2012,mln.people,Air,,,4.5
2013,mln.people,Air,,,5.0
2014,mln.people,Air,,,5.4
2015,mln.people,Air,,,5.9
2016,mln.people,Air,,,6.0
2017,mln.people,Air,,,7.4
2018,mln.people,Air,,,7.6
2010,mln.people,City electric transport,,,79.5
2011,mln.people,City electric transport,,,77.0
2012,mln.people,City electric transport,,,69.6
2013,mln.people,City electric transport,,,58.7
2014,mln.people,City electric transport,,,55.6
2015,mln.people,City electric transport,,,55.9
2016,mln.people,City electric transport,,,51.5
2017,mln.people,City electric transport,,,56.8
2018,mln.people,City electric transport,,,54.9
2010,mln.people,Passengers transported by all means of transport,Akmola,,1057.9
2011,mln.people,Passengers transported by all means of transport,Akmola,,1385.8
2012,mln.people,Passengers transported by all means of transport,Akmola,,1482.1
2013,mln.people,Passengers transported by all means of transport,Akmola,,1604.5
2014,mln.people,Passengers transported by all means of transport,Akmola,,1723.9
2015,mln.people,Passengers transported by all means of transport,Akmola,,1729.5
2016,mln.people,Passengers transported by all means of transport,Akmola,,1700.1
2017,mln.people,Passengers transported by all means of transport,Akmola,,1643.9
2018,mln.people,Passengers transported by all means of transport,Akmola,,1652.2
2010,mln.people,Passengers transported by all means of transport,Aktobe,,163.5
2011,mln.people,Passengers transported by all means of transport,Aktobe,,199.3
2012,mln.people,Passengers transported by all means of transport,Aktobe,,220.1
2013,mln.people,Passengers transported by all means of transport,Aktobe,,238.4
2014,mln.people,Passengers transported by all means of transport,Aktobe,,251.0
2015,mln.people,Passengers transported by all means of transport,Aktobe,,264.7
2016,mln.people,Passengers transported by all means of transport,Aktobe,,278.4
2017,mln.people,Passengers transported by all means of transport,Aktobe,,294.7
2018,mln.people,Passengers transported by all means of transport,Aktobe,,304.3
2010,mln.people,Passengers transported by all means of transport,Almaty,,436.6
2011,mln.people,Passengers transported by all means of transport,Almaty,,550.9
2012,mln.people,Passengers transported by all means of transport,Almaty,,597.2
2013,mln.people,Passengers transported by all means of transport,Almaty,,629.0
2014,mln.people,Passengers transported by all means of transport,Almaty,,654.3
2015,mln.people,Passengers transported by all means of transport,Almaty,,706.7
2016,mln.people,Passengers transported by all means of transport,Almaty,,808.3
2017,mln.people,Passengers transported by all means of transport,Almaty,,873.0
2018,mln.people,Passengers transported by all means of transport,Almaty,,882.3
2010,mln.people,Passengers transported by all means of transport,Atyrau,,95.4
2011,mln.people,Passengers transported by all means of transport,Atyrau,,126.9
2012,mln.people,Passengers transported by all means of transport,Atyrau,,155.4
