Year,Value,SERIES,UNIT_MEASURE
2010,12.9,,Percent
2010,15.0,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2010,10.7,Proportion of total government spending on health [1.a.2],Percent
2010,17.4,Proportion of total government spending on social protection [1.a.2],Percent
2010,4.7,_L_KZ_010a02_1A,Percent
2011,11.0,,Percent
2011,16.2,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2011,10.0,Proportion of total government spending on health [1.a.2],Percent
2011,18.1,Proportion of total government spending on social protection [1.a.2],Percent
2011,3.8,_L_KZ_010a02_1A,Percent
2012,11.3,,Percent
2012,17.1,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2012,10.3,Proportion of total government spending on health [1.a.2],Percent
2012,17.5,Proportion of total government spending on social protection [1.a.2],Percent
2012,3.4,_L_KZ_010a02_1A,Percent
2013,10.4,,Percent
2013,16.6,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2013,10.6,Proportion of total government spending on health [1.a.2],Percent
2013,18.5,Proportion of total government spending on social protection [1.a.2],Percent
2013,3.5,_L_KZ_010a02_1A,Percent
2014,10.2,,Percent
2014,15.4,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2014,9.7,Proportion of total government spending on health [1.a.2],Percent
2014,17.8,Proportion of total government spending on social protection [1.a.2],Percent
2014,3.4,_L_KZ_010a02_1A,Percent
2015,10.4,,Percent
2015,15.3,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2015,9.7,Proportion of total government spending on health [1.a.2],Percent
2015,19.3,Proportion of total government spending on social protection [1.a.2],Percent
2015,3.3,_L_KZ_010a02_1A,Percent
2016,10.7,,Percent
2016,15.9,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2016,9.9,Proportion of total government spending on health [1.a.2],Percent
2016,19.1,Proportion of total government spending on social protection [1.a.2],Percent
2016,3.1,_L_KZ_010a02_1A,Percent
2017,10.7,,Percent
2017,13.6,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2017,8.3,Proportion of total government spending on health [1.a.2],Percent
2017,17.1,Proportion of total government spending on social protection [1.a.2],Percent
2017,2.9,_L_KZ_010a02_1A,Percent
2018,10.8,,Percent
2018,15.9,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2018,9.5,Proportion of total government spending on health [1.a.2],Percent
2018,22.4,Proportion of total government spending on social protection [1.a.2],Percent
2018,3.7,_L_KZ_010a02_1A,Percent
2019,11.2,,Percent
2019,15.6,"Proportion of total government spending on essential services, education [1.a.2]",Percent
2019,8.6,Proportion of total government spending on health [1.a.2],Percent
2019,23.2,Proportion of total government spending on social protection [1.a.2],Percent
2019,3.1,_L_KZ_010a02_1A,Percent
