Year,Value,SERIES,UNIT_MEASURE
2010,98.1,,Percent
2010,98.9,DTP Coverage (3 doses),Percent
2010,99.6,Measles vaccine coverage (2 doses),Percent
2011,97.1,,Percent
2011,98.6,DTP Coverage (3 doses),Percent
2011,100.0,Measles vaccine coverage (2 doses),Percent
2012,97.2,,Percent
2012,98.1,DTP Coverage (3 doses),Percent
2012,97.0,Measles vaccine coverage (2 doses),Percent
2012,38.5,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2013,97.9,,Percent
2013,98.1,DTP Coverage (3 doses),Percent
2013,99.3,Measles vaccine coverage (2 doses),Percent
2013,51.8,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2014,98.4,,Percent
2014,98.5,DTP Coverage (3 doses),Percent
2014,99.2,Measles vaccine coverage (2 doses),Percent
2014,58.5,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2015,98.2,,Percent
2015,97.9,DTP Coverage (3 doses),Percent
2015,98.4,Measles vaccine coverage (2 doses),Percent
2015,73.7,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2016,95.0,,Percent
2016,82.5,DTP Coverage (3 doses),Percent
2016,99.3,Measles vaccine coverage (2 doses),Percent
2016,97.3,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2017,96.9,,Percent
2017,100.0,DTP Coverage (3 doses),Percent
2017,98.7,Measles vaccine coverage (2 doses),Percent
2017,98.3,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2018,97.8,,Percent
2018,98.3,DTP Coverage (3 doses),Percent
2018,98.4,Measles vaccine coverage (2 doses),Percent
2018,95.5,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
2019,96.7,,Percent
2019,97.4,DTP Coverage (3 doses),Percent
2019,97.8,Measles vaccine coverage (2 doses),Percent
2019,89.4,Pneumococcal Conjugate Vaccine Coverage (3 doses),Percent
