Year,Value,UNIT_MEASURE
2010,3.251092147469366,the number of branches of commercial banks per 100 000 adults
2010,66.1084379184613,number of ATMs per 100 000 adults
2011,3.129183139172521,the number of branches of commercial banks per 100 000 adults
2011,69.52787742106614,number of ATMs per 100 000 adults
2012,3.2006036778831173,the number of branches of commercial banks per 100 000 adults
2012,73.2582619604358,number of ATMs per 100 000 adults
2013,3.156029890198204,the number of branches of commercial banks per 100 000 adults
2013,75.04988850298912,number of ATMs per 100 000 adults
2014,3.348735721714094,the number of branches of commercial banks per 100 000 adults
2014,76.30807191608898,number of ATMs per 100 000 adults
2015,3.3705674161164425,the number of branches of commercial banks per 100 000 adults
2015,75.18831606780726,number of ATMs per 100 000 adults
2016,2.9465215721088307,the number of branches of commercial banks per 100 000 adults
2016,78.03793005798485,number of ATMs per 100 000 adults
2017,2.8297588303577013,the number of branches of commercial banks per 100 000 adults
2017,78.63324107968191,number of ATMs per 100 000 adults
2018,2.699051416365501,the number of branches of commercial banks per 100 000 adults
2018,88.76253568387678,number of ATMs per 100 000 adults
2019,2.3329917037729904,the number of branches of commercial banks per 100 000 adults
2019,87.1,number of ATMs per 100 000 adults
