Year,Value,SERIES,UNIT_MEASURE
2012,42.1,GSM standard (percentage of coverage by cellular network),Percent
2013,85.9,GSM standard (percentage of coverage by cellular network),Percent
2014,91.6,GSM standard (percentage of coverage by cellular network),Percent
2014,85.0,UMTS standard (percentage of coverage by 3G mobile network),Percent
2015,96.6,GSM standard (percentage of coverage by cellular network),Percent
2015,72.7,UMTS standard (percentage of coverage by 3G mobile network),Percent
2016,96.1,GSM standard (percentage of coverage by cellular network),Percent
2016,86.8,UMTS standard (percentage of coverage by 3G mobile network),Percent
2017,96.6,GSM standard (percentage of coverage by cellular network),Percent
2017,87.5,UMTS standard (percentage of coverage by 3G mobile network),Percent
2018,96.6,GSM standard (percentage of coverage by cellular network),Percent
2018,87.9,UMTS standard (percentage of coverage by 3G mobile network),Percent
2019,98.0,GSM standard (percentage of coverage by cellular network),Percent
2019,88.8,UMTS standard (percentage of coverage by 3G mobile network),Percent
