Year,UNIT_MEASURE,Жынысы,Аймақ,SERIES,Өңірлер,Value
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.1
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.2
2011,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,15.3
2011,пайыз,ерлер,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.1
2011,пайыз,ерлер,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.2
2011,пайыз,ерлер,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,15.9
2011,пайыз,әйелдер,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.1
2011,пайыз,әйелдер,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.2
2011,пайыз,әйелдер,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,14.7
2011,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",,0.4
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",,9.0
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.2
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",,2.1
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",,22.7
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Ақмола,0.2
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қарағанды,0.0
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қостанай,0.1
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Оңтүстік Қазақстан,0.4
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Павлодар,0.2
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Солтүстік Қазақстан,0.2
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Шығыс Қазақстан,0.2
2011,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Нұр-Сұлтан қаласы,0.0
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,2.1
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,0.9
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы,0.2
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Атырау,0.1
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Батыс Қазақстан,0.8
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,0.8
2011,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,0.9
