Year,UNIT_MEASURE,Өңірлер,GeoCode,Value
2016,пайыз,,,100.0
2017,пайыз,,,100.0
2018,пайыз,,,100.0
2016,пайыз,Ақмола,KZ03,100.0
2017,пайыз,Ақмола,KZ03,100.0
2018,пайыз,Ақмола,KZ03,100.0
2016,пайыз,Ақтөбе,KZ04,100.0
2017,пайыз,Ақтөбе,KZ04,100.0
2018,пайыз,Ақтөбе,KZ04,100.0
2016,пайыз,Алматы,KZ01,100.0
2017,пайыз,Алматы,KZ01,100.0
2018,пайыз,Алматы,KZ01,100.0
2016,пайыз,Атырау,KZ06,100.0
2017,пайыз,Атырау,KZ06,100.0
2018,пайыз,Атырау,KZ06,100.0
2016,пайыз,Батыс Қазақстан,KZ07,100.0
2017,пайыз,Батыс Қазақстан,KZ07,100.0
2018,пайыз,Батыс Қазақстан,KZ07,100.0
2016,пайыз,Жамбыл,KZ17,100.0
2017,пайыз,Жамбыл,KZ17,100.0
2018,пайыз,Жамбыл,KZ17,100.0
2016,пайыз,Қарағанды,KZ12,100.0
2017,пайыз,Қарағанды,KZ12,100.0
2018,пайыз,Қарағанды,KZ12,100.0
2016,пайыз,Қостанай,KZ13,100.0
2017,пайыз,Қостанай,KZ13,100.0
2018,пайыз,Қостанай,KZ13,100.0
2016,пайыз,Қызылорда,KZ14,100.0
2017,пайыз,Қызылорда,KZ14,100.0
2018,пайыз,Қызылорда,KZ14,100.0
2016,пайыз,Маңғыстау,KZ09,100.0
2017,пайыз,Маңғыстау,KZ09,100.0
2018,пайыз,Маңғыстау,KZ09,100.0
2016,пайыз,Павлодар,KZ11,100.0
2017,пайыз,Павлодар,KZ11,100.0
2018,пайыз,Павлодар,KZ11,100.0
2016,пайыз,Солтүстік Қазақстан,KZ16,100.0
2017,пайыз,Солтүстік Қазақстан,KZ16,100.0
2018,пайыз,Солтүстік Қазақстан,KZ16,100.0
2016,пайыз,Түркістан,KZ10,100.0
2017,пайыз,Түркістан,KZ10,100.0
2018,пайыз,Түркістан,KZ10,100.0
2016,пайыз,Шығыс Қазақстан,KZ15,100.0
2017,пайыз,Шығыс Қазақстан,KZ15,100.0
2018,пайыз,Шығыс Қазақстан,KZ15,100.0
2016,пайыз,Нұр-Сұлтан қаласы,KZ05,100.0
2017,пайыз,Нұр-Сұлтан қаласы,KZ05,100.0
2018,пайыз,Нұр-Сұлтан қаласы,KZ05,100.0
2016,пайыз,Алматы қаласы,KZ02,100.0
2017,пайыз,Алматы қаласы,KZ02,100.0
2018,пайыз,Алматы қаласы,KZ02,100.0
2016,пайыз,Шымкент қаласы,KZ18,100.0
2017,пайыз,Шымкент қаласы,KZ18,100.0
2018,пайыз,Шымкент қаласы,KZ18,100.0
