Year,UNIT_MEASURE,SERIES,Value
2010,пайыз,,12.9
2010,пайыз,SD_XPD_ESED,15.0
2010,пайыз,SG_XPD_HLTH,10.7
2010,пайыз,SG_XPD_PROT,17.4
2010,пайыз,_L_KZ_010a02_1A,4.7
2011,пайыз,,11.0
2011,пайыз,SD_XPD_ESED,16.2
2011,пайыз,SG_XPD_HLTH,10.0
2011,пайыз,SG_XPD_PROT,18.1
2011,пайыз,_L_KZ_010a02_1A,3.8
2012,пайыз,,11.3
2012,пайыз,SD_XPD_ESED,17.1
2012,пайыз,SG_XPD_HLTH,10.3
2012,пайыз,SG_XPD_PROT,17.5
2012,пайыз,_L_KZ_010a02_1A,3.4
2013,пайыз,,10.4
2013,пайыз,SD_XPD_ESED,16.6
2013,пайыз,SG_XPD_HLTH,10.6
2013,пайыз,SG_XPD_PROT,18.5
2013,пайыз,_L_KZ_010a02_1A,3.5
2014,пайыз,,10.2
2014,пайыз,SD_XPD_ESED,15.4
2014,пайыз,SG_XPD_HLTH,9.7
2014,пайыз,SG_XPD_PROT,17.8
2014,пайыз,_L_KZ_010a02_1A,3.4
2015,пайыз,,10.4
2015,пайыз,SD_XPD_ESED,15.3
2015,пайыз,SG_XPD_HLTH,9.7
2015,пайыз,SG_XPD_PROT,19.3
2015,пайыз,_L_KZ_010a02_1A,3.3
2016,пайыз,,10.7
2016,пайыз,SD_XPD_ESED,15.9
2016,пайыз,SG_XPD_HLTH,9.9
2016,пайыз,SG_XPD_PROT,19.1
2016,пайыз,_L_KZ_010a02_1A,3.1
2017,пайыз,,10.7
2017,пайыз,SD_XPD_ESED,13.6
2017,пайыз,SG_XPD_HLTH,8.3
2017,пайыз,SG_XPD_PROT,17.1
2017,пайыз,_L_KZ_010a02_1A,2.9
2018,пайыз,,10.8
2018,пайыз,SD_XPD_ESED,15.9
2018,пайыз,SG_XPD_HLTH,9.5
2018,пайыз,SG_XPD_PROT,22.4
2018,пайыз,_L_KZ_010a02_1A,3.7
2019,пайыз,,11.2
2019,пайыз,SD_XPD_ESED,15.6
2019,пайыз,SG_XPD_HLTH,8.6
2019,пайыз,SG_XPD_PROT,23.2
2019,пайыз,_L_KZ_010a02_1A,3.1
