Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн АҚШ доллары,Қазақстан-алушы,948.3
2011,млн АҚШ доллары,Қазақстан-алушы,3166.8
2012,млн АҚШ доллары,Қазақстан-алушы,932.5
2013,млн АҚШ доллары,Қазақстан-алушы,4586.1
2013,млн АҚШ доллары,Қазақстан-донор,8.5
2014,млн АҚШ доллары,Қазақстан-алушы,1892.8
2014,млн АҚШ доллары,Қазақстан-донор,33.4
2015,млн АҚШ доллары,Қазақстан-алушы,4428.9
2015,млн АҚШ доллары,Қазақстан-донор,43.0
2016,млн АҚШ доллары,Қазақстан-алушы,418.7
2016,млн АҚШ доллары,Қазақстан-донор,30.8
2017,млн АҚШ доллары,Қазақстан-алушы,-3796.5
2017,млн АҚШ доллары,Қазақстан-донор,35.2
2018,млн АҚШ доллары,Қазақстан-алушы,-8163.7
2018,млн АҚШ доллары,Қазақстан-донор,4034.0
