Year,Өңірлер,Value
2010,,4.7
2010,Ақмола,2.6
2010,Ақтөбе,0.2
2010,Алматы,8.5
2010,Атырау,0.1
2010,Батыс Қазақстан,0.7
2010,Жамбыл,15.7
2010,Қарағанды,0.4
2010,Қостанай,1.2
2010,Қызылорда,15.2
2010,Маңғыстау,0.7
2010,Павлодар,2.0
2010,Солтүстік Қазақстан,5.6
2010,Түркістан,13.9
2010,Шығыс Қазақстан,6.6
2011,,4.7
2011,Ақмола,2.6
2011,Ақтөбе,0.2
2011,Алматы,8.8
2011,Атырау,0.1
2011,Батыс Қазақстан,0.7
2011,Жамбыл,15.8
2011,Қарағанды,0.4
2011,Қостанай,1.2
2011,Қызылорда,15.3
2011,Маңғыстау,0.7
2011,Павлодар,2.1
2011,Солтүстік Қазақстан,5.6
2011,Түркістан,13.9
2011,Шығыс Қазақстан,6.8
2012,,4.7
2012,Ақмола,2.6
2012,Ақтөбе,0.2
2012,Алматы,8.8
2012,Атырау,0.1
2012,Батыс Қазақстан,0.7
2012,Жамбыл,15.8
2012,Қарағанды,0.4
2012,Қостанай,1.2
2012,Қызылорда,15.1
2012,Маңғыстау,0.7
2012,Павлодар,2.0
2012,Солтүстік Қазақстан,5.6
2012,Түркістан,14.0
2012,Шығыс Қазақстан,7.2
2013,,4.8
2013,Ақмола,2.7
2013,Ақтөбе,0.2
2013,Алматы,8.8
2013,Атырау,0.1
2013,Батыс Қазақстан,0.7
2013,Жамбыл,15.9
2013,Қарағанды,0.4
2013,Қостанай,1.2
2013,Қызылорда,15.1
2013,Маңғыстау,0.7
2013,Павлодар,2.1
2013,Солтүстік Қазақстан,5.6
2013,Түркістан,14.0
2013,Шығыс Қазақстан,7.3
2014,,4.8
2014,Ақмола,2.7
2014,Ақтөбе,0.2
2014,Алматы,8.8
2014,Атырау,0.1
2014,Батыс Қазақстан,0.7
2014,Жамбыл,15.9
2014,Қарағанды,0.4
2014,Қостанай,1.2
2014,Қызылорда,15.1
2014,Маңғыстау,0.7
2014,Павлодар,2.1
2014,Солтүстік Қазақстан,5.6
2014,Түркістан,14.0
2014,Шығыс Қазақстан,7.3
2015,,4.8
2015,Ақмола,2.7
2015,Ақтөбе,0.2
2015,Алматы,8.9
2015,Атырау,0.1
2015,Батыс Қазақстан,0.7
2015,Жамбыл,15.9
2015,Қарағанды,0.4
2015,Қостанай,1.2
2015,Қызылорда,15.1
2015,Маңғыстау,0.7
2015,Павлодар,2.1
2015,Солтүстік Қазақстан,5.7
2015,Түркістан,14.0
2015,Шығыс Қазақстан,7.3
2016,,4.8
2016,Ақмола,2.7
2016,Ақтөбе,0.2
2016,Алматы,8.9
2016,Атырау,0.1
2016,Батыс Қазақстан,0.7
2016,Жамбыл,15.9
2016,Қарағанды,0.4
2016,Қостанай,1.2
2016,Қызылорда,15.2
2016,Маңғыстау,0.7
2016,Павлодар,2.1
2016,Солтүстік Қазақстан,5.7
2016,Түркістан,14.1
2016,Шығыс Қазақстан,7.3
2017,,4.9
2017,Ақмола,2.7
2017,Ақтөбе,0.2
2017,Алматы,9.2
2017,Атырау,0.1
2017,Батыс Қазақстан,0.6
2017,Жамбыл,16.8
2017,Қарағанды,0.4
2017,Қостанай,1.3
2017,Қызылорда,15.3
2017,Маңғыстау,0.8
2017,Павлодар,2.1
2017,Солтүстік Қазақстан,5.7
2017,Түркістан,14.2
2017,Шығыс Қазақстан,7.3
2018,,4.9
2018,Ақмола,2.7
2018,Ақтөбе,0.2
2018,Алматы,9.3
2018,Атырау,0.2
2018,Батыс Қазақстан,0.6
2018,Жамбыл,16.5
2018,Қарағанды,0.4
2018,Қостанай,1.3
2018,Қызылорда,15.4
2018,Маңғыстау,0.8
2018,Павлодар,2.1
2018,Солтүстік Қазақстан,5.7
2018,Түркістан,14.3
2018,Шығыс Қазақстан,7.4
2019,,5.0
2019,Ақмола,2.7
2019,Ақтөбе,0.2
2019,Алматы,10.0
2019,Атырау,0.1
2019,Батыс Қазақстан,0.6
2019,Жамбыл,16.5
2019,Қарағанды,0.4
2019,Қостанай,1.3
2019,Қызылорда,15.6
2019,Маңғыстау,0.8
2019,Павлодар,2.2
2019,Солтүстік Қазақстан,5.7
2019,Түркістан,14.4
2019,Шығыс Қазақстан,7.4
