Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2010,мың.гектар,"Площадь территории, покрытой лесом",,12317.8
2010,мың.гектар,"Площадь территории, покрытой лесом",Ақмола,373.7
2010,мың.гектар,"Площадь территории, покрытой лесом",Ақтөбе,47.3
2010,мың.гектар,"Площадь территории, покрытой лесом",Алматы,1797.6
2010,мың.гектар,"Площадь территории, покрытой лесом",Атырау,15.8
2010,мың.гектар,"Площадь территории, покрытой лесом",Батыс Қазақстан,103.3
2010,мың.гектар,"Площадь территории, покрытой лесом",Жамбыл,2213.6
2010,мың.гектар,"Площадь территории, покрытой лесом",Қарағанды,155.4
2010,мың.гектар,"Площадь территории, покрытой лесом",Қостанай,222.4
2010,мың.гектар,"Площадь территории, покрытой лесом",Қызылорда,3094.7
2010,мың.гектар,"Площадь территории, покрытой лесом",Маңғыстау,122.7
2010,мың.гектар,"Площадь территории, покрытой лесом",Павлодар,247.0
2010,мың.гектар,"Площадь территории, покрытой лесом",Солтүстік Қазақстан,530.2
2010,мың.гектар,"Площадь территории, покрытой лесом",Түркістан,1603.4
2010,мың.гектар,"Площадь территории, покрытой лесом",Шығыс Қазақстан,1800.8
2010,млн.м3,AG_LND_FRSTBIOM,,380.7
2010,млн.м3,AG_LND_FRSTBIOM,Ақмола,42.7
2010,млн.м3,AG_LND_FRSTBIOM,Ақтөбе,1.0
2010,млн.м3,AG_LND_FRSTBIOM,Алматы,38.7
2010,млн.м3,AG_LND_FRSTBIOM,Атырау,0.5
2010,млн.м3,AG_LND_FRSTBIOM,Батыс Қазақстан,8.0
2010,млн.м3,AG_LND_FRSTBIOM,Жамбыл,3.4
2010,млн.м3,AG_LND_FRSTBIOM,Қарағанды,4.6
2010,млн.м3,AG_LND_FRSTBIOM,Қостанай,16.5
2010,млн.м3,AG_LND_FRSTBIOM,Қызылорда,6.0
2010,млн.м3,AG_LND_FRSTBIOM,Маңғыстау,0.1
2010,млн.м3,AG_LND_FRSTBIOM,Павлодар,26.6
2010,млн.м3,AG_LND_FRSTBIOM,Солтүстік Қазақстан,54.4
2010,млн.м3,AG_LND_FRSTBIOM,Түркістан,3.1
2010,млн.м3,AG_LND_FRSTBIOM,Шығыс Қазақстан,175.1
2010,пайыз,Изменение чистой площади лесов,,24.0
2010,пайыз,Изменение чистой площади лесов,Ақмола,-6.4
2010,пайыз,Изменение чистой площади лесов,Ақтөбе,-0.2
2010,пайыз,Изменение чистой площади лесов,Алматы,-0.6
2010,пайыз,Изменение чистой площади лесов,Атырау,0.0
2010,пайыз,Изменение чистой площади лесов,Батыс Қазақстан,1.6
2010,пайыз,Изменение чистой площади лесов,Жамбыл,2.9
2010,пайыз,Изменение чистой площади лесов,Қарағанды,10.4
2010,пайыз,Изменение чистой площади лесов,Қостанай,7.2
2010,пайыз,Изменение чистой площади лесов,Қызылорда,3.8
