Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,бірлік,өсімдіктердің түрлері,387
2010,бірлік,жануарлардың түрлері,224
2011,бірлік,өсімдіктердің түрлері,387
2011,бірлік,жануарлардың түрлері,224
2012,бірлік,өсімдіктердің түрлері,387
2012,бірлік,жануарлардың түрлері,224
2013,бірлік,өсімдіктердің түрлері,387
2013,бірлік,жануарлардың түрлері,224
2014,бірлік,өсімдіктердің түрлері,387
2014,бірлік,жануарлардың түрлері,224
2015,бірлік,өсімдіктердің түрлері,387
2015,бірлік,жануарлардың түрлері,224
2016,бірлік,өсімдіктердің түрлері,387
2016,бірлік,жануарлардың түрлері,224
2017,бірлік,өсімдіктердің түрлері,387
2017,бірлік,жануарлардың түрлері,224
2018,бірлік,өсімдіктердің түрлері,387
2018,бірлік,жануарлардың түрлері,224
2019,бірлік,өсімдіктердің түрлері,387
2019,бірлік,жануарлардың түрлері,224
