Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,пайыз,,102000
2011,пайыз,Жайық таралымдары,17900
2011,пайыз,Үстірт таралымдары,6100
2011,пайыз,Бетпақдала таралымдары,78000
2012,пайыз,,137500
2012,пайыз,Жайық таралымдары,20900
2012,пайыз,Үстірт таралымдары,6500
2012,пайыз,Бетпақдала таралымдары,110100
2013,пайыз,,187000
2013,пайыз,Жайық таралымдары,26400
2013,пайыз,Үстірт таралымдары,5400
2013,пайыз,Бетпақдала таралымдары,155200
2014,пайыз,,256700
2014,пайыз,Жайық таралымдары,39000
2014,пайыз,Үстірт таралымдары,1700
2014,пайыз,Бетпақдала таралымдары,216000
2015,пайыз,,295470
2015,пайыз,Жайық таралымдары,51700
2015,пайыз,Үстірт таралымдары,1270
2015,пайыз,Бетпақдала таралымдары,242000
2016,пайыз,,108300
2016,пайыз,Жайық таралымдары,70200
2016,пайыз,Үстірт таралымдары,1900
2016,пайыз,Бетпақдала таралымдары,26200
2017,пайыз,,152600
2017,пайыз,Жайық таралымдары,98200
2017,пайыз,Үстірт таралымдары,2700
2017,пайыз,Бетпақдала таралымдары,51700
2018,пайыз,,215100
2018,пайыз,Жайық таралымдары,135000
2018,пайыз,Үстірт таралымдары,3700
2018,пайыз,Бетпақдала таралымдары,76400
2019,пайыз,,334400
2019,пайыз,Жайық таралымдары,217000
2019,пайыз,Үстірт таралымдары,5900
2019,пайыз,Бетпақдала таралымдары,111500
