Year,UNIT_MEASURE,Жынысы,Жасы,Value
2015,100 000 халыққа,,,4.9
2015,100 000 халыққа,ерлер,,7.2
2015,100 000 халыққа,әйелдер,,2.9
2015,100 000 халыққа,,Y0T17,0.9
2015,100 000 халыққа,,Y18T24,5.8
2015,100 000 халыққа,,Y25T54,8.6
2015,100 000 халыққа,,55-59,9.2
2015,100 000 халыққа,,60+,4.9
2016,100 000 халыққа,,,4.8
2016,100 000 халыққа,ерлер,,7.2
2016,100 000 халыққа,әйелдер,,2.6
2016,100 000 халыққа,,Y0T17,0.5
2016,100 000 халыққа,,Y18T24,6.5
2016,100 000 халыққа,,Y25T54,9.8
2016,100 000 халыққа,,55-59,8.4
2016,100 000 халыққа,,60+,5.0
2017,100 000 халыққа,,,5.1
2017,100 000 халыққа,ерлер,,8.0
2017,100 000 халыққа,әйелдер,,2.4
2017,100 000 халыққа,,Y0T17,0.7
2017,100 000 халыққа,,Y18T24,5.9
2017,100 000 халыққа,,Y25T54,8.6
2017,100 000 халыққа,,55-59,7.0
2017,100 000 халыққа,,60+,5.3
2018,100 000 халыққа,,,4.4
2018,100 000 халыққа,ерлер,,6.5
2018,100 000 халыққа,әйелдер,,2.5
2018,100 000 халыққа,,Y0T17,0.6
2018,100 000 халыққа,,Y18T24,5.1
2018,100 000 халыққа,,Y25T54,9.2
2018,100 000 халыққа,,55-59,6.3
2018,100 000 халыққа,,60+,4.9
2019,100 000 халыққа,,,3.9
2019,100 000 халыққа,ерлер,,6.0
2019,100 000 халыққа,әйелдер,,1.8
2019,100 000 халыққа,,Y0T17,0.3
2019,100 000 халыққа,,Y18T24,3.9
2019,100 000 халыққа,,Y25T54,8.3
2019,100 000 халыққа,,55-59,5.6
2019,100 000 халыққа,,60+,3.2
