Year,UNIT_MEASURE,SERIES,Аймақ,Жынысы,Жасы,Value
2016,пайыз,,,,,100.0
2016,пайыз,толық қауіпсіз,,,,42.4
2016,пайыз,жеткілікті қауіпсіз,,,,48.7
2016,пайыз,қауіпсіз емес,,,,8.9
2016,пайыз,,қала,,,100.0
2016,пайыз,толық қауіпсіз,қала,,,38.0
2016,пайыз,жеткілікті қауіпсіз,қала,,,52.8
2016,пайыз,қауіпсіз емес,қала,,,9.2
2016,пайыз,,ауыл,,,100.0
2016,пайыз,толық қауіпсіз,ауыл,,,48.5
2016,пайыз,жеткілікті қауіпсіз,ауыл,,,42.9
2016,пайыз,қауіпсіз емес,ауыл,,,8.6
2016,пайыз,,,ерлер,,100.0
2016,пайыз,толық қауіпсіз,,ерлер,,48.2
2016,пайыз,жеткілікті қауіпсіз,,ерлер,,45.4
2016,пайыз,қауіпсіз емес,,ерлер,,6.4
2016,пайыз,,,әйелдер,,100.0
2016,пайыз,толық қауіпсіз,,әйелдер,,37.1
2016,пайыз,жеткілікті қауіпсіз,,әйелдер,,51.7
2016,пайыз,қауіпсіз емес,,әйелдер,,11.2
2016,пайыз,,,,15-19,100.0
2016,пайыз,толық қауіпсіз,,,15-19,41.6
2016,пайыз,жеткілікті қауіпсіз,,,15-19,45.0
2016,пайыз,қауіпсіз емес,,,15-19,13.4
2016,пайыз,,,,20-24,100.0
2016,пайыз,толық қауіпсіз,,,20-24,47.8
2016,пайыз,жеткілікті қауіпсіз,,,20-24,45.6
2016,пайыз,қауіпсіз емес,,,20-24,6.5
2016,пайыз,,,,25-29,100.0
2016,пайыз,толық қауіпсіз,,,25-29,44.5
2016,пайыз,жеткілікті қауіпсіз,,,25-29,48.7
2016,пайыз,қауіпсіз емес,,,25-29,6.8
2016,пайыз,,,,30-34,100.0
2016,пайыз,толық қауіпсіз,,,30-34,44.5
2016,пайыз,жеткілікті қауіпсіз,,,30-34,48.3
2016,пайыз,қауіпсіз емес,,,30-34,7.2
2016,пайыз,,,,35-39,100.0
2016,пайыз,толық қауіпсіз,,,35-39,41.9
2016,пайыз,жеткілікті қауіпсіз,,,35-39,50.9
2016,пайыз,қауіпсіз емес,,,35-39,7.1
2016,пайыз,,,,40-44,100.0
2016,пайыз,толық қауіпсіз,,,40-44,41.1
2016,пайыз,жеткілікті қауіпсіз,,,40-44,51.1
2016,пайыз,қауіпсіз емес,,,40-44,7.8
2016,пайыз,,,,45-49,100.0
2016,пайыз,толық қауіпсіз,,,45-49,45.0
2016,пайыз,жеткілікті қауіпсіз,,,45-49,46.5
2016,пайыз,қауіпсіз емес,,,45-49,8.5
2016,пайыз,,,,50-54,100.0
2016,пайыз,толық қауіпсіз,,,50-54,42.7
2016,пайыз,жеткілікті қауіпсіз,,,50-54,49.7
2016,пайыз,қауіпсіз емес,,,50-54,7.6
2016,пайыз,,,,55-59,100.0
2016,пайыз,толық қауіпсіз,,,55-59,41.5
2016,пайыз,жеткілікті қауіпсіз,,,55-59,49.3
2016,пайыз,қауіпсіз емес,,,55-59,9.2
2016,пайыз,,,,60+,100.0
2016,пайыз,толық қауіпсіз,,,60+,35.0
2016,пайыз,жеткілікті қауіпсіз,,,60+,51.1
2016,пайыз,қауіпсіз емес,,,60+,14.0
2019,пайыз,,,,,100.0
2019,пайыз,толық қауіпсіз,,,,49.6
2019,пайыз,жеткілікті қауіпсіз,,,,42.8
2019,пайыз,қауіпсіз емес,,,,5.4
2019,пайыз,совсем не безопасно,,,,0.9
2019,пайыз,затруднились ответить,,,,1.2
2019,пайыз,,қала,,,100.0
2019,пайыз,толық қауіпсіз,қала,,,40.5
2019,пайыз,жеткілікті қауіпсіз,қала,,,50.4
2019,пайыз,қауіпсіз емес,қала,,,6.5
2019,пайыз,совсем не безопасно,қала,,,1.0
2019,пайыз,затруднились ответить,қала,,,1.7
2019,пайыз,,ауыл,,,100.0
2019,пайыз,толық қауіпсіз,ауыл,,,62.9
2019,пайыз,жеткілікті қауіпсіз,ауыл,,,31.9
2019,пайыз,қауіпсіз емес,ауыл,,,3.8
2019,пайыз,совсем не безопасно,ауыл,,,0.9
2019,пайыз,затруднились ответить,ауыл,,,0.5
2019,пайыз,,,ерлер,,100.0
2019,пайыз,толық қауіпсіз,,ерлер,,55.3
2019,пайыз,жеткілікті қауіпсіз,,ерлер,,39.3
2019,пайыз,қауіпсіз емес,,ерлер,,3.6
2019,пайыз,совсем не безопасно,,ерлер,,0.8
2019,пайыз,затруднились ответить,,ерлер,,1.0
2019,пайыз,,,әйелдер,,100.0
2019,пайыз,толық қауіпсіз,,әйелдер,,44.6
2019,пайыз,жеткілікті қауіпсіз,,әйелдер,,46.0
2019,пайыз,қауіпсіз емес,,әйелдер,,7.0
2019,пайыз,совсем не безопасно,,әйелдер,,1.0
2019,пайыз,затруднились ответить,,әйелдер,,1.4
2019,пайыз,,,,15-19,100.0
2019,пайыз,толық қауіпсіз,,,15-19,52.4
2019,пайыз,жеткілікті қауіпсіз,,,15-19,41.6
2019,пайыз,қауіпсіз емес,,,15-19,4.3
2019,пайыз,совсем не безопасно,,,15-19,1.2
2019,пайыз,затруднились ответить,,,15-19,0.5
2019,пайыз,,,,20-24,100.0
2019,пайыз,толық қауіпсіз,,,20-24,55.7
2019,пайыз,жеткілікті қауіпсіз,,,20-24,38.7
2019,пайыз,қауіпсіз емес,,,20-24,4.3
2019,пайыз,совсем не безопасно,,,20-24,0.6
2019,пайыз,затруднились ответить,,,20-24,0.6
2019,пайыз,,,,25-29,100.0
2019,пайыз,толық қауіпсіз,,,25-29,52.9
2019,пайыз,жеткілікті қауіпсіз,,,25-29,40.8
2019,пайыз,қауіпсіз емес,,,25-29,4.5
2019,пайыз,совсем не безопасно,,,25-29,0.6
2019,пайыз,затруднились ответить,,,25-29,1.2
2019,пайыз,,,,30-34,100.0
2019,пайыз,толық қауіпсіз,,,30-34,51.6
2019,пайыз,жеткілікті қауіпсіз,,,30-34,42.0
2019,пайыз,қауіпсіз емес,,,30-34,4.4
2019,пайыз,совсем не безопасно,,,30-34,0.7
2019,пайыз,затруднились ответить,,,30-34,1.2
2019,пайыз,,,,35-39,100.0
2019,пайыз,толық қауіпсіз,,,35-39,50.2
2019,пайыз,жеткілікті қауіпсіз,,,35-39,43.4
2019,пайыз,қауіпсіз емес,,,35-39,4.6
2019,пайыз,совсем не безопасно,,,35-39,0.9
2019,пайыз,затруднились ответить,,,35-39,1.0
2019,пайыз,,,,40-44,100.0
2019,пайыз,толық қауіпсіз,,,40-44,51.3
2019,пайыз,жеткілікті қауіпсіз,,,40-44,41.6
2019,пайыз,қауіпсіз емес,,,40-44,5.2
2019,пайыз,совсем не безопасно,,,40-44,0.7
2019,пайыз,затруднились ответить,,,40-44,1.1
2019,пайыз,,,,45-49,100.0
2019,пайыз,толық қауіпсіз,,,45-49,49.8
2019,пайыз,жеткілікті қауіпсіз,,,45-49,43.4
2019,пайыз,қауіпсіз емес,,,45-49,5.3
2019,пайыз,совсем не безопасно,,,45-49,0.7
2019,пайыз,затруднились ответить,,,45-49,0.8
2019,пайыз,,,,50-54,100.0
2019,пайыз,толық қауіпсіз,,,50-54,49.3
2019,пайыз,жеткілікті қауіпсіз,,,50-54,42.3
2019,пайыз,қауіпсіз емес,,,50-54,5.6
2019,пайыз,совсем не безопасно,,,50-54,1.3
2019,пайыз,затруднились ответить,,,50-54,1.5
2019,пайыз,,,,55-59,100.0
2019,пайыз,толық қауіпсіз,,,55-59,45.2
2019,пайыз,жеткілікті қауіпсіз,,,55-59,46.2
2019,пайыз,қауіпсіз емес,,,55-59,5.8
2019,пайыз,совсем не безопасно,,,55-59,1.2
2019,пайыз,затруднились ответить,,,55-59,1.6
2019,пайыз,,,,60+,100.0
2019,пайыз,толық қауіпсіз,,,60+,41.4
2019,пайыз,жеткілікті қауіпсіз,,,60+,46.7
2019,пайыз,қауіпсіз емес,,,60+,8.5
2019,пайыз,совсем не безопасно,,,60+,1.2
2019,пайыз,затруднились ответить,,,60+,2.1
