Year,UNIT_MEASURE,Аймақ,Жынысы,Жасы,Өңірлер,Value
2010,пайыз,,,,,49.4
2010,пайыз,қала,,,,48.9
2010,пайыз,ауыл,,,,49.9
2010,пайыз,,ерлер,,,53.7
2010,пайыз,,әйелдер,,,45.1
2010,пайыз,,,Y2T4,,47.6
2010,пайыз,,,Y5T9,,52.7
2010,пайыз,,,10 жастан 14 жасқа дейін,,47.4
2010,пайыз,,,,Ақмола,59.7
2010,пайыз,,,,Ақтөбе,58.3
2010,пайыз,,,,Алматы,49.8
2010,пайыз,,,,Атырау,44.7
2010,пайыз,,,,Батыс Қазақстан,54.7
2010,пайыз,,,,Жамбыл,56.1
2010,пайыз,,,,Қарағанды,51.8
2010,пайыз,,,,Қостанай,72.6
2010,пайыз,,,,Қызылорда,56.4
2010,пайыз,,,,Маңғыстау,65.3
2010,пайыз,,,,Оңтүстік Қазақстан,38.9
2010,пайыз,,,,Павлодар,54.3
2010,пайыз,,,,Солтүстік Қазақстан,59.9
2010,пайыз,,,,Шығыс Қазақстан,42.7
2010,пайыз,,,,Нұр-Сұлтан қаласы,38.6
2010,пайыз,,,,Алматы қаласы,27.3
2015,пайыз,,,,,52.7
2015,пайыз,қала,,,,51.7
2015,пайыз,ауыл,,,,53.5
2015,пайыз,,ерлер,,,55.2
2015,пайыз,,әйелдер,,,49.9
2015,пайыз,,,Y1T2,,38.3
2015,пайыз,,,Y3T4,,53.2
2015,пайыз,,,Y5T9,,57.8
2015,пайыз,,,10 жастан 14 жасқа дейін,,53.9
2015,пайыз,,,,Ақмола,38.6
2015,пайыз,,,,Ақтөбе,30.2
2015,пайыз,,,,Алматы,65.0
2015,пайыз,,,,Атырау,59.9
2015,пайыз,,,,Батыс Қазақстан,42.7
2015,пайыз,,,,Жамбыл,67.0
2015,пайыз,,,,Қарағанды,47.1
2015,пайыз,,,,Қостанай,65.4
2015,пайыз,,,,Қызылорда,41.9
2015,пайыз,,,,Маңғыстау,65.1
2015,пайыз,,,,Оңтүстік Қазақстан,53.6
2015,пайыз,,,,Павлодар,60.1
2015,пайыз,,,,Солтүстік Қазақстан,41.1
2015,пайыз,,,,Шығыс Қазақстан,47.1
2015,пайыз,,,,Нұр-Сұлтан қаласы,64.2
2015,пайыз,,,,Алматы қаласы,38.4
