Year,UNIT_MEASURE,Жынысы,Аймақ,Жасы,Өңірлер,Value
2010,пайыз,,,,,99.7
2010,пайыз,,қала,,,99.9
2010,пайыз,,ауыл,,,99.6
2010,пайыз,ерлер,,,,99.8
2010,пайыз,әйелдер,,,,99.7
2010,пайыз,,,Y0,,99.1
2010,пайыз,,,M12T23,,99.9
2010,пайыз,,,M24T35,,99.9
2010,пайыз,,,36-47 ай,,99.9
2010,пайыз,,,48-59 ай,,100.0
2010,пайыз,,,,Ақмола,98.8
2010,пайыз,,,,Ақтөбе,99.6
2010,пайыз,,,,Алматы,100.0
2010,пайыз,,,,Атырау,99.7
2010,пайыз,,,,Батыс Қазақстан,100.0
2010,пайыз,,,,Жамбыл,99.7
2010,пайыз,,,,Қарағанды,99.8
2010,пайыз,,,,Қостанай,98.7
2010,пайыз,,,,Қызылорда,100.0
2010,пайыз,,,,Маңғыстау,99.7
2010,пайыз,,,,Оңтүстік Қазақстан,100.0
2010,пайыз,,,,Павлодар,99.6
2010,пайыз,,,,Солтүстік Қазақстан,98.8
2010,пайыз,,,,Шығыс Қазақстан,99.6
2010,пайыз,,,,Нұр-Сұлтан қаласы,100.0
2010,пайыз,,,,Алматы қаласы,100.0
2015,пайыз,,,,,99.7
2015,пайыз,,қала,,,99.9
2015,пайыз,,ауыл,,,99.5
2015,пайыз,ерлер,,,,99.7
2015,пайыз,әйелдер,,,,99.7
2015,пайыз,,,Y0,,98.7
2015,пайыз,,,M12T23,,100.0
2015,пайыз,,,M24T35,,100.0
2015,пайыз,,,36-47 ай,,99.8
2015,пайыз,,,48-59 ай,,100.0
2015,пайыз,,,,Ақмола,100.0
2015,пайыз,,,,Ақтөбе,100.0
2015,пайыз,,,,Алматы,99.1
2015,пайыз,,,,Атырау,98.9
2015,пайыз,,,,Батыс Қазақстан,99.7
2015,пайыз,,,,Жамбыл,99.4
2015,пайыз,,,,Қарағанды,99.6
2015,пайыз,,,,Қостанай,100.0
2015,пайыз,,,,Қызылорда,99.5
2015,пайыз,,,,Маңғыстау,99.8
2015,пайыз,,,,Оңтүстік Қазақстан,99.8
2015,пайыз,,,,Павлодар,100.0
2015,пайыз,,,,Солтүстік Қазақстан,99.5
2015,пайыз,,,,Шығыс Қазақстан,100.0
2015,пайыз,,,,Нұр-Сұлтан қаласы,99.7
2015,пайыз,,,,Алматы қаласы,100.0
