Year,Өңірлер,Value
2010,,22.7
2010,Ақтөбе,34.5
2010,Алматы,16.1
2010,Атырау,20.4
2010,Батыс Қазақстан,8.3
2010,Жамбыл,29.4
2010,Қарағанды,4.2
2010,Қостанай,15.4
2010,Қызылорда,35.0
2010,Маңғыстау,6.5
2010,Оңтүстік Қазақстан,26.7
2010,Павлодар,16.3
2010,Солтүстік Қазақстан,24.0
2010,Шығыс Қазақстан,21.5
2010,Нұр-Сұлтан қаласы,27.6
2010,Алматы қаласы,6.0
2011,,17.4
2011,Ақмола,23.3
2011,Ақтөбе,16.9
2011,Алматы,18.9
2011,Атырау,6.6
2011,Жамбыл,22.5
2011,Қарағанды,8.2
2011,Қостанай,15.7
2011,Қызылорда,10.4
2011,Маңғыстау,24.7
2011,Оңтүстік Қазақстан,16.8
2011,Павлодар,7.8
2011,Шығыс Қазақстан,22.4
2011,Нұр-Сұлтан қаласы,10.4
2011,Алматы қаласы,15.5
2012,,13.5
2012,Ақмола,8.2
2012,Алматы,7.9
2012,Атырау,6.4
2012,Жамбыл,18.7
2012,Қарағанды,16.2
2012,Қызылорда,15.0
2012,Маңғыстау,5.9
2012,Оңтүстік Қазақстан,20.6
2012,Павлодар,15.5
2012,Солтүстік Қазақстан,12.2
2012,Шығыс Қазақстан,13.2
2012,Алматы қаласы,13.0
2013,,13.1
2013,Ақмола,25.4
2013,Ақтөбе,21.3
2013,Алматы,5.1
2013,Атырау,25.3
2013,Батыс Қазақстан,7.9
2013,Жамбыл,14.8
2013,Қарағанды,4.1
2013,Қостанай,15.3
2013,Қызылорда,10.6
2013,Маңғыстау,11.0
2013,Оңтүстік Қазақстан,10.2
2013,Павлодар,15.4
2013,Солтүстік Қазақстан,12.5
2013,Шығыс Қазақстан,8.9
2013,Нұр-Сұлтан қаласы,17.7
2013,Алматы қаласы,10.2
2014,,15.2093150821552
2014,Ақмола,16.93910392140256
2014,Ақтөбе,10.105603557172453
2014,Алматы,14.492753623188406
2014,Атырау,12.295585884667403
2014,Батыс Қазақстан,23.09646624066518
2014,Жамбыл,18.11331691059267
2014,Қарағанды,16.0655474335288
2014,Қостанай,15.730690577316343
2014,Қызылорда,10.012014417300762
2014,Маңғыстау,26.55478251633119
2014,Оңтүстік Қазақстан,15.487068297971192
2014,Павлодар,0.0
2014,Солтүстік Қазақстан,17.691734169057156
2014,Шығыс Қазақстан,25.83200585525466
2014,Нұр-Сұлтан қаласы,16.335198268468982
2014,Алматы қаласы,4.805035677389904
2015,,16.549690445562803
2015,Ақмола,25.89331952356292
2015,Ақтөбе,15.02178158329578
2015,Алматы,17.17749257686928
2015,Атырау,36.76245328104896
2015,Батыс Қазақстан,38.58024691358025
2015,Жамбыл,3.781147200060498
2015,Қарағанды,32.725190215168126
2015,Қостанай,0.0
2015,Қызылорда,48.761987321883296
2015,Маңғыстау,5.236424569304079
2015,Оңтүстік Қазақстан,15.648227838197323
2015,Павлодар,13.059945148230378
2015,Солтүстік Қазақстан,15.165876777251183
2015,Шығыс Қазақстан,22.251891410769915
2015,Нұр-Сұлтан қаласы,7.659900421294523
2015,Алматы қаласы,2.3766517729822225
2016,,15.416634548678024
2016,Ақмола,0.0
2016,Ақтөбе,20.193861066235865
2016,Алматы,14.472129091391496
2016,Атырау,30.14045451805413
2016,Батыс Қазақстан,22.779043280182236
2016,Жамбыл,11.533138551437798
2016,Қарағанды,29.37350509840124
2016,Қостанай,32.725190215168126
2016,Қызылорда,5.335325188070213
2016,Маңғыстау,5.052801778586226
2016,Оңтүстік Қазақстан,15.989766549408378
2016,Павлодар,0.0
2016,Солтүстік Қазақстан,18.940589683692156
2016,Шығыс Қазақстан,17.755681818181817
2016,Нұр-Сұлтан қаласы,11.020093303456637
2016,Алматы қаласы,7.939343416299472
2017,,14.812204234758116
2017,Ақмола,17.809439002671414
2017,Ақтөбе,5.2521008403361344
2017,Алматы,25.085919273511777
2017,Атырау,18.404907975460123
2017,Батыс Қазақстан,7.764577995185961
2017,Жамбыл,12.22593528404923
2017,Қарағанды,13.226346882990915
2017,Қостанай,17.08233686368295
2017,Қызылорда,0.0
2017,Маңғыстау,10.298130889243602
2017,Оңтүстік Қазақстан,16.798252981689906
2017,Павлодар,28.498147620404676
2017,Солтүстік Қазақстан,18.33588726048747
2017,Шығыс Қазақстан,18.368846436443796
2017,Нұр-Сұлтан қаласы,6.503219093451259
2017,Алматы қаласы,14.729709824716451
2018,,14.0
2018,Ақмола,35.9
2018,Ақтөбе,5.1
2018,Алматы,14.8
2018,Атырау,5.9
2018,Батыс Қазақстан,7.6
2018,Жамбыл,8.0
2018,Қарағанды,26.2
2018,Қостанай,8.7
2018,Қызылорда,10.7
2018,Маңғыстау,25.1
2018,Павлодар,8.5
2018,Солтүстік Қазақстан,14.8
2018,Түркістан,10.3
2018,Шығыс Қазақстан,14.0
2018,Нұр-Сұлтан қаласы,29.0
2018,Алматы қаласы,8.9
2018,Шымкент қаласы,19.6
2019,,13.7
2019,Ақмола,17.2
2019,Ақтөбе,4.9
2019,Алматы,25.4
2019,Атырау,17.8
2019,Батыс Қазақстан,7.6
2019,Жамбыл,11.8
2019,Қарағанды,39.5
2019,Қостанай,26.6
2019,Қызылорда,5.3
2019,Маңғыстау,4.9
2019,Павлодар,0.0
2019,Солтүстік Қазақстан,0.0
2019,Түркістан,9.3
2019,Шығыс Қазақстан,23.4
2019,Нұр-Сұлтан қаласы,3.3
2019,Алматы қаласы,15.4
2019,Шымкент қаласы,7.1
