Year,UNIT_MEASURE,Жынысы,Аймақ,Өңірлер,Value
2010,1000 туылғанға,ұлдар және қыздар,,,19.55
2010,1000 туылғанға,ұлдар және қыздар,,Ақмола,16.99
2010,1000 туылғанға,ұлдар және қыздар,,Ақтөбе,19.45
2010,1000 туылғанға,ұлдар және қыздар,,Алматы,16.06
2010,1000 туылғанға,ұлдар және қыздар,,Атырау,19.78
2010,1000 туылғанға,ұлдар және қыздар,,Батыс Қазақстан,17.17
2010,1000 туылғанға,ұлдар және қыздар,,Жамбыл,20.5
2010,1000 туылғанға,ұлдар және қыздар,,Қарағанды,17.31
2010,1000 туылғанға,ұлдар және қыздар,,Қостанай,16.51
2010,1000 туылғанға,ұлдар және қыздар,,Қызылорда,26.47
2010,1000 туылғанға,ұлдар және қыздар,,Маңғыстау,21.64
2010,1000 туылғанға,ұлдар және қыздар,,Оңтүстік Қазақстан,23.0
2010,1000 туылғанға,ұлдар және қыздар,,Павлодар,15.03
2010,1000 туылғанға,ұлдар және қыздар,,Солтүстік Қазақстан,16.4
2010,1000 туылғанға,ұлдар және қыздар,,Шығыс Қазақстан,22.27
2010,1000 туылғанға,ұлдар және қыздар,,Нұр-Сұлтан қаласы,12.68
2010,1000 туылғанға,ұлдар және қыздар,,Алматы қаласы,18.84
2010,1000 туылғанға,ұлдар және қыздар,қала,,19.09
2010,1000 туылғанға,ұлдар және қыздар,қала,Ақмола,16.63
2010,1000 туылғанға,ұлдар және қыздар,қала,Ақтөбе,19.15
2010,1000 туылғанға,ұлдар және қыздар,қала,Алматы,18.68
2010,1000 туылғанға,ұлдар және қыздар,қала,Атырау,17.69
2010,1000 туылғанға,ұлдар және қыздар,қала,Батыс Қазақстан,15.04
2010,1000 туылғанға,ұлдар және қыздар,қала,Жамбыл,21.62
2010,1000 туылғанға,ұлдар және қыздар,қала,Қарағанды,17.1
2010,1000 туылғанға,ұлдар және қыздар,қала,Қостанай,15.02
