Year,UNIT_MEASURE,Жынысы,Өңірлер,Аймақ,Value
2010,1000 туылғанға,ұлдар және қыздар,,,11.52004177238943
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,,9.649892335911955
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,12.109920819748488
2010,1000 туылғанға,ұлдар және қыздар,Алматы,,8.588310233487821
2010,1000 туылғанға,ұлдар және қыздар,Атырау,,11.838299589695298
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,9.964830011723327
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,,11.089344434338487
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,,9.548574108018244
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,,9.2657478782216
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,,15.380005992210126
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,13.865404125803176
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,12.794046435762164
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,,9.26076360682372
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,8.71459694989107
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,15.781435601561176
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,7.321994811184779
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,13.902486782847072
2010,1000 туылғанға,ұлдар және қыздар,,қала,12.345294459672733
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,қала,10.18573996405033
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,қала,12.733446519524618
2010,1000 туылғанға,ұлдар және қыздар,Алматы,қала,11.72012689460698
2010,1000 туылғанға,ұлдар және қыздар,Атырау,қала,10.25772534940377
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,қала,9.71634540040746
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,қала,12.209898406188834
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,қала,9.920526171553847
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,қала,8.645533141210375
