Year,UNIT_MEASURE,Аймақ,Value
2010,100 000 халыққа,,95.3
2010,100 000 халыққа,қала,107.3
2010,100 000 халыққа,ауыл,81.1
2011,100 000 халыққа,,86.6
2011,100 000 халыққа,қала,97.1
2011,100 000 халыққа,ауыл,74.0
2012,100 000 халыққа,,81.7
2012,100 000 халыққа,қала,91.0
2012,100 000 халыққа,ауыл,70.4
2013,100 000 халыққа,,73.4
2013,100 000 халыққа,қала,85.9
2013,100 000 халыққа,ауыл,61.2
2014,100 000 халыққа,,66.4
2014,100 000 халыққа,қала,78.6
2014,100 000 халыққа,ауыл,50.6
2015,100 000 халыққа,,58.5
2015,100 000 халыққа,қала,63.2
2015,100 000 халыққа,ауыл,52.1
2016,100 000 халыққа,,52.7
2016,100 000 халыққа,қала,55.6
2016,100 000 халыққа,ауыл,48.9
2017,100 000 халыққа,,52.2
2017,100 000 халыққа,қала,54.4
2017,100 000 халыққа,ауыл,49.2
2018,100 000 халыққа,,48.2
2018,100 000 халыққа,қала,50.22440672301683
2018,100 000 халыққа,ауыл,45.31521836735146
2019,100 000 халыққа,,45.6
2019,100 000 халыққа,қала,47.7
2019,100 000 халыққа,ауыл,42.6
