Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2010,100 000 халыққа,,,,22.26
2010,100 000 халыққа,Ақмола,,,44.13
2010,100 000 халыққа,Ақтөбе,,,18.56
2010,100 000 халыққа,Алматы,,,21.52
2010,100 000 халыққа,Атырау,,,17.66
2010,100 000 халыққа,Батыс Қазақстан,,,28.54
2010,100 000 халыққа,Жамбыл,,,17.4
2010,100 000 халыққа,Қарағанды,,,33.57
2010,100 000 халыққа,Қостанай,,,38.19
2010,100 000 халыққа,Қызылорда,,,8.64
2010,100 000 халыққа,Маңғыстау,,,13.24
2010,100 000 халыққа,Оңтүстік Қазақстан,,,11.46
2010,100 000 халыққа,Павлодар,,,27.1
2010,100 000 халыққа,Солтүстік Қазақстан,,,26.22
2010,100 000 халыққа,Шығыс Қазақстан,,,40.41
2010,100 000 халыққа,Нұр-Сұлтан қаласы,,,12.18
2010,100 000 халыққа,Алматы қаласы,,,7.63
2010,100 000 халыққа,,қала,,19.38
2010,100 000 халыққа,Ақмола,қала,,39.43
2010,100 000 халыққа,Ақтөбе,қала,,15.05
2010,100 000 халыққа,Алматы,қала,,22.07
2010,100 000 халыққа,Атырау,қала,,9.97
2010,100 000 халыққа,Батыс Қазақстан,қала,,24.75
2010,100 000 халыққа,Жамбыл,қала,,16.13
2010,100 000 халыққа,Қарағанды,қала,,31.09
2010,100 000 халыққа,Қостанай,қала,,26.23
2010,100 000 халыққа,Қызылорда,қала,,6.48
2010,100 000 халыққа,Маңғыстау,қала,,11.0
2010,100 000 халыққа,Оңтүстік Қазақстан,қала,,11.02
2010,100 000 халыққа,Павлодар,қала,,23.91
2010,100 000 халыққа,Солтүстік Қазақстан,қала,,26.42
2010,100 000 халыққа,Шығыс Қазақстан,қала,,34.97
2010,100 000 халыққа,Нұр-Сұлтан қаласы,қала,,12.18
2010,100 000 халыққа,Алматы қаласы,қала,,7.63
2010,100 000 халыққа,,ауыл,,25.71
2010,100 000 халыққа,Ақмола,ауыл,,48.24
2010,100 000 халыққа,Ақтөбе,ауыл,,24.1
2010,100 000 халыққа,Алматы,ауыл,,21.35
2010,100 000 халыққа,Атырау,ауыл,,24.66
2010,100 000 халыққа,Батыс Қазақстан,ауыл,,31.95
2010,100 000 халыққа,Жамбыл,ауыл,,18.26
2010,100 000 халыққа,Қарағанды,ауыл,,42.34
2010,100 000 халыққа,Қостанай,ауыл,,50.2
2010,100 000 халыққа,Қызылорда,ауыл,,10.21
2010,100 000 халыққа,Маңғыстау,ауыл,,15.76
2010,100 000 халыққа,Оңтүстік Қазақстан,ауыл,,11.74
2010,100 000 халыққа,Павлодар,ауыл,,34.05
2010,100 000 халыққа,Солтүстік Қазақстан,ауыл,,26.09
2010,100 000 халыққа,Шығыс Қазақстан,ауыл,,47.83
2010,100 000 халыққа,,,ерлер,37.97
2010,100 000 халыққа,Ақмола,,ерлер,76.88
2010,100 000 халыққа,Ақтөбе,,ерлер,33.17
2010,100 000 халыққа,Алматы,,ерлер,36.16
2010,100 000 халыққа,Атырау,,ерлер,31.03
2010,100 000 халыққа,Батыс Қазақстан,,ерлер,47.89
2010,100 000 халыққа,Жамбыл,,ерлер,29.19
2010,100 000 халыққа,Қарағанды,,ерлер,56.33
2010,100 000 халыққа,Қостанай,,ерлер,67.75
2010,100 000 халыққа,Қызылорда,,ерлер,14.44
2010,100 000 халыққа,Маңғыстау,,ерлер,21.22
2010,100 000 халыққа,Оңтүстік Қазақстан,,ерлер,16.97
2010,100 000 халыққа,Павлодар,,ерлер,47.92
2010,100 000 халыққа,Солтүстік Қазақстан,,ерлер,48.33
2010,100 000 халыққа,Шығыс Қазақстан,,ерлер,72.91
2010,100 000 халыққа,Нұр-Сұлтан қаласы,,ерлер,20.44
2010,100 000 халыққа,Алматы қаласы,,ерлер,12.77
2010,100 000 халыққа,,қала,ерлер,33.68
2010,100 000 халыққа,Ақмола,қала,ерлер,67.59
2010,100 000 халыққа,Ақтөбе,қала,ерлер,28.41
2010,100 000 халыққа,Алматы,қала,ерлер,40.21
2010,100 000 халыққа,Атырау,қала,ерлер,18.4
2010,100 000 халыққа,Батыс Қазақстан,қала,ерлер,42.86
2010,100 000 халыққа,Жамбыл,қала,ерлер,27.75
2010,100 000 халыққа,Қарағанды,қала,ерлер,53.04
2010,100 000 халыққа,Қостанай,қала,ерлер,46.09
2010,100 000 халыққа,Қызылорда,қала,ерлер,10.53
2010,100 000 халыққа,Маңғыстау,қала,ерлер,18.89
2010,100 000 халыққа,Оңтүстік Қазақстан,қала,ерлер,16.48
2010,100 000 халыққа,Павлодар,қала,ерлер,43.9
2010,100 000 халыққа,Солтүстік Қазақстан,қала,ерлер,51.0
2010,100 000 халыққа,Шығыс Қазақстан,қала,ерлер,64.02
2010,100 000 халыққа,Нұр-Сұлтан қаласы,қала,ерлер,20.44
2010,100 000 халыққа,Алматы қаласы,қала,ерлер,12.77
2010,100 000 халыққа,,ауыл,ерлер,42.8
2010,100 000 халыққа,Ақмола,ауыл,ерлер,84.52
2010,100 000 халыққа,Ақтөбе,ауыл,ерлер,40.26
2010,100 000 халыққа,Алматы,ауыл,ерлер,34.97
2010,100 000 халыққа,Атырау,ауыл,ерлер,41.96
2010,100 000 халыққа,Батыс Қазақстан,ауыл,ерлер,52.09
2010,100 000 халыққа,Жамбыл,ауыл,ерлер,30.11
2010,100 000 халыққа,Қарағанды,ауыл,ерлер,67.11
2010,100 000 халыққа,Қостанай,ауыл,ерлер,88.12
2010,100 000 халыққа,Қызылорда,ауыл,ерлер,17.18
2010,100 000 халыққа,Маңғыстау,ауыл,ерлер,23.75
2010,100 000 халыққа,Оңтүстік Қазақстан,ауыл,ерлер,17.28
2010,100 000 халыққа,Павлодар,ауыл,ерлер,56.05
2010,100 000 халыққа,Солтүстік Қазақстан,ауыл,ерлер,46.67
2010,100 000 халыққа,Шығыс Қазақстан,ауыл,ерлер,84.1
2010,100 000 халыққа,,,әйелдер,7.64
2010,100 000 халыққа,Ақмола,,әйелдер,13.67
2010,100 000 халыққа,Ақтөбе,,әйелдер,5.0
2010,100 000 халыққа,Алматы,,әйелдер,7.41
2010,100 000 халыққа,Атырау,,әйелдер,4.84
2010,100 000 халыққа,Батыс Қазақстан,,әйелдер,10.52
2010,100 000 халыққа,Жамбыл,,әйелдер,6.19
2010,100 000 халыққа,Қарағанды,,әйелдер,13.2
2010,100 000 халыққа,Қостанай,,әйелдер,11.8
2010,100 000 халыққа,Қызылорда,,әйелдер,2.87
2010,100 000 халыққа,Маңғыстау,,әйелдер,5.4
2010,100 000 халыққа,Оңтүстік Қазақстан,,әйелдер,6.07
2010,100 000 халыққа,Павлодар,,әйелдер,8.61
2010,100 000 халыққа,Солтүстік Қазақстан,,әйелдер,6.13
2010,100 000 халыққа,Шығыс Қазақстан,,әйелдер,11.03
2010,100 000 халыққа,Нұр-Сұлтан қаласы,,әйелдер,4.34
2010,100 000 халыққа,Алматы қаласы,,әйелдер,3.29
2010,100 000 халыққа,,қала,әйелдер,6.78
2010,100 000 халыққа,Ақмола,қала,әйелдер,14.79
2010,100 000 халыққа,Ақтөбе,қала,әйелдер,3.2
2010,100 000 халыққа,Алматы,қала,әйелдер,5.68
2010,100 000 халыққа,Атырау,қала,әйелдер,2.29
2010,100 000 халыққа,Батыс Қазақстан,қала,әйелдер,9.1
2010,100 000 халыққа,Жамбыл,қала,әйелдер,5.82
2010,100 000 халыққа,Қарағанды,қала,әйелдер,12.06
2010,100 000 халыққа,Қостанай,қала,әйелдер,9.56
2010,100 000 халыққа,Қызылорда,қала,әйелдер,2.65
2010,100 000 халыққа,Маңғыстау,қала,әйелдер,3.56
2010,100 000 халыққа,Оңтүстік Қазақстан,қала,әйелдер,5.97
2010,100 000 халыққа,Павлодар,қала,әйелдер,6.89
2010,100 000 халыққа,Солтүстік Қазақстан,қала,әйелдер,6.13
2010,100 000 халыққа,Шығыс Қазақстан,қала,әйелдер,10.32
2010,100 000 халыққа,Нұр-Сұлтан қаласы,қала,әйелдер,4.34
2010,100 000 халыққа,Алматы қаласы,қала,әйелдер,3.29
2010,100 000 халыққа,,ауыл,әйелдер,8.73
2010,100 000 халыққа,Ақмола,ауыл,әйелдер,12.64
2010,100 000 халыққа,Ақтөбе,ауыл,әйелдер,8.01
2010,100 000 халыққа,Алматы,ауыл,әйелдер,7.96
2010,100 000 халыққа,Атырау,ауыл,әйелдер,7.27
2010,100 000 халыққа,Батыс Қазақстан,ауыл,әйелдер,11.88
2010,100 000 халыққа,Жамбыл,ауыл,әйелдер,6.45
2010,100 000 халыққа,Қарағанды,ауыл,әйелдер,17.5
2010,100 000 халыққа,Қостанай,ауыл,әйелдер,14.17
2010,100 000 халыққа,Қызылорда,ауыл,әйелдер,3.03
2010,100 000 халыққа,Маңғыстау,ауыл,әйелдер,7.56
2010,100 000 халыққа,Оңтүстік Қазақстан,ауыл,әйелдер,6.14
2010,100 000 халыққа,Павлодар,ауыл,әйелдер,12.6
2010,100 000 халыққа,Солтүстік Қазақстан,ауыл,әйелдер,6.14
2010,100 000 халыққа,Шығыс Қазақстан,ауыл,әйелдер,12.08
2011,100 000 халыққа,,,,20.8
2011,100 000 халыққа,Ақмола,,,34.96
2011,100 000 халыққа,Ақтөбе,,,17.39
2011,100 000 халыққа,Алматы,,,20.47
2011,100 000 халыққа,Атырау,,,13.4
2011,100 000 халыққа,Батыс Қазақстан,,,33.75
2011,100 000 халыққа,Жамбыл,,,17.89
2011,100 000 халыққа,Қарағанды,,,29.0
2011,100 000 халыққа,Қостанай,,,40.99
2011,100 000 халыққа,Қызылорда,,,7.22
2011,100 000 халыққа,Маңғыстау,,,10.65
2011,100 000 халыққа,Оңтүстік Қазақстан,,,10.68
2011,100 000 халыққа,Павлодар,,,32.01
2011,100 000 халыққа,Солтүстік Қазақстан,,,17.56
2011,100 000 халыққа,Шығыс Қазақстан,,,36.88
2011,100 000 халыққа,Нұр-Сұлтан қаласы,,,11.81
2011,100 000 халыққа,Алматы қаласы,,,8.24
2011,100 000 халыққа,,қала,,18.21
2011,100 000 халыққа,Ақмола,қала,,27.77
2011,100 000 халыққа,Ақтөбе,қала,,15.57
2011,100 000 халыққа,Алматы,қала,,22.19
2011,100 000 халыққа,Атырау,қала,,12.04
2011,100 000 халыққа,Батыс Қазақстан,қала,,26.91
2011,100 000 халыққа,Жамбыл,қала,,20.36
2011,100 000 халыққа,Қарағанды,қала,,26.52
2011,100 000 халыққа,Қостанай,қала,,31.92
2011,100 000 халыққа,Қызылорда,қала,,6.02
2011,100 000 халыққа,Маңғыстау,қала,,11.12
2011,100 000 халыққа,Оңтүстік Қазақстан,қала,,10.23
2011,100 000 халыққа,Павлодар,қала,,25.33
2011,100 000 халыққа,Солтүстік Қазақстан,қала,,12.57
2011,100 000 халыққа,Шығыс Қазақстан,қала,,30.25
2011,100 000 халыққа,Нұр-Сұлтан қаласы,қала,,11.81
2011,100 000 халыққа,Алматы қаласы,қала,,8.24
2011,100 000 халыққа,,ауыл,,23.93
2011,100 000 халыққа,Ақмола,ауыл,,41.26
2011,100 000 халыққа,Ақтөбе,ауыл,,20.31
2011,100 000 халыққа,Алматы,ауыл,,19.94
2011,100 000 халыққа,Атырау,ауыл,,14.64
2011,100 000 халыққа,Батыс Қазақстан,ауыл,,40.08
2011,100 000 халыққа,Жамбыл,ауыл,,16.23
2011,100 000 халыққа,Қарағанды,ауыл,,37.89
2011,100 000 халыққа,Қостанай,ауыл,,50.26
2011,100 000 халыққа,Қызылорда,ауыл,,8.09
2011,100 000 халыққа,Маңғыстау,ауыл,,10.15
