Year,Жасы,Аймақ,Өңірлер,Value
2010,10 жастан 14 жасқа дейін,,,0.0443645094571824
2010,10 жастан 14 жасқа дейін,,Ақмола,0.1219586560156107
2010,10 жастан 14 жасқа дейін,,Ақтөбе,0.0
2010,10 жастан 14 жасқа дейін,,Алматы,0.04647056089967
2010,10 жастан 14 жасқа дейін,,Атырау,0.0
2010,10 жастан 14 жасқа дейін,,Батыс Қазақстан,0.0
2010,10 жастан 14 жасқа дейін,,Жамбыл,0.0241837968561064
2010,10 жастан 14 жасқа дейін,,Қарағанды,0.0715751300281528
2010,10 жастан 14 жасқа дейін,,Қостанай,0.1171623284060065
2010,10 жастан 14 жасқа дейін,,Қызылорда,0.0325839035516454
2010,10 жастан 14 жасқа дейін,,Маңғыстау,0.0
2010,10 жастан 14 жасқа дейін,,Оңтүстік Қазақстан,0.0084840669223198
2010,10 жастан 14 жасқа дейін,,Павлодар,0.09388349058818
2010,10 жастан 14 жасқа дейін,,Солтүстік Қазақстан,0.0575208513085993
2010,10 жастан 14 жасқа дейін,,Шығыс Қазақстан,0.0749185261028631
2010,10 жастан 14 жасқа дейін,,Нұр-Сұлтан қаласы,0.1196530062817828
2010,10 жастан 14 жасқа дейін,,Алматы қаласы,0.0591794765575298
2010,10 жастан 14 жасқа дейін,қала,,0.0607826526309391
2010,10 жастан 14 жасқа дейін,қала,Ақмола,0.2980477869951815
2010,10 жастан 14 жасқа дейін,қала,Ақтөбе,0.0
2010,10 жастан 14 жасқа дейін,қала,Алматы,0.2098489087856743
2010,10 жастан 14 жасқа дейін,қала,Атырау,0.0
2010,10 жастан 14 жасқа дейін,қала,Батыс Қазақстан,0.0
2010,10 жастан 14 жасқа дейін,қала,Жамбыл,0.0643045463314256
2010,10 жастан 14 жасқа дейін,қала,Қарағанды,0.0990769332386598
2010,10 жастан 14 жасқа дейін,қала,Қостанай,0.2787974536499233
2010,10 жастан 14 жасқа дейін,қала,Қызылорда,0.0859217253082441
2010,10 жастан 14 жасқа дейін,қала,Маңғыстау,0.0
2010,10 жастан 14 жасқа дейін,қала,Оңтүстік Қазақстан,0.0
2010,10 жастан 14 жасқа дейін,қала,Павлодар,0.0
2010,10 жастан 14 жасқа дейін,қала,Солтүстік Қазақстан,0.0
2010,10 жастан 14 жасқа дейін,қала,Шығыс Қазақстан,0.1009107192411513
2010,10 жастан 14 жасқа дейін,қала,Нұр-Сұлтан қаласы,0.0
2010,10 жастан 14 жасқа дейін,қала,Алматы қаласы,0.0
2010,10 жастан 14 жасқа дейін,ауыл,,0.0299719762022508
2010,10 жастан 14 жасқа дейін,ауыл,Ақмола,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Ақтөбе,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Алматы,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Атырау,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Батыс Қазақстан,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Жамбыл,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Қарағанды,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Қостанай,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Қызылорда,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Маңғыстау,0.0
2010,10 жастан 14 жасқа дейін,ауыл,Оңтүстік Қазақстан,0.0130032247997503
2010,10 жастан 14 жасқа дейін,ауыл,Павлодар,0.2499843759765014
2010,10 жастан 14 жасқа дейін,ауыл,Солтүстік Қазақстан,0.082314689056262
2010,10 жастан 14 жасқа дейін,ауыл,Шығыс Қазақстан,0.0494462025316455
2010,15-19,,,28.26355987484842
2010,,,Ақмола,33.42636895268474
2010,,,Ақтөбе,21.83937167468964
2010,,,Алматы,30.749137046366265
2010,,,Атырау,42.38024950967507
2010,,,Батыс Қазақстан,26.085191949379237
2010,,,Жамбыл,36.693411909928926
2010,,,Қарағанды,29.27261975162626
2010,,,Қостанай,25.815217391304348
2010,,,Қызылорда,23.19021361645428
2010,,,Маңғыстау,39.68056934789805
2010,,,Оңтүстік Қазақстан,30.066937342258317
2010,,,Павлодар,27.55850506461753
2010,,,Солтүстік Қазақстан,31.21505777115169
2010,,,Шығыс Қазақстан,24.93887089352257
2010,,,Нұр-Сұлтан қаласы,22.6027397260274
2010,,,Алматы қаласы,13.9711779772839
2010,,қала,,25.759867297653315
2010,,қала,Ақмола,31.138429828112923
2010,,қала,Ақтөбе,20.66295368434129
2010,,қала,Алматы,32.142952966113064
2010,,қала,Атырау,49.518066785436936
2010,,қала,Батыс Қазақстан,30.549045865416804
2010,,қала,Жамбыл,27.976146653905616
2010,,қала,Қарағанды,29.81473502800517
2010,,қала,Қостанай,21.052010850336124
2010,,қала,Қызылорда,29.322548028311427
2010,,қала,Маңғыстау,35.9752670039348
2010,,қала,Оңтүстік Қазақстан,29.42766664092068
2010,,қала,Павлодар,25.58139534883721
2010,,қала,Солтүстік Қазақстан,25.082672989330504
2010,,қала,Шығыс Қазақстан,22.30483271375465
2010,,қала,Нұр-Сұлтан қаласы,22.6027397260274
2010,,қала,Алматы қаласы,13.9711779772839
2010,,ауыл,,31.026544706337727
2010,,ауыл,Ақмола,35.308724222511586
2010,,ауыл,Ақтөбе,23.69374367677295
2010,,ауыл,Алматы,30.32854575189857
2010,,ауыл,Атырау,36.71189146049481
2010,,ауыл,Батыс Қазақстан,22.56606512487216
2010,,ауыл,Жамбыл,42.64299472405996
2010,,ауыл,Қарағанды,27.6408907332617
2010,,ауыл,Қостанай,30.21230266739249
2010,,ауыл,Қызылорда,18.739144262054456
2010,,ауыл,Маңғыстау,43.61929150661545
2010,,ауыл,Оңтүстік Қазақстан,30.478964038804985
2010,,ауыл,Павлодар,31.16370808678501
2010,,ауыл,Солтүстік Қазақстан,34.86859224564143
2010,,ауыл,Шығыс Қазақстан,28.57756768371293
2011,10 жастан 14 жасқа дейін,,,0.0211100546310622
2011,10 жастан 14 жасқа дейін,,Ақмола,0.0
2011,10 жастан 14 жасқа дейін,,Ақтөбе,0.0781188969611749
2011,10 жастан 14 жасқа дейін,,Алматы,0.0
2011,10 жастан 14 жасқа дейін,,Атырау,0.0482648776485351
2011,10 жастан 14 жасқа дейін,,Батыс Қазақстан,0.0517170045510963
