Year,UNIT_MEASURE,SERIES,Жынысы,Өңірлер,Value
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,,,58.7
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,,54.7
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Ақмола,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Ақмола,60.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Ақтөбе,39.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Ақтөбе,62.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Алматы,51.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Алматы,58.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Атырау,33.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Атырау,51.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Батыс Қазақстан,59.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Батыс Қазақстан,66.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Жамбыл,58.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Жамбыл,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Қарағанды,71.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Қарағанды,74.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Қостанай,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Қостанай,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Қызылорда,59.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Қызылорда,65.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Маңғыстау,45.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Маңғыстау,45.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Оңтүстік Қазақстан,42.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Оңтүстік Қазақстан,48.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Павлодар,70.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Павлодар,79.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ерлер,Солтүстік Қазақстан,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,әйелдер,Солтүстік Қазақстан,78.0
