Year,UNIT_MEASURE,Аймақ,Жынысы,Өңірлер,Жасы,ана білімі,Квинтильді әл-ауқат индексі,Value
2010,пайыз,,,,,,,861.0
2010,пайыз,қала,,,,,,87.2
2010,пайыз,ауыл,,,,,,85.1
2010,пайыз,,ерлер,,,,,83.5
2010,пайыз,,әйелдер,,,,,89.0
2010,пайыз,,,Ақмола,,,,80.3
2010,пайыз,,,Ақтөбе,,,,69.0
2010,пайыз,,,Алматы,,,,91.1
2010,пайыз,,,Атырау,,,,89.3
2010,пайыз,,,Батыс Қазақстан,,,,85.0
2010,пайыз,,,Жамбыл,,,,83.0
2010,пайыз,,,Қарағанды,,,,92.3
2010,пайыз,,,Қостанай,,,,92.4
2010,пайыз,,,Қызылорда,,,,92.0
2010,пайыз,,,Маңғыстау,,,,87.4
2010,пайыз,,,Оңтүстік Қазақстан,,,,81.5
2010,пайыз,,,Павлодар,,,,90.6
2010,пайыз,,,Солтүстік Қазақстан,,,,86.5
2010,пайыз,,,Шығыс Қазақстан,,,,83.2
2010,пайыз,,,Нұр-Сұлтан қаласы,,,,96.0
2010,пайыз,,,Алматы қаласы,,,,89.0
2010,пайыз,,,,36-47 ай,,,82.9
2010,пайыз,,,,48-59 ай,,,89.4
2010,пайыз,,,,,бастауыш/толық емес орта,,82.1
2010,пайыз,,,,,негізгі орта,,81.3
2010,пайыз,,,,,орташа жалпы,,88.9
2010,пайыз,,,,,жоғары,,89.9
2010,пайыз,,,,,,ең кедей,83.3
2010,пайыз,,,,,,екінші,82.8
2010,пайыз,,,,,,орташа,88.6
2010,пайыз,,,,,,төртінші,85.3
2010,пайыз,,,,,,ең бай,92.1
2015,пайыз,,,,,,,855.0
2015,пайыз,қала,,,,,,86.0
2015,пайыз,ауыл,,,,,,85.1
2015,пайыз,,ерлер,,,,,84.8
2015,пайыз,,әйелдер,,,,,86.3
2015,пайыз,,,Ақмола,,,,81.0
2015,пайыз,,,Ақтөбе,,,,95.0
2015,пайыз,,,Алматы,,,,96.8
2015,пайыз,,,Атырау,,,,82.0
2015,пайыз,,,Батыс Қазақстан,,,,86.6
2015,пайыз,,,Жамбыл,,,,79.4
2015,пайыз,,,Қарағанды,,,,80.6
2015,пайыз,,,Қостанай,,,,92.5
2015,пайыз,,,Қызылорда,,,,88.6
2015,пайыз,,,Маңғыстау,,,,79.5
2015,пайыз,,,Оңтүстік Қазақстан,,,,82.2
2015,пайыз,,,Павлодар,,,,88.5
2015,пайыз,,,Солтүстік Қазақстан,,,,83.5
2015,пайыз,,,Шығыс Қазақстан,,,,84.2
2015,пайыз,,,Нұр-Сұлтан қаласы,,,,84.5
2015,пайыз,,,Алматы қаласы,,,,90.8
2015,пайыз,,,,36-47 ай,,,81.4
2015,пайыз,,,,48-59 ай,,,90.0
2015,пайыз,,,,,негізгі орта,,85.9
2015,пайыз,,,,,орташа жалпы,,82.0
2015,пайыз,,,,,техникалық және кәсіби,,85.2
2015,пайыз,,,,,жоғары,,87.9
2015,пайыз,,,,,,ең кедей,87.2
2015,пайыз,,,,,,екінші,82.4
2015,пайыз,,,,,,орташа,83.2
2015,пайыз,,,,,,төртінші,87.3
2015,пайыз,,,,,,ең бай,87.9
