Year,UNIT_MEASURE,Жынысы,Өңірлер,Value
2015,пайыз,,,99.81213409838932
2015,пайыз,ерлер,,100.0
2015,пайыз,әйелдер,,95.54547647768396
2015,пайыз,,Ақмола,100.0
2015,пайыз,,Ақтөбе,100.0
2015,пайыз,,Алматы,97.8
2015,пайыз,,Атырау,100.0
2015,пайыз,,Батыс Қазақстан,100.0
2015,пайыз,,Жамбыл,100.0
2015,пайыз,,Қарағанды,100.0
2015,пайыз,,Қостанай,100.0
2015,пайыз,,Қызылорда,100.0
2015,пайыз,,Маңғыстау,100.0
2015,пайыз,,Оңтүстік Қазақстан,99.5
2015,пайыз,,Павлодар,100.0
2015,пайыз,,Солтүстік Қазақстан,100.0
2015,пайыз,,Шығыс Қазақстан,100.0
2015,пайыз,,Нұр-Сұлтан қаласы,99.7
2015,пайыз,,Алматы қаласы,99.8
2015,пайыз,ерлер,Ақмола,100.0
2015,пайыз,әйелдер,Ақмола,100.0
2015,пайыз,ерлер,Ақтөбе,100.0
2015,пайыз,әйелдер,Ақтөбе,100.0
2015,пайыз,ерлер,Алматы,97.94669047315394
2015,пайыз,әйелдер,Алматы,97.69844146429864
2015,пайыз,ерлер,Атырау,100.0
2015,пайыз,әйелдер,Атырау,100.0
2015,пайыз,ерлер,Батыс Қазақстан,100.0
2015,пайыз,әйелдер,Батыс Қазақстан,100.0
2015,пайыз,ерлер,Жамбыл,100.0
2015,пайыз,әйелдер,Жамбыл,100.0
2015,пайыз,ерлер,Қарағанды,100.0
2015,пайыз,әйелдер,Қарағанды,100.0
2015,пайыз,ерлер,Қостанай,100.0
2015,пайыз,әйелдер,Қостанай,100.0
2015,пайыз,ерлер,Қызылорда,100.0
2015,пайыз,әйелдер,Қызылорда,100.0
2015,пайыз,ерлер,Маңғыстау,100.0
2015,пайыз,әйелдер,Маңғыстау,100.0
2015,пайыз,ерлер,Оңтүстік Қазақстан,99.03708400854882
2015,пайыз,әйелдер,Оңтүстік Қазақстан,100.0
2015,пайыз,ерлер,Павлодар,100.0
2015,пайыз,әйелдер,Павлодар,100.0
2015,пайыз,ерлер,Солтүстік Қазақстан,100.0
2015,пайыз,әйелдер,Солтүстік Қазақстан,100.0
2015,пайыз,ерлер,Шығыс Қазақстан,100.0
2015,пайыз,әйелдер,Шығыс Қазақстан,100.0
2015,пайыз,ерлер,Нұр-Сұлтан қаласы,100.0
2015,пайыз,әйелдер,Нұр-Сұлтан қаласы,82.83477036776351
2015,пайыз,ерлер,Алматы қаласы,100.0
2015,пайыз,әйелдер,Алматы қаласы,93.84175167952226
2016,пайыз,,,95.85777639042873
2016,пайыз,ерлер,,98.77800407331976
2016,пайыз,әйелдер,,92.88182559087204
2016,пайыз,,Ақмола,100.0
2016,пайыз,,Ақтөбе,100.0
2016,пайыз,,Алматы,100.0
2016,пайыз,,Атырау,100.0
2016,пайыз,,Батыс Қазақстан,100.0
2016,пайыз,,Жамбыл,100.0
2016,пайыз,,Қарағанды,96.8
2016,пайыз,,Қостанай,100.0
2016,пайыз,,Қызылорда,100.0
2016,пайыз,,Маңғыстау,100.0
