Year,UNIT_MEASURE,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,,,,30.9
2011,пайыз,,,,33.8
2012,пайыз,,,,37.6
2013,пайыз,,,,37.6
2014,пайыз,,,,41.6
2015,пайыз,,,,43.4
2016,пайыз,,,,42.9
2017,пайыз,,,,44.5
2018,пайыз,,,,44.8
2010,пайыз,,,Ақмола,27.1
2011,пайыз,,,Ақмола,24.2
2012,пайыз,,,Ақмола,24.0
2013,пайыз,,,Ақмола,26.6
2014,пайыз,,,Ақмола,33.8
2015,пайыз,,,Ақмола,32.1
2016,пайыз,,,Ақмола,36.2
2017,пайыз,,,Ақмола,34.1
2018,пайыз,,,Ақмола,38.7
2010,пайыз,,,Ақтөбе,30.3
2011,пайыз,,,Ақтөбе,40.8
2012,пайыз,,,Ақтөбе,38.3
2013,пайыз,,,Ақтөбе,47.4
2014,пайыз,,,Ақтөбе,34.2
2015,пайыз,,,Ақтөбе,35.8
2016,пайыз,,,Ақтөбе,37.5
2017,пайыз,,,Ақтөбе,44.3
2018,пайыз,,,Ақтөбе,36.4
2010,пайыз,,,Алматы,28.2
2011,пайыз,,,Алматы,27.0
2012,пайыз,,,Алматы,26.7
2013,пайыз,,,Алматы,25.4
2014,пайыз,,,Алматы,28.9
2015,пайыз,,,Алматы,29.9
2016,пайыз,,,Алматы,29.6
2017,пайыз,,,Алматы,35.3
2018,пайыз,,,Алматы,34.9
2010,пайыз,,,Атырау,24.5
2011,пайыз,,,Атырау,29.2
2012,пайыз,,,Атырау,44.7
2013,пайыз,,,Атырау,41.1
2014,пайыз,,,Атырау,47.2
2015,пайыз,,,Атырау,36.9
2016,пайыз,,,Атырау,48.6
2017,пайыз,,,Атырау,41.4
2018,пайыз,,,Атырау,52.8
2010,пайыз,,,Батыс Қазақстан,33.3
2011,пайыз,,,Батыс Қазақстан,33.2
2012,пайыз,,,Батыс Қазақстан,33.0
2013,пайыз,,,Батыс Қазақстан,33.8
2014,пайыз,,,Батыс Қазақстан,40.6
2015,пайыз,,,Батыс Қазақстан,38.1
2016,пайыз,,,Батыс Қазақстан,35.9
2017,пайыз,,,Батыс Қазақстан,34.4
2018,пайыз,,,Батыс Қазақстан,33.8
2010,пайыз,,,Жамбыл,17.9
2011,пайыз,,,Жамбыл,23.0
2012,пайыз,,,Жамбыл,28.8
2013,пайыз,,,Жамбыл,23.0
2014,пайыз,,,Жамбыл,30.0
2015,пайыз,,,Жамбыл,32.1
2016,пайыз,,,Жамбыл,29.5
2017,пайыз,,,Жамбыл,35.4
2018,пайыз,,,Жамбыл,36.1
2010,пайыз,,,Қарағанды,32.2
2011,пайыз,,,Қарағанды,35.2
2012,пайыз,,,Қарағанды,40.3
2013,пайыз,,,Қарағанды,39.7
2014,пайыз,,,Қарағанды,40.2
2015,пайыз,,,Қарағанды,43.0
2016,пайыз,,,Қарағанды,41.1
2017,пайыз,,,Қарағанды,41.1
2018,пайыз,,,Қарағанды,40.9
2010,пайыз,,,Қостанай,32.6
2011,пайыз,,,Қостанай,26.6
2012,пайыз,,,Қостанай,29.1
2013,пайыз,,,Қостанай,28.2
2014,пайыз,,,Қостанай,37.7
2015,пайыз,,,Қостанай,33.1
