Year,UNIT_MEASURE,Өңірлер,Value
2017,пайыз,,77.06127316295265
2017,пайыз,Ақмола,67.35791369461487
2017,пайыз,Ақтөбе,78.00102486518142
2017,пайыз,Алматы,84.60085608628734
2017,пайыз,Атырау,79.84683794466403
2017,пайыз,Батыс Қазақстан,75.67719205604007
2017,пайыз,Жамбыл,61.02215710933348
2017,пайыз,Қарағанды,70.48965127330781
2017,пайыз,Қостанай,80.36524211274465
2017,пайыз,Қызылорда,71.75320443859377
2017,пайыз,Маңғыстау,77.98712864411583
2017,пайыз,Павлодар,79.59902244192281
2017,пайыз,Солтүстік Қазақстан,74.61223646134766
2017,пайыз,Түркістан,76.8
2017,пайыз,Шығыс Қазақстан,77.39405779255048
2017,пайыз,Нұр-Сұлтан қаласы,83.76383499663521
2017,пайыз,Алматы қаласы,81.56051138775554
2017,пайыз,Шымкент қаласы,80.1
2018,пайыз,,79.6
2018,пайыз,Ақмола,68.9
2018,пайыз,Ақтөбе,78.0
2018,пайыз,Алматы,86.7
2018,пайыз,Атырау,81.2
2018,пайыз,Батыс Қазақстан,76.4
2018,пайыз,Жамбыл,78.2
2018,пайыз,Қарағанды,70.6
2018,пайыз,Қостанай,80.8
2018,пайыз,Қызылорда,78.6
2018,пайыз,Маңғыстау,78.1
2018,пайыз,Павлодар,79.6
2018,пайыз,Солтүстік Қазақстан,74.8
2018,пайыз,Түркістан,76.9
2018,пайыз,Шығыс Қазақстан,77.8
2018,пайыз,Нұр-Сұлтан қаласы,85.4
2018,пайыз,Алматы қаласы,87.2
2018,пайыз,Шымкент қаласы,80.8
2019,пайыз,,82.1
2019,пайыз,Ақмола,74.7
2019,пайыз,Ақтөбе,80.0
2019,пайыз,Алматы,87.9
2019,пайыз,Атырау,82.6
2019,пайыз,Батыс Қазақстан,78.4
2019,пайыз,Жамбыл,79.8
2019,пайыз,Қарағанды,78.5
2019,пайыз,Қостанай,82.9
2019,пайыз,Қызылорда,80.1
2019,пайыз,Маңғыстау,78.7
2019,пайыз,Павлодар,82.4
2019,пайыз,Солтүстік Қазақстан,77.1
2019,пайыз,Түркістан,77.7
2019,пайыз,Шығыс Қазақстан,82.5
2019,пайыз,Нұр-Сұлтан қаласы,88.7
2019,пайыз,Алматы қаласы,89.0
2019,пайыз,Шымкент қаласы,81.5
