Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Жасы,Өңірлер,Value
2015,пайыз,Файлды немесе папканы көшіру немесе жіберу,15-24 жас аралығында,,13.22816217108324
2015,пайыз,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,15-24 жас аралығында,,19.461043106059417
2015,пайыз,SKILL_ICTATCH,15-24 жас аралығында,,45.17932106932099
2015,пайыз,SKILL_ICTSSHT,15-24 жас аралығында,,37.20976806718313
2015,пайыз,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",15-24 жас аралығында,,13.228123878752696
2015,пайыз,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",15-24 жас аралығында,,14.749631340587689
2015,пайыз,SKILL_ICTPST,15-24 жас аралығында,,19.964893591357267
2015,пайыз,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,15-24 жас аралығында,,19.546090372197625
2015,пайыз,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,15-24 жас аралығында,,3.4932178538757004
2015,пайыз,Файлды немесе папканы көшіру немесе жіберу,15-24 жас аралығында,Ақмола,21.673480244505537
2015,пайыз,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,15-24 жас аралығында,Ақмола,20.51214460553568
2015,пайыз,SKILL_ICTATCH,15-24 жас аралығында,Ақмола,46.05064959517981
2015,пайыз,SKILL_ICTSSHT,15-24 жас аралығында,Ақмола,50.31444172472227
2015,пайыз,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",15-24 жас аралығында,Ақмола,30.390698550178875
2015,пайыз,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",15-24 жас аралығында,Ақмола,21.9742044812653
2015,пайыз,SKILL_ICTPST,15-24 жас аралығында,Ақмола,32.21238938053098
2015,пайыз,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,15-24 жас аралығында,Ақмола,34.94916211636227
2015,пайыз,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,15-24 жас аралығында,Ақмола,3.7318772359254377
2015,пайыз,Файлды немесе папканы көшіру немесе жіберу,15-24 жас аралығында,Ақтөбе,14.568321881318427
2015,пайыз,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,15-24 жас аралығында,Ақтөбе,16.91179805003401
2015,пайыз,SKILL_ICTATCH,15-24 жас аралығында,Ақтөбе,50.20784521200211
2015,пайыз,SKILL_ICTSSHT,15-24 жас аралығында,Ақтөбе,36.38349331116318
2015,пайыз,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",15-24 жас аралығында,Ақтөбе,13.967954047313128
2015,пайыз,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",15-24 жас аралығында,Ақтөбе,16.35250547955559
2015,пайыз,SKILL_ICTPST,15-24 жас аралығында,Ақтөбе,18.750661325674557
2015,пайыз,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,15-24 жас аралығында,Ақтөбе,20.984808404504573
2015,пайыз,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,15-24 жас аралығында,Ақтөбе,1.4670092963494823
2015,пайыз,Файлды немесе папканы көшіру немесе жіберу,15-24 жас аралығында,Алматы,10.10353472487036
2015,пайыз,Құжаттың көшірмесін алу немесе құжаттағы ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,15-24 жас аралығында,Алматы,20.424349216152883
2015,пайыз,SKILL_ICTATCH,15-24 жас аралығында,Алматы,40.324074915075656
2015,пайыз,SKILL_ICTSSHT,15-24 жас аралығында,Алматы,31.40184199531327
2015,пайыз,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",15-24 жас аралығында,Алматы,7.604861123726135
2015,пайыз,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",15-24 жас аралығында,Алматы,10.665043870006722
2015,пайыз,SKILL_ICTPST,15-24 жас аралығында,Алматы,9.463205507820309
2015,пайыз,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,15-24 жас аралығында,Алматы,21.127722574433687
