Year,UNIT_MEASURE,ана білімі,Аймақ,Өңірлер,Value
2010,,бастауыш/толық емес орта,,,1.0
2010,,орта,,,1.0
2010,пайыз,бастауыш/толық емес орта,,,1.0
2010,пайыз,бастауыш/толық емес орта,қала,,0.99
2010,пайыз,бастауыш/толық емес орта,ауыл,,1.0
2010,пайыз,бастауыш/толық емес орта,,Ақмола,0.99
2010,пайыз,бастауыш/толық емес орта,,Ақтөбе,1.01
2010,пайыз,бастауыш/толық емес орта,,Алматы,1.01
2010,пайыз,бастауыш/толық емес орта,,Атырау,1.0
2010,пайыз,бастауыш/толық емес орта,,Батыс Қазақстан,0.99
2010,пайыз,бастауыш/толық емес орта,,Жамбыл,0.99
2010,пайыз,бастауыш/толық емес орта,,Қарағанды,1.0
2010,пайыз,бастауыш/толық емес орта,,Қостанай,0.99
2010,пайыз,бастауыш/толық емес орта,,Қызылорда,1.01
2010,пайыз,бастауыш/толық емес орта,,Маңғыстау,1.0
2010,пайыз,бастауыш/толық емес орта,,Оңтүстік Қазақстан,1.0
2010,пайыз,бастауыш/толық емес орта,,Павлодар,1.0
2010,пайыз,бастауыш/толық емес орта,,Солтүстік Қазақстан,1.01
2010,пайыз,бастауыш/толық емес орта,,Шығыс Қазақстан,1.0
2010,пайыз,бастауыш/толық емес орта,,Нұр-Сұлтан қаласы,1.0
2010,пайыз,бастауыш/толық емес орта,,Алматы қаласы,1.0
2010,пайыз,орта,,,1.0
2010,пайыз,орта,қала,,0.99
2010,пайыз,орта,ауыл,,1.01
2010,пайыз,орта,,Ақмола,1.02
2010,пайыз,орта,,Ақтөбе,1.0
2010,пайыз,орта,,Алматы,1.03
2010,пайыз,орта,,Атырау,1.01
2010,пайыз,орта,,Батыс Қазақстан,1.01
2010,пайыз,орта,,Жамбыл,1.0
2010,пайыз,орта,,Қарағанды,1.0
2010,пайыз,орта,,Қостанай,1.0
2010,пайыз,орта,,Қызылорда,1.01
2010,пайыз,орта,,Маңғыстау,0.99
2010,пайыз,орта,,Оңтүстік Қазақстан,0.99
2010,пайыз,орта,,Павлодар,1.0
2010,пайыз,орта,,Солтүстік Қазақстан,0.98
2010,пайыз,орта,,Шығыс Қазақстан,0.97
2010,пайыз,орта,,Нұр-Сұлтан қаласы,1.01
2010,пайыз,орта,,Алматы қаласы,0.99
2015,,бастауыш/толық емес орта,,,1.0
2015,,орта,,,1.0
2015,,толық емес орта,,,1.0
2015,,орташа жалпы,,,1.01
2015,пайыз,бастауыш/толық емес орта,,,1.0
2015,пайыз,бастауыш/толық емес орта,қала,,0.99
2015,пайыз,бастауыш/толық емес орта,ауыл,,1.0
2015,пайыз,бастауыш/толық емес орта,,Ақмола,0.99
2015,пайыз,бастауыш/толық емес орта,,Ақтөбе,1.01
2015,пайыз,бастауыш/толық емес орта,,Алматы,1.0
2015,пайыз,бастауыш/толық емес орта,,Атырау,0.94
2015,пайыз,бастауыш/толық емес орта,,Батыс Қазақстан,0.99
2015,пайыз,бастауыш/толық емес орта,,Жамбыл,1.0
2015,пайыз,бастауыш/толық емес орта,,Қарағанды,1.01
2015,пайыз,бастауыш/толық емес орта,,Қостанай,1.01
2015,пайыз,бастауыш/толық емес орта,,Қызылорда,0.99
2015,пайыз,бастауыш/толық емес орта,,Маңғыстау,1.01
2015,пайыз,бастауыш/толық емес орта,,Оңтүстік Қазақстан,1.0
2015,пайыз,бастауыш/толық емес орта,,Павлодар,1.01
2015,пайыз,бастауыш/толық емес орта,,Солтүстік Қазақстан,1.01
2015,пайыз,бастауыш/толық емес орта,,Шығыс Қазақстан,1.0
2015,пайыз,бастауыш/толық емес орта,,Нұр-Сұлтан қаласы,1.02
2015,пайыз,бастауыш/толық емес орта,,Алматы қаласы,0.98
2015,пайыз,толық емес орта,,,1.0
2015,пайыз,толық емес орта,қала,,1.0
2015,пайыз,толық емес орта,ауыл,,1.0
2015,пайыз,толық емес орта,,Ақмола,1.0
2015,пайыз,толық емес орта,,Ақтөбе,1.0
2015,пайыз,толық емес орта,,Алматы,1.02
2015,пайыз,толық емес орта,,Атырау,1.0
2015,пайыз,толық емес орта,,Батыс Қазақстан,1.01
2015,пайыз,толық емес орта,,Жамбыл,0.99
2015,пайыз,толық емес орта,,Қарағанды,1.01
2015,пайыз,толық емес орта,,Қостанай,1.0
2015,пайыз,толық емес орта,,Қызылорда,1.0
2015,пайыз,толық емес орта,,Маңғыстау,1.0
2015,пайыз,толық емес орта,,Оңтүстік Қазақстан,0.99
2015,пайыз,толық емес орта,,Павлодар,0.99
2015,пайыз,толық емес орта,,Солтүстік Қазақстан,1.01
2015,пайыз,толық емес орта,,Шығыс Қазақстан,1.0
2015,пайыз,толық емес орта,,Нұр-Сұлтан қаласы,1.01
2015,пайыз,толық емес орта,,Алматы қаласы,1.02
2015,пайыз,орта,,,1.01
2015,пайыз,орта,қала,,1.03
2015,пайыз,орта,ауыл,,0.98
2015,пайыз,орта,,Ақмола,1.12
2015,пайыз,орта,,Ақтөбе,1.02
2015,пайыз,орта,,Алматы,1.01
2015,пайыз,орта,,Атырау,0.98
2015,пайыз,орта,,Жамбыл,0.94
2015,пайыз,орта,,Қостанай,1.0
2015,пайыз,орта,,Қызылорда,0.99
2015,пайыз,орта,,Маңғыстау,1.03
2015,пайыз,орта,,Оңтүстік Қазақстан,0.98
2015,пайыз,орта,,Солтүстік Қазақстан,1.0
2015,пайыз,орта,,Нұр-Сұлтан қаласы,1.18
2015,пайыз,орта,,Алматы қаласы,1.0
