Year,UNIT_MEASURE,SERIES,Аймақ,Өңірлер,Value
2015,пайыз,базалық ауыз су көздерімен,,,100.0
2016,пайыз,базалық ауыз су көздерімен,,,100.0
2017,пайыз,базалық ауыз су көздерімен,,,100.0
2018,пайыз,базалық ауыз су көздерімен,,,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,,94.06596377399296
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Ақмола,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Ақтөбе,97.1291866028708
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Алматы,91.78255372945638
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Атырау,93.71980676328504
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Батыс Қазақстан,86.92307692307692
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Жамбыл,99.78308026030368
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Қарағанды,97.39292364990688
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Қостанай,91.47286821705426
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Қызылорда,98.08917197452227
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Маңғыстау,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Павлодар,99.45652173913044
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Солтүстік Қазақстан,90.74074074074076
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Түркістан,83.04347826086956
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Шығыс Қазақстан,99.11634756995582
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Нұр-Сұлтан қаласы,94.91525423728814
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Алматы қаласы,98.6206896551724
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,,Шымкент қаласы,91.90751445086704
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,,96.68717463322292
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Ақмола,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Ақтөбе,97.77777777777776
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Алматы,96.3963963963964
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Атырау,96.05263157894736
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Батыс Қазақстан,93.24324324324324
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Жамбыл,99.05660377358492
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Қарағанды,97.8813559322034
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Қостанай,97.97979797979798
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Қызылорда,93.67088607594935
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Маңғыстау,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Павлодар,97.87234042553192
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Солтүстік Қазақстан,98.4375
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Түркістан,90.2439024390244
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Шығыс Қазақстан,98.34254143646407
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Нұр-Сұлтан қаласы,94.91525423728814
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Алматы қаласы,98.6206896551724
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,қала,Шымкент қаласы,91.90751445086704
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,,93.01797540208136
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Ақмола,100.0
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Ақтөбе,96.81978798586572
2019,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,ауыл,Алматы,91.02941176470588
