Year,UNIT_MEASURE,Өңірлер,Аймақ,Жасы,Value
2010,пайыз,,,,37.2
2010,пайыз,Ақмола,,,39.9
2010,пайыз,Ақтөбе,,,41.7
2010,пайыз,Алматы,,,31.5
2010,пайыз,Атырау,,,18.9
2010,пайыз,Батыс Қазақстан,,,21.2
2010,пайыз,Жамбыл,,,22.3
2010,пайыз,Қарағанды,,,41.0
2010,пайыз,Қостанай,,,39.6
2010,пайыз,Қызылорда,,,38.1
2010,пайыз,Маңғыстау,,,30.4
2010,пайыз,Оңтүстік Қазақстан,,,18.4
2010,пайыз,Павлодар,,,41.7
2010,пайыз,Солтүстік Қазақстан,,,32.7
2010,пайыз,Шығыс Қазақстан,,,35.7
2010,пайыз,Нұр-Сұлтан қаласы,,,40.4
2010,пайыз,Алматы қаласы,,,39.2
2010,пайыз,,қала,,38.0
2010,пайыз,Ақмола,қала,,40.5
2010,пайыз,Ақтөбе,қала,,36.1
2010,пайыз,Алматы,қала,,29.7
2010,пайыз,Атырау,қала,,16.1
2010,пайыз,Батыс Қазақстан,қала,,23.4
2010,пайыз,Жамбыл,қала,,28.0
2010,пайыз,Қарағанды,қала,,41.7
2010,пайыз,Қостанай,қала,,35.3
2010,пайыз,Қызылорда,қала,,38.5
2010,пайыз,Маңғыстау,қала,,30.5
2010,пайыз,Оңтүстік Қазақстан,қала,,24.8
2010,пайыз,Павлодар,қала,,41.4
2010,пайыз,Солтүстік Қазақстан,қала,,36.6
2010,пайыз,Шығыс Қазақстан,қала,,39.5
2010,пайыз,Нұр-Сұлтан қаласы,қала,,40.4
2010,пайыз,Алматы қаласы,қала,,39.2
2010,пайыз,,ауыл,,33.4
2010,пайыз,Ақмола,ауыл,,37.5
2010,пайыз,Ақтөбе,ауыл,,55.8
2010,пайыз,Алматы,ауыл,,32.7
2010,пайыз,Атырау,ауыл,,26.8
2010,пайыз,Батыс Қазақстан,ауыл,,8.6
2010,пайыз,Жамбыл,ауыл,,19.1
2010,пайыз,Қарағанды,ауыл,,31.5
2010,пайыз,Қостанай,ауыл,,46.9
2010,пайыз,Қызылорда,ауыл,,37.3
2010,пайыз,Маңғыстау,ауыл,,29.6
2010,пайыз,Оңтүстік Қазақстан,ауыл,,4.2
2010,пайыз,Павлодар,ауыл,,43.3
2010,пайыз,Солтүстік Қазақстан,ауыл,,27.3
2010,пайыз,Шығыс Қазақстан,ауыл,,28.8
2010,пайыз,,,16-24,41.5
2010,пайыз,,,25-28,43.5
2010,пайыз,,,29-34,32.8
2010,пайыз,,,35-44,40.6
2010,пайыз,,,45-54,35.8
2010,пайыз,,,55-64,30.9
2010,пайыз,,,65 және одан үлкен,51.0
2010,пайыз,Ақмола,,16-24,44.0
2010,пайыз,Ақмола,,25-28,22.2
2010,пайыз,Ақмола,,29-34,45.3
2010,пайыз,Ақмола,,35-44,46.2
2010,пайыз,Ақмола,,45-54,44.3
2010,пайыз,Ақмола,,55-64,24.6
2010,пайыз,Ақтөбе,,16-24,100.0
2010,пайыз,Ақтөбе,,25-28,56.3
2010,пайыз,Ақтөбе,,29-34,25.8
2010,пайыз,Ақтөбе,,35-44,47.6
2010,пайыз,Ақтөбе,,45-54,24.1
2010,пайыз,Ақтөбе,,55-64,51.9
2010,пайыз,Алматы,,16-24,29.8
2010,пайыз,Алматы,,25-28,25.2
2010,пайыз,Алматы,,29-34,0.0
2010,пайыз,Алматы,,35-44,40.4
2010,пайыз,Алматы,,45-54,36.6
2010,пайыз,Алматы,,55-64,46.9
2010,пайыз,Атырау,,29-34,33.4
2010,пайыз,Атырау,,35-44,0.0
2010,пайыз,Атырау,,45-54,32.6
2010,пайыз,Атырау,,55-64,15.6
2010,пайыз,Батыс Қазақстан,,16-24,7.0
2010,пайыз,Батыс Қазақстан,,25-28,13.2
2010,пайыз,Батыс Қазақстан,,29-34,31.4
2010,пайыз,Батыс Қазақстан,,35-44,14.9
2010,пайыз,Батыс Қазақстан,,45-54,19.3
2010,пайыз,Батыс Қазақстан,,55-64,32.5
2010,пайыз,Жамбыл,,25-28,100.0
2010,пайыз,Жамбыл,,29-34,0.0
2010,пайыз,Жамбыл,,35-44,30.2
2010,пайыз,Жамбыл,,45-54,39.8
2010,пайыз,Жамбыл,,55-64,6.5
2010,пайыз,Қарағанды,,16-24,32.9
2010,пайыз,Қарағанды,,25-28,33.8
2010,пайыз,Қарағанды,,29-34,36.0
2010,пайыз,Қарағанды,,35-44,41.8
2010,пайыз,Қарағанды,,45-54,46.6
2010,пайыз,Қарағанды,,55-64,44.6
2010,пайыз,Қарағанды,,65 және одан үлкен,0.0
2010,пайыз,Қостанай,,16-24,13.4
2010,пайыз,Қостанай,,25-28,40.4
2010,пайыз,Қостанай,,29-34,49.1
2010,пайыз,Қостанай,,35-44,33.0
2010,пайыз,Қостанай,,45-54,40.5
2010,пайыз,Қостанай,,55-64,36.1
2010,пайыз,Қостанай,,65 және одан үлкен,83.9
2010,пайыз,Қызылорда,,16-24,100.0
2010,пайыз,Қызылорда,,25-28,89.4
2010,пайыз,Қызылорда,,29-34,58.7
2010,пайыз,Қызылорда,,35-44,34.6
2010,пайыз,Қызылорда,,45-54,33.4
2010,пайыз,Қызылорда,,55-64,23.6
2010,пайыз,Қызылорда,,65 және одан үлкен,0.0
2010,пайыз,Маңғыстау,,16-24,25.8
2010,пайыз,Маңғыстау,,25-28,22.7
2010,пайыз,Маңғыстау,,29-34,30.0
2010,пайыз,Маңғыстау,,35-44,35.3
2010,пайыз,Маңғыстау,,45-54,34.2
2010,пайыз,Маңғыстау,,55-64,15.4
2010,пайыз,Маңғыстау,,65 және одан үлкен,0.0
2010,пайыз,Оңтүстік Қазақстан,,16-24,0.0
2010,пайыз,Оңтүстік Қазақстан,,25-28,100.0
2010,пайыз,Оңтүстік Қазақстан,,29-34,34.8
2010,пайыз,Оңтүстік Қазақстан,,35-44,14.3
2010,пайыз,Оңтүстік Қазақстан,,45-54,14.7
2010,пайыз,Оңтүстік Қазақстан,,55-64,23.3
2010,пайыз,Павлодар,,16-24,77.4
2010,пайыз,Павлодар,,25-28,35.0
2010,пайыз,Павлодар,,29-34,47.4
2010,пайыз,Павлодар,,35-44,35.2
2010,пайыз,Павлодар,,45-54,44.7
2010,пайыз,Павлодар,,55-64,34.2
2010,пайыз,Солтүстік Қазақстан,,16-24,43.8
2010,пайыз,Солтүстік Қазақстан,,25-28,35.2
2010,пайыз,Солтүстік Қазақстан,,29-34,50.8
2010,пайыз,Солтүстік Қазақстан,,35-44,40.3
2010,пайыз,Солтүстік Қазақстан,,45-54,19.6
2010,пайыз,Солтүстік Қазақстан,,55-64,25.3
2010,пайыз,Шығыс Қазақстан,,16-24,53.9
2010,пайыз,Шығыс Қазақстан,,25-28,47.9
2010,пайыз,Шығыс Қазақстан,,29-34,23.1
2010,пайыз,Шығыс Қазақстан,,35-44,35.7
2010,пайыз,Шығыс Қазақстан,,45-54,39.1
2010,пайыз,Шығыс Қазақстан,,55-64,25.4
2010,пайыз,Нұр-Сұлтан қаласы,,16-24,44.0
2010,пайыз,Нұр-Сұлтан қаласы,,25-28,54.0
2010,пайыз,Нұр-Сұлтан қаласы,,29-34,28.9
2010,пайыз,Нұр-Сұлтан қаласы,,35-44,48.5
2010,пайыз,Нұр-Сұлтан қаласы,,45-54,34.6
2010,пайыз,Нұр-Сұлтан қаласы,,55-64,35.8
2010,пайыз,Нұр-Сұлтан қаласы,,65 және одан үлкен,25.6
2010,пайыз,Алматы қаласы,,16-24,23.7
2010,пайыз,Алматы қаласы,,25-28,42.7
2010,пайыз,Алматы қаласы,,29-34,43.5
2010,пайыз,Алматы қаласы,,35-44,46.4
2010,пайыз,Алматы қаласы,,45-54,31.7
2010,пайыз,Алматы қаласы,,55-64,26.8
2011,пайыз,,,,38.5
2011,пайыз,Ақмола,,,43.1
2011,пайыз,Ақтөбе,,,41.6
2011,пайыз,Алматы,,,24.4
2011,пайыз,Атырау,,,26.7
2011,пайыз,Батыс Қазақстан,,,24.7
2011,пайыз,Жамбыл,,,30.1
2011,пайыз,Қарағанды,,,40.0
2011,пайыз,Қостанай,,,43.9
2011,пайыз,Қызылорда,,,40.8
2011,пайыз,Маңғыстау,,,32.9
2011,пайыз,Оңтүстік Қазақстан,,,28.1
2011,пайыз,Павлодар,,,41.9
2011,пайыз,Солтүстік Қазақстан,,,35.0
2011,пайыз,Шығыс Қазақстан,,,37.6
2011,пайыз,Нұр-Сұлтан қаласы,,,41.4
2011,пайыз,Алматы қаласы,,,40.3
2011,пайыз,,қала,,39.5
2011,пайыз,Ақмола,қала,,46.1
2011,пайыз,Ақтөбе,қала,,40.4
2011,пайыз,Алматы,қала,,26.2
2011,пайыз,Атырау,қала,,27.8
2011,пайыз,Батыс Қазақстан,қала,,27.5
2011,пайыз,Жамбыл,қала,,35.3
2011,пайыз,Қарағанды,қала,,40.0
2011,пайыз,Қостанай,қала,,42.6
2011,пайыз,Қызылорда,қала,,40.2
2011,пайыз,Маңғыстау,қала,,34.7
2011,пайыз,Оңтүстік Қазақстан,қала,,31.5
2011,пайыз,Павлодар,қала,,39.0
2011,пайыз,Солтүстік Қазақстан,қала,,35.1
2011,пайыз,Шығыс Қазақстан,қала,,40.1
2011,пайыз,Нұр-Сұлтан қаласы,қала,,41.4
2011,пайыз,Алматы қаласы,қала,,40.3
2011,пайыз,,ауыл,,34.3
2011,пайыз,Ақмола,ауыл,,30.0
2011,пайыз,Ақтөбе,ауыл,,48.8
2011,пайыз,Алматы,ауыл,,23.3
2011,пайыз,Атырау,ауыл,,23.6
2011,пайыз,Батыс Қазақстан,ауыл,,11.0
2011,пайыз,Жамбыл,ауыл,,25.0
2011,пайыз,Қарағанды,ауыл,,39.8
2011,пайыз,Қостанай,ауыл,,46.7
